slot,message_theme,theme_plain_english,source_layer,unit,anomaly_score,metric_snapshot,context_family,context_label,split_family,split_label,role_segment,pitch_role
foreign_hitter,context_runway_bat,add offense in SSG-specific weak game states,role_split_context,OF_high_leverage_usage:vsTeam:11001,1.6216666666666666,OPS=0.408;OBP=0.2;K%=0.28;PA=25,,,vsTeam,11001,OF_high_leverage_usage,
foreign_hitter,rhp_role_stabilizer,stabilize OF/DH production against right-handed pitching,role_split_context,OF_lower_or_mixed_usage:pitcher_type:vs_right,1.618547575708701,OPS=0.653;OBP=0.322;K%=0.173;PA=392,,,pitcher_type,vs_right,OF_lower_or_mixed_usage,
foreign_hitter,context_runway_bat,add offense in SSG-specific weak game states,role_split_context,OF_high_leverage_usage:score_context:within_one_run,1.601509721692718,OPS=0.693;OBP=0.3;K%=0.233;PA=129,,,score_context,within_one_run,OF_high_leverage_usage,
foreign_hitter,two_strike_survival_bat,reduce replacement-slot collapse after two strikes,role_split_context,OF_lower_or_mixed_usage:score_context:within_two_run,1.5829523133357,OPS=0.668;OBP=0.319;K%=0.204;PA=313,,,score_context,within_two_run,OF_lower_or_mixed_usage,
foreign_hitter,of_dh_bridge_bat,repair the replacement-relevant OF/DH bridge,role_split_context,DH_primary_or_bridge:after_count:after_2B_0S,1.5751851851851852,OPS=0.815;OBP=0.454;K%=0.343;PA=108,,,after_count,after_2B_0S,DH_primary_or_bridge,
foreign_hitter,of_dh_bridge_bat,repair the replacement-relevant OF/DH bridge,role_split_context,DH_primary_or_bridge:location:Away,1.5685190325138776,OPS=0.692;OBP=0.342;K%=0.274;PA=117,,,location,Away,DH_primary_or_bridge,
foreign_hitter,first_base_traffic_converter,turn runner-on-first states into scoring-position pressure,role_split_context,DH_primary_or_bridge:runner_context:runner_on_base,1.5645901639344262,OPS=0.716;OBP=0.369;K%=0.262;PA=122,,,runner_context,runner_on_base,DH_primary_or_bridge,
foreign_hitter,context_runway_bat,add offense in SSG-specific weak game states,role_split_context,OF_high_leverage_usage:month:month4,1.5638917525773197,OPS=0.66;OBP=0.279;K%=0.202;PA=104,,,month,month4,OF_high_leverage_usage,
foreign_hitter,context_runway_bat,add offense in SSG-specific weak game states,batting_team_context_rank,count:3B_1S,1.5631111111111111,OPS_rank=1.0;OBP_rank=1.0;OPS=1.558;PA=113,count,3B_1S,,,,
foreign_hitter,context_runway_bat,add offense in SSG-specific weak game states,role_split_context,OF_lower_or_mixed_usage:runner_context:risp,1.561762466692044,OPS=0.675;OBP=0.324;K%=0.162;PA=142,,,runner_context,risp,OF_lower_or_mixed_usage,
foreign_hitter,context_runway_bat,add offense in SSG-specific weak game states,role_split_context,OF_high_leverage_usage:inning_context:innings_1_3,1.560492424242424,OPS=0.634;OBP=0.271;K%=0.208;PA=96,,,inning_context,innings_1_3,OF_high_leverage_usage,
foreign_hitter,of_dh_bridge_bat,repair the replacement-relevant OF/DH bridge,role_split_context,DH_primary_or_bridge:inning_context:4,1.5566459627329194,OPS=0.46;OBP=0.286;K%=0.464;PA=28,,,inning_context,4,DH_primary_or_bridge,
