role_model_family,signal_type,rule,target,support_rows,total_role_rows,support_share,target_rate_inside_rule,role_base_target_rate,rate_delta_vs_role_base,lift_vs_role_base,permutation_p_value,semantic_alignment,rule_gate,rule_stability_score,rule_stability_tier,candidate_release_allowed,release_policy
hitter,two_family_interaction,hitter_contact_discipline_floor=low_bottom_tercile AND hitter_milb_surface_power=low_bottom_tercile,strong_success,5,22,0.2272727272727272,0.4,0.3181818181818182,0.0818181818181818,1.2571428571428571,1.0,counterintuitive_or_negative_control,watch_small_sample_signal,18.18181818181818,do_not_promote_rule,False,layer2_4_validation_sprint_research_only_no_candidate_release
hitter,single_family,hitter_milb_surface_power=high_top_tercile,strong_success,7,22,0.3181818181818182,0.2857142857142857,0.3181818181818182,-0.0324675324675324,0.8979591836734694,1.0,counterintuitive_or_negative_control,watch_small_sample_signal,17.24675324675324,do_not_promote_rule,False,layer2_4_validation_sprint_research_only_no_candidate_release
hitter,single_family,hitter_ssg_pilot_screen=low_bottom_tercile,injury_exit_flag,4,22,0.1818181818181818,0.0,0.0909090909090909,-0.0909090909090909,0.0,1.0,counterintuitive_or_negative_control,watch_small_sample_signal,17.09090909090909,do_not_promote_rule,False,layer2_4_validation_sprint_research_only_no_candidate_release
hitter,two_family_interaction,hitter_quality_of_contact=low_bottom_tercile AND hitter_milb_surface_power=low_bottom_tercile,injury_exit_flag,4,22,0.1818181818181818,0.0,0.0909090909090909,-0.0909090909090909,0.0,1.0,counterintuitive_or_negative_control,watch_small_sample_signal,17.09090909090909,do_not_promote_rule,False,layer2_4_validation_sprint_research_only_no_candidate_release
hitter,two_family_interaction,hitter_quality_of_contact=low_bottom_tercile AND hitter_track_continuity=high_top_tercile,injury_exit_flag,4,22,0.1818181818181818,0.0,0.0909090909090909,-0.0909090909090909,0.0,1.0,counterintuitive_or_negative_control,watch_small_sample_signal,17.09090909090909,do_not_promote_rule,False,layer2_4_validation_sprint_research_only_no_candidate_release
hitter,two_family_interaction,hitter_contact_discipline_floor=high_top_tercile AND hitter_milb_surface_power=high_top_tercile,injury_exit_flag,4,22,0.1818181818181818,0.0,0.0909090909090909,-0.0909090909090909,0.0,1.0,semantically_aligned,watch_small_sample_signal,17.09090909090909,do_not_promote_rule,False,layer2_4_validation_sprint_research_only_no_candidate_release
hitter,two_family_interaction,hitter_contact_discipline_floor=low_bottom_tercile AND hitter_track_continuity=high_top_tercile,injury_exit_flag,4,22,0.1818181818181818,0.0,0.0909090909090909,-0.0909090909090909,0.0,1.0,counterintuitive_or_negative_control,watch_small_sample_signal,17.09090909090909,do_not_promote_rule,False,layer2_4_validation_sprint_research_only_no_candidate_release
hitter,single_family,hitter_ssg_pilot_screen=low_bottom_tercile,performance_exit_flag,4,22,0.1818181818181818,0.0,0.0909090909090909,-0.0909090909090909,0.0,1.0,counterintuitive_or_negative_control,watch_small_sample_signal,17.09090909090909,do_not_promote_rule,False,layer2_4_validation_sprint_research_only_no_candidate_release
hitter,two_family_interaction,hitter_quality_of_contact=low_bottom_tercile AND hitter_milb_surface_power=low_bottom_tercile,performance_exit_flag,4,22,0.1818181818181818,0.0,0.0909090909090909,-0.0909090909090909,0.0,1.0,counterintuitive_or_negative_control,watch_small_sample_signal,17.09090909090909,do_not_promote_rule,False,layer2_4_validation_sprint_research_only_no_candidate_release
hitter,two_family_interaction,hitter_quality_of_contact=low_bottom_tercile AND hitter_track_continuity=high_top_tercile,performance_exit_flag,4,22,0.1818181818181818,0.0,0.0909090909090909,-0.0909090909090909,0.0,1.0,counterintuitive_or_negative_control,watch_small_sample_signal,17.09090909090909,do_not_promote_rule,False,layer2_4_validation_sprint_research_only_no_candidate_release
hitter,two_family_interaction,hitter_contact_discipline_floor=low_bottom_tercile AND hitter_track_continuity=high_top_tercile,performance_exit_flag,4,22,0.1818181818181818,0.0,0.0909090909090909,-0.0909090909090909,0.0,1.0,counterintuitive_or_negative_control,watch_small_sample_signal,17.09090909090909,do_not_promote_rule,False,layer2_4_validation_sprint_research_only_no_candidate_release
hitter,two_family_interaction,hitter_contact_discipline_floor=high_top_tercile AND hitter_milb_surface_power=high_top_tercile,success,4,22,0.1818181818181818,0.5,0.5909090909090909,-0.0909090909090909,0.8461538461538461,1.0,counterintuitive_or_negative_control,watch_small_sample_signal,17.09090909090909,do_not_promote_rule,False,layer2_4_validation_sprint_research_only_no_candidate_release
hitter,two_family_interaction,hitter_contact_discipline_floor=low_bottom_tercile AND hitter_track_continuity=high_top_tercile,success,4,22,0.1818181818181818,0.5,0.5909090909090909,-0.0909090909090909,0.8461538461538461,1.0,semantically_aligned,watch_small_sample_signal,17.09090909090909,do_not_promote_rule,False,layer2_4_validation_sprint_research_only_no_candidate_release
hitter,single_family,hitter_quality_of_contact=high_top_tercile,success,7,22,0.3181818181818182,0.5714285714285714,0.5909090909090909,-0.0194805194805195,0.9670329670329668,1.0,counterintuitive_or_negative_control,watch_small_sample_signal,15.94805194805195,do_not_promote_rule,False,layer2_4_validation_sprint_research_only_no_candidate_release
hitter,single_family,hitter_contact_discipline_floor=high_top_tercile,success,7,22,0.3181818181818182,0.5714285714285714,0.5909090909090909,-0.0194805194805195,0.9670329670329668,1.0,counterintuitive_or_negative_control,watch_small_sample_signal,15.94805194805195,do_not_promote_rule,False,layer2_4_validation_sprint_research_only_no_candidate_release
hitter,single_family,hitter_milb_surface_power=high_top_tercile,success,7,22,0.3181818181818182,0.5714285714285714,0.5909090909090909,-0.0194805194805195,0.9670329670329668,1.0,counterintuitive_or_negative_control,watch_small_sample_signal,15.94805194805195,do_not_promote_rule,False,layer2_4_validation_sprint_research_only_no_candidate_release
hitter,two_family_interaction,hitter_quality_of_contact=low_bottom_tercile AND hitter_milb_surface_power=low_bottom_tercile,strong_success,4,22,0.1818181818181818,0.25,0.3181818181818182,-0.0681818181818181,0.7857142857142857,1.0,semantically_aligned,watch_small_sample_signal,14.81818181818181,do_not_promote_rule,False,layer2_4_validation_sprint_research_only_no_candidate_release
hitter,two_family_interaction,hitter_quality_of_contact=low_bottom_tercile AND hitter_track_continuity=high_top_tercile,strong_success,4,22,0.1818181818181818,0.25,0.3181818181818182,-0.0681818181818181,0.7857142857142857,1.0,semantically_aligned,watch_small_sample_signal,14.81818181818181,do_not_promote_rule,False,layer2_4_validation_sprint_research_only_no_candidate_release
hitter,two_family_interaction,hitter_contact_discipline_floor=high_top_tercile AND hitter_milb_surface_power=high_top_tercile,strong_success,4,22,0.1818181818181818,0.25,0.3181818181818182,-0.0681818181818181,0.7857142857142857,1.0,counterintuitive_or_negative_control,watch_small_sample_signal,14.81818181818181,do_not_promote_rule,False,layer2_4_validation_sprint_research_only_no_candidate_release
