validation_scheme,feature_family,role_model_family,target,model,folds,source_rows,total_valid_rows,mean_feature_count,median_feature_count,mean_auc,mean_brier,mean_logloss,mean_precision_top_25pct,mean_precision_top_33pct,role_prior_mean_brier,role_prior_precision_top_25pct,role_prior_precision_top_33pct,brier_lift_vs_role_prior,top25_precision_lift_vs_role_prior,top33_precision_lift_vs_role_prior,promotion_status
repeated_stratified_cv,compact_mixed,hitter,failure,balanced_ridge_logit,90,22,660,9.977777777777778,10.0,0.6255555555555555,0.27702386170044446,0.8568421794695567,0.43333333333333335,0.4703703703703703,0.23526832955404384,0.32222222222222224,0.39629629629629626,-0.041755532146400626,0.1111111111111111,0.07407407407407407,do_not_promote
repeated_stratified_cv,milb_damage_command,hitter,failure,ridge_logit,90,22,660,7.0,7.0,0.5761111111111111,0.27796853141673283,0.8353469678000279,0.35555555555555557,0.39629629629629626,0.23526832955404384,0.32222222222222224,0.39629629629629626,-0.042700201862689,0.033333333333333326,0.0,do_not_promote
repeated_stratified_cv,savant_only,hitter,failure,sparse_l1_logit,90,22,660,17.977777777777778,18.0,0.4685185185185185,0.2792837636828035,0.7775388021075484,0.3277777777777778,0.337037037037037,0.23526832955404384,0.32222222222222224,0.39629629629629626,-0.04401543412875966,0.005555555555555536,-0.059259259259259234,do_not_promote
repeated_stratified_cv,milb_damage_command,hitter,failure,balanced_ridge_logit,90,22,660,7.0,7.0,0.5775925925925927,0.2833301363787465,0.8647650249793157,0.35,0.39259259259259255,0.23526832955404384,0.32222222222222224,0.39629629629629626,-0.04806180682470265,0.027777777777777735,-0.003703703703703709,do_not_promote
repeated_stratified_cv,recent_track_continuity,hitter,failure,ridge_logit,90,22,660,5.0,5.0,0.3677777777777778,0.3043337640501022,0.8341876219208657,0.24444444444444444,0.2518518518518518,0.23526832955404384,0.32222222222222224,0.39629629629629626,-0.06906543449605837,-0.0777777777777778,-0.14444444444444443,do_not_promote
repeated_stratified_cv,recent_track_continuity,hitter,failure,balanced_ridge_logit,90,22,660,5.0,5.0,0.3711111111111111,0.3207076396891634,0.8650496534986638,0.25,0.25925925925925924,0.23526832955404384,0.32222222222222224,0.39629629629629626,-0.08543931013511954,-0.07222222222222224,-0.137037037037037,do_not_promote
repeated_stratified_cv,milb_level_role,hitter,failure,ridge_logit,90,22,660,5.911111111111111,6.0,0.3062962962962963,0.325254345007581,0.9106177235997991,0.2111111111111111,0.2222222222222222,0.23526832955404384,0.32222222222222224,0.39629629629629626,-0.08998601545353715,-0.11111111111111113,-0.17407407407407405,do_not_promote
repeated_stratified_cv,milb_level_role,hitter,failure,balanced_ridge_logit,90,22,660,5.911111111111111,6.0,0.3125925925925926,0.34183201449828204,0.9386275975448557,0.22777777777777777,0.2296296296296296,0.23526832955404384,0.32222222222222224,0.39629629629629626,-0.10656368494423821,-0.09444444444444447,-0.16666666666666666,do_not_promote
repeated_stratified_cv,savant_only,hitter,failure,ridge_logit,90,22,660,17.977777777777778,18.0,0.7383333333333334,0.21178753797653013,0.6757863490828071,0.6666666666666666,0.5925925925925926,0.23526832955404384,0.32222222222222224,0.39629629629629626,0.023480791577513704,0.3444444444444444,0.1962962962962963,pilot_promote
repeated_stratified_cv,savant_only,hitter,failure,balanced_ridge_logit,90,22,660,17.977777777777778,18.0,0.7335185185185185,0.2169838821097057,0.683697368229361,0.6611111111111111,0.5777777777777777,0.23526832955404384,0.32222222222222224,0.39629629629629626,0.01828444744433813,0.33888888888888885,0.18148148148148147,pilot_promote
repeated_stratified_cv,compact_mixed,hitter,success,role_prior,90,22,660,9.955555555555556,10.0,0.5,0.24289115646258505,0.6788964446241305,0.6555555555555556,0.6037037037037036,0.24289115646258505,0.6555555555555556,0.6037037037037036,0.0,0.0,0.0,baseline
repeated_stratified_cv,milb_damage_command,hitter,success,role_prior,90,22,660,7.0,7.0,0.5,0.24289115646258505,0.6788964446241305,0.6555555555555556,0.6037037037037036,0.24289115646258505,0.6555555555555556,0.6037037037037036,0.0,0.0,0.0,baseline
repeated_stratified_cv,milb_level_role,hitter,success,role_prior,90,22,660,5.933333333333334,6.0,0.5,0.24289115646258505,0.6788964446241305,0.6555555555555556,0.6037037037037036,0.24289115646258505,0.6555555555555556,0.6037037037037036,0.0,0.0,0.0,baseline
repeated_stratified_cv,recent_track_continuity,hitter,success,role_prior,90,22,660,5.0,5.0,0.5,0.24289115646258505,0.6788964446241305,0.6555555555555556,0.6037037037037036,0.24289115646258505,0.6555555555555556,0.6037037037037036,0.0,0.0,0.0,baseline
repeated_stratified_cv,savant_only,hitter,success,role_prior,90,22,660,17.955555555555556,18.0,0.5,0.24289115646258505,0.6788964446241305,0.6555555555555556,0.6037037037037036,0.24289115646258505,0.6555555555555556,0.6037037037037036,0.0,0.0,0.0,baseline
repeated_stratified_cv,savant_only,hitter,success,sparse_l1_logit,90,22,660,17.955555555555556,18.0,0.5740740740740742,0.25142901340324647,0.6980997756192054,0.7111111111111111,0.6259259259259259,0.24289115646258505,0.6555555555555556,0.6037037037037036,-0.00853785694066142,0.05555555555555558,0.022222222222222254,do_not_promote
repeated_stratified_cv,milb_level_role,hitter,success,sparse_l1_logit,90,22,660,5.933333333333334,6.0,0.4767592592592592,0.2515646998375719,0.6961326706784444,0.6166666666666667,0.5777777777777777,0.24289115646258505,0.6555555555555556,0.6037037037037036,-0.008673543374986853,-0.03888888888888886,-0.025925925925925908,do_not_promote
repeated_stratified_cv,recent_track_continuity,hitter,success,sparse_l1_logit,90,22,660,5.0,5.0,0.4767592592592592,0.2515647044013904,0.6961326800679447,0.6166666666666667,0.5777777777777777,0.24289115646258505,0.6555555555555556,0.6037037037037036,-0.008673547938805343,-0.03888888888888886,-0.025925925925925908,do_not_promote
repeated_stratified_cv,compact_mixed,hitter,success,sparse_l1_logit,90,22,660,9.955555555555556,10.0,0.6112962962962963,0.256808137859058,0.7136771537819258,0.7777777777777778,0.7074074074074074,0.24289115646258505,0.6555555555555556,0.6037037037037036,-0.013916981396472933,0.12222222222222223,0.10370370370370374,do_not_promote
repeated_stratified_cv,milb_damage_command,hitter,success,sparse_l1_logit,90,22,660,7.0,7.0,0.5135185185185185,0.26324097761251836,0.7332409784900497,0.7111111111111111,0.6296296296296297,0.24289115646258505,0.6555555555555556,0.6037037037037036,-0.020349821149933306,0.05555555555555558,0.02592592592592602,do_not_promote
repeated_stratified_cv,recent_track_continuity,hitter,success,ridge_logit,90,22,660,5.0,5.0,0.5133333333333334,0.2720620932349184,0.7584804867362528,0.5555555555555556,0.5703703703703703,0.24289115646258505,0.6555555555555556,0.6037037037037036,-0.029170936772333372,-0.09999999999999998,-0.033333333333333326,do_not_promote
