p_no,p_name,pitch_role,import_slot_group,games,appearances,pitchers,starts,outs,er,r,h,hr,bb,hbp,so,tb,ab,sf,tbf,np,gdp,ip,era,ra9,whip,k9,bb9,hr9,kbb,avg_allowed,obp_allowed,slg_allowed,ops_allowed,ip_per_game,outs_per_start,pitches_per_ip,short_starts,quality_starts,disaster_starts,short_start_rate,quality_start_rate,disaster_start_rate
10783,문승원,bullpen,domestic_pitcher,23,23,1,0,87.0,3.0,7,16,0,10,3,17,18,101,1,116.0,478,0.0,29.0,0.9310344827586207,2.1724137931034484,0.896551724137931,5.275862068965517,3.103448275862069,0.0,1.7,0.15841584158415842,0.25217391304347825,0.1782178217821782,0.43039173482565646,1.2608695652173914,,16.482758620689655,0,0,0,,,
15461,이로운,bullpen,domestic_pitcher,31,31,1,0,85.0,17.0,17,25,5,15,0,24,45,107,0,123.0,515,0.0,28.333333333333332,5.4,5.4,1.411764705882353,7.623529411764705,4.764705882352941,1.588235294117647,1.6,0.2336448598130841,0.32786885245901637,0.4205607476635514,0.7484296001225678,0.9139784946236559,,18.176470588235293,0,0,0,,,
10203,노경은,bullpen,domestic_pitcher,26,26,1,0,78.0,13.0,15,27,5,9,1,22,50,102,2,117.0,467,0.0,26.0,4.5,5.1923076923076925,1.3846153846153846,7.615384615384615,3.1153846153846154,1.7307692307692308,2.4444444444444446,0.2647058823529412,0.32456140350877194,0.49019607843137253,0.8147574819401444,1.0,,17.96153846153846,0,0,0,,,
13228,한두솔,bullpen,domestic_pitcher,23,23,1,0,68.0,18.0,19,33,2,5,5,18,42,98,2,111.0,373,0.0,22.666666666666668,7.147058823529412,7.544117647058823,1.6764705882352942,7.147058823529412,1.9852941176470589,0.7941176470588235,3.6,0.336734693877551,0.39090909090909093,0.42857142857142855,0.8194805194805195,0.9855072463768116,,16.455882352941174,0,0,0,,,
14805,조병현,bullpen,domestic_pitcher,23,23,1,0,68.0,9.0,9,19,1,17,3,25,23,85,1,106.0,451,0.0,22.666666666666668,3.573529411764706,3.573529411764706,1.588235294117647,9.926470588235293,6.75,0.39705882352941174,1.4705882352941178,0.2235294117647059,0.36792452830188677,0.27058823529411763,0.6385127635960044,0.9855072463768116,,19.89705882352941,0,0,0,,,
14687,박시후,bullpen,domestic_pitcher,19,19,1,0,58.0,14.0,18,20,4,12,3,16,37,74,2,92.0,350,0.0,19.333333333333332,6.517241379310345,8.379310344827585,1.6551724137931034,7.448275862068965,5.586206896551724,1.8620689655172413,1.3333333333333333,0.2702702702702703,0.38461538461538464,0.5,0.8846153846153846,1.0175438596491226,,18.10344827586207,0,0,0,,,
15032,전영준,bullpen,domestic_pitcher,21,21,1,0,56.0,18.0,18,17,4,17,2,24,30,70,0,89.0,372,0.0,18.666666666666668,8.678571428571429,8.678571428571429,1.8214285714285714,11.571428571428571,8.196428571428571,1.9285714285714286,1.411764705882353,0.24285714285714285,0.4044943820224719,0.42857142857142855,0.8330658105939004,0.888888888888889,,19.928571428571427,0,0,0,,,
14804,장지훈,bullpen,domestic_pitcher,12,12,1,0,52.0,16.0,16,21,3,6,2,9,34,72,0,80.0,281,0.0,17.333333333333332,8.307692307692308,8.307692307692308,1.5576923076923077,4.673076923076923,3.1153846153846154,1.5576923076923077,1.5,0.2916666666666667,0.3625,0.4722222222222222,0.8347222222222221,1.4444444444444444,,16.211538461538463,0,0,0,,,
11242,이건욱,bullpen,domestic_pitcher,9,9,1,0,38.0,2.0,2,5,1,5,0,13,9,41,0,46.0,177,0.0,12.666666666666666,1.4210526315789473,1.4210526315789473,0.7894736842105263,9.236842105263158,3.5526315789473686,0.7105263157894737,2.6,0.12195121951219512,0.21739130434782608,0.21951219512195122,0.4369034994697773,1.4074074074074074,,13.973684210526317,0,0,0,,,
15028,이기순,bullpen,domestic_pitcher,8,8,1,0,23.0,7.0,7,12,0,13,2,7,15,35,0,50.0,208,0.0,7.666666666666667,8.217391304347826,8.217391304347826,3.260869565217391,8.217391304347826,15.26086956521739,0.0,0.5384615384615384,0.34285714285714286,0.54,0.42857142857142855,0.9685714285714286,0.9583333333333334,,27.130434782608695,0,0,0,,,
14658,최용준,bullpen,domestic_pitcher,6,6,1,0,21.0,2.0,2,4,1,6,1,4,9,23,0,31.0,136,0.0,7.0,2.5714285714285716,2.5714285714285716,1.4285714285714286,5.142857142857143,7.714285714285714,1.2857142857142858,0.6666666666666666,0.17391304347826086,0.36666666666666664,0.391304347826087,0.7579710144927536,1.1666666666666667,,19.428571428571427,0,0,0,,,
15025,김도현,bullpen,domestic_pitcher,4,4,1,0,16.0,3.0,3,3,1,9,0,2,6,18,0,27.0,117,0.0,5.333333333333333,5.0625,5.0625,2.25,3.375,15.1875,1.6875,0.2222222222222222,0.16666666666666666,0.4444444444444444,0.3333333333333333,0.7777777777777777,1.3333333333333333,,21.9375,0,0,0,,,
12571,정동윤,bullpen,domestic_pitcher,3,3,1,0,14.0,2.0,2,1,0,4,1,4,1,14,0,19.0,88,0.0,4.666666666666667,3.857142857142857,3.857142857142857,1.0714285714285714,7.714285714285714,7.714285714285714,0.0,1.0,0.07142857142857142,0.3157894736842105,0.07142857142857142,0.3872180451127819,1.5555555555555556,,18.857142857142858,0,0,0,,,
14145,백승건,bullpen,domestic_pitcher,4,4,1,0,13.0,3.0,4,8,0,3,0,3,13,19,2,25.0,110,0.0,4.333333333333333,6.230769230769231,8.307692307692308,2.5384615384615383,6.230769230769231,6.230769230769231,0.0,1.0,0.42105263157894735,0.4583333333333333,0.6842105263157895,1.1425438596491229,1.0833333333333333,,25.384615384615387,0,0,0,,,
14875,이준기,bullpen,domestic_pitcher,1,1,1,0,6.0,2.0,2,3,0,2,0,1,4,8,1,11.0,45,0.0,2.0,9.0,9.0,2.5,4.5,9.0,0.0,0.5,0.375,0.45454545454545453,0.5,0.9545454545454546,2.0,,22.5,0,0,0,,,
11373,김택형,bullpen,domestic_pitcher,1,1,1,0,2.0,3.0,3,1,1,2,0,1,4,3,0,5.0,25,0.0,0.6666666666666666,40.5,40.5,4.5,13.5,27.0,13.5,0.5,0.3333333333333333,0.6,1.3333333333333333,1.9333333333333331,0.6666666666666666,,37.5,0,0,0,,,
