player_id,stat_group,sport_id,sport_level,status_code,split_count,error,source_url,collected_at
663929,pitching,14,Single-A,200,1,,https://statsapi.mlb.com/api/v1/people/663929/stats?stats=yearByYear&group=pitching&sportId=14,2026-06-22T11:43:51+09:00
671106,pitching,11,AAA,200,4,,https://statsapi.mlb.com/api/v1/people/671106/stats?stats=yearByYear&group=pitching&sportId=11,2026-06-22T11:43:51+09:00
663929,pitching,16,Rookie,200,0,,https://statsapi.mlb.com/api/v1/people/663929/stats?stats=yearByYear&group=pitching&sportId=16,2026-06-22T11:43:51+09:00
643436,hitting,14,Single-A,200,1,,https://statsapi.mlb.com/api/v1/people/643436/stats?stats=yearByYear&group=hitting&sportId=14,2026-06-22T11:43:51+09:00
671106,pitching,12,AA,200,2,,https://statsapi.mlb.com/api/v1/people/671106/stats?stats=yearByYear&group=pitching&sportId=12,2026-06-22T11:43:51+09:00
671106,pitching,13,High-A,200,1,,https://statsapi.mlb.com/api/v1/people/671106/stats?stats=yearByYear&group=pitching&sportId=13,2026-06-22T11:43:51+09:00
671106,pitching,14,Single-A,200,0,,https://statsapi.mlb.com/api/v1/people/671106/stats?stats=yearByYear&group=pitching&sportId=14,2026-06-22T11:43:51+09:00
671106,pitching,16,Rookie,200,0,,https://statsapi.mlb.com/api/v1/people/671106/stats?stats=yearByYear&group=pitching&sportId=16,2026-06-22T11:43:51+09:00
592826,pitching,12,AA,200,3,,https://statsapi.mlb.com/api/v1/people/592826/stats?stats=yearByYear&group=pitching&sportId=12,2026-06-22T11:43:51+09:00
592826,pitching,13,High-A,200,3,,https://statsapi.mlb.com/api/v1/people/592826/stats?stats=yearByYear&group=pitching&sportId=13,2026-06-22T11:43:51+09:00
592826,pitching,11,AAA,200,6,,https://statsapi.mlb.com/api/v1/people/592826/stats?stats=yearByYear&group=pitching&sportId=11,2026-06-22T11:43:51+09:00
592826,pitching,14,Single-A,200,2,,https://statsapi.mlb.com/api/v1/people/592826/stats?stats=yearByYear&group=pitching&sportId=14,2026-06-22T11:43:51+09:00
592826,pitching,16,Rookie,200,2,,https://statsapi.mlb.com/api/v1/people/592826/stats?stats=yearByYear&group=pitching&sportId=16,2026-06-22T11:43:51+09:00
689434,pitching,11,AAA,200,1,,https://statsapi.mlb.com/api/v1/people/689434/stats?stats=yearByYear&group=pitching&sportId=11,2026-06-22T11:43:51+09:00
689434,pitching,12,AA,200,2,,https://statsapi.mlb.com/api/v1/people/689434/stats?stats=yearByYear&group=pitching&sportId=12,2026-06-22T11:43:51+09:00
689434,pitching,13,High-A,200,2,,https://statsapi.mlb.com/api/v1/people/689434/stats?stats=yearByYear&group=pitching&sportId=13,2026-06-22T11:43:51+09:00
689434,pitching,14,Single-A,200,2,,https://statsapi.mlb.com/api/v1/people/689434/stats?stats=yearByYear&group=pitching&sportId=14,2026-06-22T11:43:51+09:00
689434,pitching,16,Rookie,200,2,,https://statsapi.mlb.com/api/v1/people/689434/stats?stats=yearByYear&group=pitching&sportId=16,2026-06-22T11:43:51+09:00
624577,hitting,11,AAA,200,2,,https://statsapi.mlb.com/api/v1/people/624577/stats?stats=yearByYear&group=hitting&sportId=11,2026-06-22T11:43:51+09:00
624577,hitting,12,AA,200,1,,https://statsapi.mlb.com/api/v1/people/624577/stats?stats=yearByYear&group=hitting&sportId=12,2026-06-22T11:43:51+09:00
624577,hitting,13,High-A,200,4,,https://statsapi.mlb.com/api/v1/people/624577/stats?stats=yearByYear&group=hitting&sportId=13,2026-06-22T11:43:51+09:00
