left_out_opponent,remaining_games,rule_id,games,win_pct,complement_win_pct,win_pct_delta,avg_run_diff,complement_avg_run_diff,run_diff_delta,avg_team_runs,avg_opp_runs,avg_of_rbi,avg_unearned_runs,avg_ofdh_run_kill
삼성,56,R3_extra_out_high_of_void,8,0.0,0.4791666666666667,-0.4791666666666667,-4.5,0.10416666666666667,-4.604166666666667,2.625,7.125,0.75,2.0,0.5
삼성,56,R4_top_opponent_short_start_of_void,4,0.0,0.4423076923076923,-0.4423076923076923,-5.75,-0.15384615384615385,-5.596153846153846,3.0,8.75,1.25,2.0,0.5
키움,52,R1_rhp_low_of_conversion_run_trade,15,0.06666666666666667,0.5675675675675675,-0.5009009009009009,-5.4,1.3783783783783783,-6.778378378378378,3.466666666666667,8.866666666666667,0.9333333333333333,0.5333333333333333,0.4666666666666667
키움,52,R2_rhp_ofdh_run_kill,8,0.0,0.5,-0.5,-4.625,0.1590909090909091,-4.784090909090909,3.25,7.875,0.875,0.75,1.125
키움,52,R3_extra_out_high_of_void,7,0.0,0.4888888888888889,-0.4888888888888889,-3.857142857142857,-0.06666666666666667,-3.7904761904761903,2.7142857142857144,6.571428571428571,0.8571428571428571,2.0,0.42857142857142855
키움,52,R4_top_opponent_short_start_of_void,6,0.0,0.4782608695652174,-0.4782608695652174,-5.833333333333333,0.10869565217391304,-5.942028985507246,2.3333333333333335,8.166666666666666,0.8333333333333334,1.3333333333333333,0.3333333333333333
한화,53,R1_rhp_low_of_conversion_run_trade,19,0.10526315789473684,0.6470588235294118,-0.541795665634675,-5.157894736842105,1.7941176470588236,-6.952012383900929,3.6842105263157894,8.842105263157896,0.8947368421052632,0.5789473684210527,0.3157894736842105
한화,53,R2_rhp_ofdh_run_kill,8,0.0,0.5333333333333333,-0.5333333333333333,-5.25,0.1111111111111111,-5.361111111111111,3.25,8.5,0.875,1.0,1.0
한화,53,R3_extra_out_high_of_void,7,0.0,0.5217391304347826,-0.5217391304347826,-5.0,-0.043478260869565216,-4.956521739130435,2.142857142857143,7.142857142857143,0.5714285714285714,2.142857142857143,0.5714285714285714
한화,53,R4_top_opponent_short_start_of_void,6,0.0,0.5106382978723404,-0.5106382978723404,-5.833333333333333,-0.0425531914893617,-5.790780141843971,2.3333333333333335,8.166666666666666,0.8333333333333334,1.3333333333333333,0.3333333333333333
