query_p_no,p_name,role_segment,split_family,split_label,bucket_path,players,pa,ab,r,h,doubles,triples,hr,tb,rbi,bb,hbp,so,gdp,sf,sb,avg,obp,slg,ops,iso,bb_pct,k_pct,hr_per_pa,rbi_per_pa,context_need_score
14153,채현우,OF_lower_or_mixed_usage,score_context,tied_game,situation/1/tied_game,1,11,11,2,4,1,0,1,8,4,0,0,4,0,0,0.0,0.36363636363636365,0.36363636363636365,0.7272727272727273,1.0909090909090908,0.36363636363636365,0.0,0.36363636363636365,0.09090909090909091,0.36363636363636365,0.7675757575757576
13128,최준우,OF_lower_or_mixed_usage,location,Home,location/Home,1,23,18,4,5,2,0,0,7,0,5,0,5,0,0,0.0,0.2777777777777778,0.43478260869565216,0.3888888888888889,0.8236714975845411,0.1111111111111111,0.21739130434782608,0.21739130434782608,0.0,0.0,0.7666666666666667
13128,최준우,OF_lower_or_mixed_usage,runner_context,no_runner,runner/9/no_runner,1,23,16,8,5,2,0,0,7,0,7,0,3,0,0,0.0,0.3125,0.5217391304347826,0.4375,0.9592391304347826,0.125,0.30434782608695654,0.13043478260869565,0.0,0.0,0.7666666666666667
13128,최준우,OF_lower_or_mixed_usage,score_context,within_two_run,situation/3/within_two_run,1,23,18,4,4,2,0,0,6,0,5,0,4,0,0,0.0,0.2222222222222222,0.391304347826087,0.3333333333333333,0.7246376811594203,0.1111111111111111,0.21739130434782608,0.17391304347826086,0.0,0.0,0.7666666666666667
14587,최지훈,OF_lower_or_mixed_usage,terminal_count,3B_1S,ballCount/0/3B_1S,1,10,5,2,0,0,0,0,0,0,5,0,0,0,0,0.0,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.7333333333333332
14153,채현우,OF_lower_or_mixed_usage,score_context,within_one_run,situation/2/within_one_run,1,19,18,5,7,2,0,1,12,6,0,0,5,0,1,0.0,0.3888888888888889,0.3684210526315789,0.6666666666666666,1.0350877192982455,0.27777777777777773,0.0,0.2631578947368421,0.05263157894736842,0.3157894736842105,0.7328070175438596
15530,에레디아,OF_high_leverage_usage,terminal_count,3B_2S,ballCount/0/3B_2S,1,21,13,3,2,0,0,1,5,6,7,1,5,1,0,0.0,0.15384615384615385,0.47619047619047616,0.38461538461538464,0.8608058608058609,0.23076923076923078,0.3333333333333333,0.23809523809523808,0.047619047619047616,0.2857142857142857,0.7242857142857142
10815,한유섬,OF_lower_or_mixed_usage,pitcher_type,vs_left,type/0/vs_left,1,16,13,3,3,0,0,0,3,0,3,0,2,0,0,0.0,0.23076923076923078,0.375,0.23076923076923078,0.6057692307692308,0.0,0.1875,0.125,0.0,0.0,0.7217948717948716
14153,채현우,OF_lower_or_mixed_usage,runner_context,runner_on_base,runner/8/runner_on_base,1,20,18,7,7,2,0,1,12,7,0,0,2,0,2,0.0,0.3888888888888889,0.35,0.6666666666666666,1.0166666666666666,0.27777777777777773,0.0,0.1,0.05,0.35,0.6666666666666666
13128,최준우,OF_lower_or_mixed_usage,runner_context,runner_on_base,runner/8/runner_on_base,1,15,14,0,4,0,0,0,4,0,1,0,3,0,0,0.0,0.2857142857142857,0.3333333333333333,0.2857142857142857,0.6190476190476191,0.0,0.06666666666666667,0.2,0.0,0.0,0.6619047619047618
