candidate_key,candidate_news_scope,fit_slot,player_id,player_name,search_name,team_or_org,position_or_role,market_realism_status,contract_control_bucket,medical_risk_bucket,market_realism_fit_blend_for_triage_only,person_url,source_url
276c736bd5c855b8,run029_naver_news_collection,asian_quota,,JIANG Shao Hong,JIANG Shao Hong,DRAGONS,Catcher,buyout_salary_agent_check_needed,eligible_but_contract_buyout_unknown,candidate_medical_news_not_collected,44.5,https://en.cpbl.com.tw/team/person?Acnt=0000005291,https://en.cpbl.com.tw/team?ClubNo=AAA
f02d1d6feebf41ea,run029_naver_news_collection,asian_quota,,LIN Chen Hsun,LIN Chen Hsun,DRAGONS,Catcher,buyout_salary_agent_check_needed,eligible_but_contract_buyout_unknown,candidate_medical_news_not_collected,44.5,https://en.cpbl.com.tw/team/person?Acnt=0000006217,https://en.cpbl.com.tw/team?ClubNo=AAA
08d5a18c327d9b93,run029_naver_news_collection,foreign_hitter,686823.0,will brennan,will brennan,SF,OF/DH candidate pool,manual_contact_priority_locked,recent_dfa_high_access,medical_history_watch,92.166,,
d30bb7a0c8810b39,run029_naver_news_collection,foreign_hitter,683079.0,omar martinez,omar martinez,LAA,OF/DH candidate pool,manual_contact_priority_locked,recent_dfa_high_access,no_public_medical_signal_from_roster_transactions,89.438,,
c7b49f5657f0b336,run029_naver_news_collection,foreign_hitter,663967.0,césar salazar,césar salazar,HOU,OF/DH candidate pool,manual_contact_priority_locked,recent_dfa_high_access,no_public_medical_signal_from_roster_transactions,89.415,,
c07d037cda2b8992,run029_naver_news_collection,foreign_hitter,689041.0,rhylan thomas,rhylan thomas,,OF/DH candidate pool,manual_contact_priority_locked,recent_free_agent_or_released_high_access,no_public_medical_signal_from_roster_transactions,86.419,,
e7a8764273b7dcb2,run029_naver_news_collection,foreign_hitter,644433.0,chadwick tromp,chadwick tromp,BAL,OF/DH candidate pool,manual_contact_priority_locked,recent_dfa_high_access,no_public_medical_signal_from_roster_transactions,80.609,,
3edf37c0ec4e3096,run029_naver_news_collection,foreign_hitter,606115.0,orlando arcia,orlando arcia,MIN,OF/DH candidate pool,manual_contact_priority_locked,recent_dfa_high_access,no_public_medical_signal_from_roster_transactions,78.741,,
528cf226e7fba270,run029_naver_news_collection,foreign_hitter,660644.0,vidal bruján,vidal bruján,NYM,OF/DH candidate pool,manual_contact_priority_locked,recent_dfa_high_access,no_public_medical_signal_from_roster_transactions,78.346,,
5322310d436edffd,run029_naver_news_collection,foreign_hitter,650859.0,luis rengifo,luis rengifo,MIL,OF/DH candidate pool,manual_contact_priority_locked,recent_dfa_high_access,no_public_medical_signal_from_roster_transactions,77.722,,
