provider,status,candidate_key,candidate_name,message,query,returned_rows,error_rows
google_news_rss,attempted,eab42a42b03e9bef,CHEN Chung Ting,,"""CHEN Chung Ting"" ""U-Lions"" baseball",0.0,0.0
google_news_rss,attempted,eab42a42b03e9bef,CHEN Chung Ting,,"""CHEN Chung Ting"" NPB OR CPBL OR injury OR contract OR KBO",0.0,0.0
naver_news,skipped_missing_env,734430f58e29c9e7,CHEN Sheng Ping,NAVER_CLIENT_ID and NAVER_CLIENT_SECRET are not loaded in the shell environment,,,
google_news_rss,attempted,734430f58e29c9e7,CHEN Sheng Ping,,"""CHEN Sheng Ping"" ""U-Lions"" baseball",0.0,0.0
google_news_rss,attempted,734430f58e29c9e7,CHEN Sheng Ping,,"""CHEN Sheng Ping"" NPB OR CPBL OR injury OR contract OR KBO",2.0,0.0
naver_news,skipped_missing_env,d4756d9ea6252634,LIN Hong Xian,NAVER_CLIENT_ID and NAVER_CLIENT_SECRET are not loaded in the shell environment,,,
google_news_rss,attempted,d4756d9ea6252634,LIN Hong Xian,,"""LIN Hong Xian"" ""U-Lions"" baseball",0.0,0.0
google_news_rss,attempted,d4756d9ea6252634,LIN Hong Xian,,"""LIN Hong Xian"" NPB OR CPBL OR injury OR contract OR KBO",0.0,0.0
naver_news,skipped_missing_env,31666aa70a9929f9,CHEN Yung Chi（Ma Yaw Ciru）,NAVER_CLIENT_ID and NAVER_CLIENT_SECRET are not loaded in the shell environment,,,
google_news_rss,attempted,31666aa70a9929f9,CHEN Yung Chi（Ma Yaw Ciru）,,"""CHEN Yung Chi（Ma Yaw Ciru）"" ""U-Lions"" baseball",0.0,0.0
google_news_rss,attempted,31666aa70a9929f9,CHEN Yung Chi（Ma Yaw Ciru）,,"""CHEN Yung Chi（Ma Yaw Ciru）"" NPB OR CPBL OR injury OR contract OR KBO",0.0,0.0
naver_news,skipped_missing_env,fd242618f24b0412,LIN Tzu Hao,NAVER_CLIENT_ID and NAVER_CLIENT_SECRET are not loaded in the shell environment,,,
google_news_rss,attempted,fd242618f24b0412,LIN Tzu Hao,,"""LIN Tzu Hao"" ""U-Lions"" baseball",0.0,0.0
google_news_rss,attempted,fd242618f24b0412,LIN Tzu Hao,,"""LIN Tzu Hao"" NPB OR CPBL OR injury OR contract OR KBO",3.0,0.0
naver_news,skipped_missing_env,6bf2c020c4e11236,PAN Chieh Kai,NAVER_CLIENT_ID and NAVER_CLIENT_SECRET are not loaded in the shell environment,,,
google_news_rss,attempted,6bf2c020c4e11236,PAN Chieh Kai,,"""PAN Chieh Kai"" ""U-Lions"" baseball",0.0,0.0
google_news_rss,attempted,6bf2c020c4e11236,PAN Chieh Kai,,"""PAN Chieh Kai"" NPB OR CPBL OR injury OR contract OR KBO",3.0,0.0
naver_news,skipped_missing_env,08d5a18c327d9b93,will brennan,NAVER_CLIENT_ID and NAVER_CLIENT_SECRET are not loaded in the shell environment,,,
google_news_rss,attempted,08d5a18c327d9b93,will brennan,,"""will brennan"" baseball",6.0,0.0
google_news_rss,attempted,08d5a18c327d9b93,will brennan,,"""will brennan"" injury OR contract OR DFA OR released OR KBO",6.0,0.0
naver_news,skipped_missing_env,d30bb7a0c8810b39,omar martinez,NAVER_CLIENT_ID and NAVER_CLIENT_SECRET are not loaded in the shell environment,,,
google_news_rss,attempted,d30bb7a0c8810b39,omar martinez,,"""omar martinez"" baseball",6.0,0.0
google_news_rss,attempted,d30bb7a0c8810b39,omar martinez,,"""omar martinez"" injury OR contract OR DFA OR released OR KBO",6.0,0.0
naver_news,skipped_missing_env,c7b49f5657f0b336,césar salazar,NAVER_CLIENT_ID and NAVER_CLIENT_SECRET are not loaded in the shell environment,,,
google_news_rss,attempted,c7b49f5657f0b336,césar salazar,,"""césar salazar"" baseball",6.0,0.0
google_news_rss,attempted,c7b49f5657f0b336,césar salazar,,"""césar salazar"" injury OR contract OR DFA OR released OR KBO",6.0,0.0
naver_news,skipped_missing_env,c07d037cda2b8992,rhylan thomas,NAVER_CLIENT_ID and NAVER_CLIENT_SECRET are not loaded in the shell environment,,,
google_news_rss,attempted,c07d037cda2b8992,rhylan thomas,,"""rhylan thomas"" baseball",6.0,0.0
google_news_rss,attempted,c07d037cda2b8992,rhylan thomas,,"""rhylan thomas"" injury OR contract OR DFA OR released OR KBO",6.0,0.0
naver_news,skipped_missing_env,e7a8764273b7dcb2,chadwick tromp,NAVER_CLIENT_ID and NAVER_CLIENT_SECRET are not loaded in the shell environment,,,
google_news_rss,attempted,e7a8764273b7dcb2,chadwick tromp,,"""chadwick tromp"" baseball",6.0,0.0
google_news_rss,attempted,e7a8764273b7dcb2,chadwick tromp,,"""chadwick tromp"" injury OR contract OR DFA OR released OR KBO",6.0,0.0
naver_news,skipped_missing_env,3edf37c0ec4e3096,orlando arcia,NAVER_CLIENT_ID and NAVER_CLIENT_SECRET are not loaded in the shell environment,,,
google_news_rss,attempted,3edf37c0ec4e3096,orlando arcia,,"""orlando arcia"" baseball",6.0,0.0
google_news_rss,attempted,3edf37c0ec4e3096,orlando arcia,,"""orlando arcia"" injury OR contract OR DFA OR released OR KBO",6.0,0.0
naver_news,skipped_missing_env,528cf226e7fba270,vidal bruján,NAVER_CLIENT_ID and NAVER_CLIENT_SECRET are not loaded in the shell environment,,,
google_news_rss,attempted,528cf226e7fba270,vidal bruján,,"""vidal bruján"" baseball",6.0,0.0
google_news_rss,attempted,528cf226e7fba270,vidal bruján,,"""vidal bruján"" injury OR contract OR DFA OR released OR KBO",6.0,0.0
naver_news,skipped_missing_env,5322310d436edffd,luis rengifo,NAVER_CLIENT_ID and NAVER_CLIENT_SECRET are not loaded in the shell environment,,,
google_news_rss,attempted,5322310d436edffd,luis rengifo,,"""luis rengifo"" baseball",6.0,0.0
google_news_rss,attempted,5322310d436edffd,luis rengifo,,"""luis rengifo"" injury OR contract OR DFA OR released OR KBO",6.0,0.0
