locked_fit_id,fit_slot,source_pool,position_or_role_bucket,failure_risk_band_v0_3,source_gap_band,translation_uncertainty_policy,medical_risk_bucket,contract_control_bucket,manual_review_tier_v0_3,candidate_release_allowed,score_release_allowed,rank_release_allowed,shortlist_label_allowed,is_final_recommendation,release_policy
LOCKED-AQ-V03-F6B4C7FD3F97,asian_quota,,Center-Fielder,manual_review_required,block_until_source_or_medical_cleared,classifier_not_promoted_use_role_prior_feature_contract,candidate_medical_news_not_collected,eligible_but_contract_buyout_unknown,P1_manual_review,False,False,False,False,False,layer5_6_augmented_recalibration_locked_no_candidate_release
LOCKED-AQ-V03-E5AB8276A0AE,asian_quota,,Center-Fielder,manual_review_required,block_until_source_or_medical_cleared,classifier_not_promoted_use_role_prior_feature_contract,candidate_medical_news_not_collected,eligible_but_contract_buyout_unknown,P1_manual_review,False,False,False,False,False,layer5_6_augmented_recalibration_locked_no_candidate_release
LOCKED-AQ-V03-EBDFC478A469,asian_quota,,Center-Fielder,manual_review_required,block_until_source_or_medical_cleared,classifier_not_promoted_use_role_prior_feature_contract,candidate_medical_news_not_collected,eligible_but_contract_buyout_unknown,P1_manual_review,False,False,False,False,False,layer5_6_augmented_recalibration_locked_no_candidate_release
LOCKED-AQ-V03-5B1FF585DDC1,asian_quota,,First-Base Man,manual_review_required,block_until_source_or_medical_cleared,classifier_not_promoted_use_role_prior_feature_contract,candidate_medical_news_not_collected,eligible_but_contract_buyout_unknown,P1_manual_review,False,False,False,False,False,layer5_6_augmented_recalibration_locked_no_candidate_release
LOCKED-AQ-V03-09678C67E624,asian_quota,,First-Base Man,manual_review_required,block_until_source_or_medical_cleared,classifier_not_promoted_use_role_prior_feature_contract,candidate_medical_news_not_collected,eligible_but_contract_buyout_unknown,P1_manual_review,False,False,False,False,False,layer5_6_augmented_recalibration_locked_no_candidate_release
LOCKED-AQ-V03-56AD0D37C476,asian_quota,,Left-Fielder,manual_review_required,block_until_source_or_medical_cleared,classifier_not_promoted_use_role_prior_feature_contract,candidate_medical_news_not_collected,eligible_but_contract_buyout_unknown,P1_manual_review,False,False,False,False,False,layer5_6_augmented_recalibration_locked_no_candidate_release
LOCKED-AQ-V03-CABD54B20683,asian_quota,,Pitcher,manual_review_required,block_until_source_or_medical_cleared,classifier_not_promoted_use_role_prior_feature_contract,candidate_medical_news_not_collected,eligible_but_contract_buyout_unknown,P1_manual_review,False,False,False,False,False,layer5_6_augmented_recalibration_locked_no_candidate_release
LOCKED-AQ-V03-23CD9BCAF6C4,asian_quota,,Pitcher,manual_review_required,block_until_source_or_medical_cleared,classifier_not_promoted_use_role_prior_feature_contract,candidate_medical_news_not_collected,eligible_but_contract_buyout_unknown,P1_manual_review,False,False,False,False,False,layer5_6_augmented_recalibration_locked_no_candidate_release
LOCKED-AQ-V03-C0C8FE4364A1,asian_quota,,Pitcher,manual_review_required,block_until_source_or_medical_cleared,classifier_not_promoted_use_role_prior_feature_contract,candidate_medical_news_not_collected,eligible_but_contract_buyout_unknown,P1_manual_review,False,False,False,False,False,layer5_6_augmented_recalibration_locked_no_candidate_release
LOCKED-AQ-V03-0D7A5D722F1B,asian_quota,,Pitcher,manual_review_required,block_until_source_or_medical_cleared,classifier_not_promoted_use_role_prior_feature_contract,candidate_medical_news_not_collected,eligible_but_contract_buyout_unknown,P1_manual_review,False,False,False,False,False,layer5_6_augmented_recalibration_locked_no_candidate_release
LOCKED-AQ-V03-0FE1690FCCCC,asian_quota,,Pitcher,manual_review_required,block_until_source_or_medical_cleared,classifier_not_promoted_use_role_prior_feature_contract,candidate_medical_news_not_collected,eligible_but_contract_buyout_unknown,P1_manual_review,False,False,False,False,False,layer5_6_augmented_recalibration_locked_no_candidate_release
LOCKED-AQ-V03-A853B592C929,asian_quota,,Pitcher,manual_review_required,block_until_source_or_medical_cleared,classifier_not_promoted_use_role_prior_feature_contract,candidate_medical_news_not_collected,eligible_but_contract_buyout_unknown,P1_manual_review,False,False,False,False,False,layer5_6_augmented_recalibration_locked_no_candidate_release
LOCKED-AQ-V03-31FBBDE40D60,asian_quota,,Pitcher,manual_review_required,block_until_source_or_medical_cleared,classifier_not_promoted_use_role_prior_feature_contract,candidate_medical_news_not_collected,eligible_but_contract_buyout_unknown,P1_manual_review,False,False,False,False,False,layer5_6_augmented_recalibration_locked_no_candidate_release
LOCKED-AQ-V03-34DC33E8FA53,asian_quota,,Pitcher,manual_review_required,block_until_source_or_medical_cleared,classifier_not_promoted_use_role_prior_feature_contract,candidate_medical_news_not_collected,eligible_but_contract_buyout_unknown,P1_manual_review,False,False,False,False,False,layer5_6_augmented_recalibration_locked_no_candidate_release
LOCKED-AQ-V03-9029B054333B,asian_quota,,Second-Base Man,manual_review_required,block_until_source_or_medical_cleared,classifier_not_promoted_use_role_prior_feature_contract,candidate_medical_news_not_collected,eligible_but_contract_buyout_unknown,P1_manual_review,False,False,False,False,False,layer5_6_augmented_recalibration_locked_no_candidate_release
LOCKED-AQ-V03-D1D6E600217A,asian_quota,,Second-Base Man,manual_review_required,block_until_source_or_medical_cleared,classifier_not_promoted_use_role_prior_feature_contract,candidate_medical_news_not_collected,eligible_but_contract_buyout_unknown,P1_manual_review,False,False,False,False,False,layer5_6_augmented_recalibration_locked_no_candidate_release
LOCKED-AQ-V03-974B55DDD2D2,asian_quota,,Shortstop,manual_review_required,block_until_source_or_medical_cleared,classifier_not_promoted_use_role_prior_feature_contract,candidate_medical_news_not_collected,eligible_but_contract_buyout_unknown,P1_manual_review,False,False,False,False,False,layer5_6_augmented_recalibration_locked_no_candidate_release
LOCKED-AQ-V03-B74F102D713A,asian_quota,,Third-Base Man,manual_review_required,block_until_source_or_medical_cleared,classifier_not_promoted_use_role_prior_feature_contract,candidate_medical_news_not_collected,eligible_but_contract_buyout_unknown,P1_manual_review,False,False,False,False,False,layer5_6_augmented_recalibration_locked_no_candidate_release
LOCKED-AQ-V03-92F8079E5565,asian_quota,,Catcher,manual_review_required,block_until_source_or_medical_cleared,classifier_not_promoted_use_role_prior_feature_contract,candidate_medical_news_not_collected,eligible_but_contract_buyout_unknown,P1_manual_review,False,False,False,False,False,layer5_6_augmented_recalibration_locked_no_candidate_release
LOCKED-AQ-V03-139238689287,asian_quota,,Catcher,manual_review_required,block_until_source_or_medical_cleared,classifier_not_promoted_use_role_prior_feature_contract,candidate_medical_news_not_collected,eligible_but_contract_buyout_unknown,P1_manual_review,False,False,False,False,False,layer5_6_augmented_recalibration_locked_no_candidate_release
LOCKED-AQ-V03-EE48804BE967,asian_quota,,Center-Fielder,manual_review_required,block_until_source_or_medical_cleared,classifier_not_promoted_use_role_prior_feature_contract,candidate_medical_news_not_collected,eligible_but_contract_buyout_unknown,P1_manual_review,False,False,False,False,False,layer5_6_augmented_recalibration_locked_no_candidate_release
LOCKED-AQ-V03-8DDDAAF8AAF9,asian_quota,,Center-Fielder,manual_review_required,block_until_source_or_medical_cleared,classifier_not_promoted_use_role_prior_feature_contract,candidate_medical_news_not_collected,eligible_but_contract_buyout_unknown,P1_manual_review,False,False,False,False,False,layer5_6_augmented_recalibration_locked_no_candidate_release
LOCKED-AQ-V03-DA90878F30FD,asian_quota,,Center-Fielder,manual_review_required,block_until_source_or_medical_cleared,classifier_not_promoted_use_role_prior_feature_contract,candidate_medical_news_not_collected,eligible_but_contract_buyout_unknown,P1_manual_review,False,False,False,False,False,layer5_6_augmented_recalibration_locked_no_candidate_release
LOCKED-AQ-V03-1A0EDB2B229B,asian_quota,,First-Base Man,manual_review_required,block_until_source_or_medical_cleared,classifier_not_promoted_use_role_prior_feature_contract,candidate_medical_news_not_collected,eligible_but_contract_buyout_unknown,P1_manual_review,False,False,False,False,False,layer5_6_augmented_recalibration_locked_no_candidate_release
LOCKED-AQ-V03-664E2F2F7AB9,asian_quota,,Left-Fielder,manual_review_required,block_until_source_or_medical_cleared,classifier_not_promoted_use_role_prior_feature_contract,candidate_medical_news_not_collected,eligible_but_contract_buyout_unknown,P1_manual_review,False,False,False,False,False,layer5_6_augmented_recalibration_locked_no_candidate_release
