game_year,pitcher,player_name,pa,pitch,hit,walk,hbp,strikeout,home_run,swing,whiff,zone_pitch,out_zone_pitch,chase_swing,first_pitch,first_pitch_nonball,three_ball_pitch,bbe,hardhit,barrel,woba_num,woba_den,xwoba_num,xslg_num,x_metric_den,early_1_3_pa,early_1_3_woba_num,early_1_3_woba_den,early_1_3_bbe,early_1_3_xwoba_num,early_1_3_x_metric_den,runner_on_base_pa,runner_on_base_woba_num,runner_on_base_woba_den,runner_on_base_bbe,runner_on_base_xwoba_num,runner_on_base_x_metric_den,risp_pa,risp_woba_num,risp_woba_den,risp_bbe,risp_xwoba_num,risp_x_metric_den,third_time_pa,third_time_woba_num,third_time_woba_den,third_time_bbe,third_time_xwoba_num,third_time_x_metric_den,games,start_proxy_games,avg_game_pitches,avg_game_pa,max_game_pitches,games_80plus_pitches,games_90plus_pitches,games_100plus_pitches,games_20plus_pa,games_reached_third_time,bb_pct,bb_hbp_pct,k_pct,hr_pct,woba_allowed,xwoba_allowed_bbe,xslg_allowed_bbe,whiff_per_swing,chase_rate,zone_rate,first_pitch_nonball_rate,three_ball_pitch_rate,hardhit_rate,barrel_rate,start_proxy_rate,games_80plus_rate,games_20plus_pa_rate,third_time_game_rate,early_1_3_woba_allowed,early_1_3_xwoba_allowed_bbe,early_1_3_pa_rate,runner_on_base_woba_allowed,runner_on_base_xwoba_allowed_bbe,runner_on_base_pa_rate,risp_woba_allowed,risp_xwoba_allowed_bbe,risp_pa_rate,third_time_woba_allowed,third_time_xwoba_allowed_bbe,third_time_pa_rate,starter_stabilizer_score,starter_stabilizer_eligible
2025,663485,"Sands, Cole",299,1152,65,19,4,64,7,554,115,606,537,150,299,181,71,212,88,21,91.65,294.0,75.27193103767469,108.494,209,18,3.8,18.0,14,4.458166666666667,14,135,46.4,130.0,95,31.17820766404648,92,91,31.6,87.0,64,19.77450653622693,62,0,0.0,0.0,0,0.0,0,69,3,16.695652173913043,4.333333333333333,31,0,0,0,0,0,0.06354515050167224,0.07692307692307693,0.2140468227424749,0.023411371237458192,0.31173469387755104,0.3601527800845679,0.51911004784689,0.2075812274368231,0.27932960893854747,0.5260416666666666,0.6053511705685619,0.06163194444444445,0.41509433962264153,0.09905660377358491,0.043478260869565216,0.0,0.0,0.0,0.2111111111111111,0.3184404761904762,0.06020066889632107,0.3569230769230769,0.3388935615657226,0.451505016722408,0.3632183908045977,0.31894365381011175,0.30434782608695654,,,0.0,59.12104520153113,True
2025,676664,"Sears, JP",583,2366,143,36,6,117,30,1118,207,1229,1137,287,586,362,203,424,167,40,209.5,580.0,155.60746049685372,238.135,421,337,112.45,337.0,235,77.67350907961956,235,226,79.8,223.0,156,54.456847467452484,153,127,43.6,125.0,90,26.50520801709535,88,98,37.0,97.0,83,30.19665768805399,82,27,27,87.62962962962963,21.59259259259259,113,23,13,3,22,24,0.06174957118353345,0.07204116638078903,0.2006861063464837,0.051457975986277875,0.3612068965517241,0.36961392042008007,0.5656413301662707,0.1851520572450805,0.25241864555848725,0.5194420963651732,0.6177474402730375,0.08579881656804733,0.3938679245283019,0.09433962264150944,1.0,0.8518518518518519,0.8148148148148148,0.8888888888888888,0.33367952522255195,0.3305255705515726,0.5780445969125214,0.357847533632287,0.3559271076304084,0.3876500857632933,0.3488,0.3011955456488108,0.21783876500857632,0.38144329896907214,0.36825192302504867,0.1680960548885077,59.11356951232086,True
2025,694819,"Misiorowski, Jacob",272,1165,51,30,3,87,8,580,152,635,529,151,273,158,110,151,57,12,81.65,271.0,55.12404715525711,81.97,151,168,52.5,167.0,91,32.43218685553312,91,110,36.25,109.0,61,21.676671171678837,61,58,19.55,58.0,35,13.293113986928105,35,23,8.95,23.0,17,5.5543875,17,15,14,77.66666666666667,18.133333333333333,108,6,3,1,5,7,0.11029411764705882,0.1213235294117647,0.31985294117647056,0.029411764705882353,0.3012915129151292,0.36505991493547757,0.5428476821192053,0.2620689655172414,0.28544423440453687,0.5450643776824035,0.5787545787545788,0.0944206008583691,0.37748344370860926,0.07947019867549669,0.9333333333333333,0.4,0.3333333333333333,0.4666666666666667,0.3143712574850299,0.35639765775311116,0.6176470588235294,0.33256880733944955,0.3553552651094891,0.40441176470588236,0.3370689655172414,0.37980325676937443,0.21323529411764705,0.38913043478260867,0.32672867647058823,0.08455882352941177,59.1091642424293,True
2025,670912,"Oviedo, Johan",170,667,26,23,3,42,6,281,78,333,332,78,171,88,69,102,36,7,51.4,170.0,35.69515155529954,54.092999999999996,102,109,37.55,109.0,64,25.077438293650793,64,73,21.85,73.0,47,17.0571875,47,45,10.2,45.0,26,8.144,26,20,4.1,20.0,13,2.515,13,9,9,74.11111111111111,18.88888888888889,99,4,1,0,4,7,0.13529411764705881,0.15294117647058825,0.24705882352941178,0.03529411764705882,0.3023529411764706,0.34995246622842685,0.5303235294117646,0.2775800711743772,0.23493975903614459,0.4992503748125937,0.5146198830409356,0.10344827586206896,0.35294117647058826,0.06862745098039216,1.0,0.4444444444444444,0.4444444444444444,0.7777777777777778,0.3444954128440367,0.39183497333829365,0.6411764705882353,0.2993150684931507,0.36291888297872343,0.4294117647058823,0.22666666666666666,0.31323076923076926,0.2647058823529412,0.205,0.19346153846153846,0.11764705882352941,58.85866601178415,True
2026,500779,"Quintana, Jose",181,690,45,17,1,20,6,323,66,284,403,129,182,107,53,143,47,12,68.05,179.0,48.853,68.767,141,114,45.0,114.0,86,31.467,86,80,28.0,78.0,59,20.176,57,54,15.3,54.0,40,12.012,40,27,7.7,27.0,24,5.564,24,9,9,76.66666666666667,20.11111111111111,94,4,2,0,5,7,0.09392265193370165,0.09944751381215469,0.11049723756906077,0.03314917127071823,0.38016759776536313,0.3464751773049646,0.487709219858156,0.2043343653250774,0.3200992555831266,0.4115942028985507,0.5879120879120879,0.07681159420289856,0.32867132867132864,0.08391608391608392,1.0,0.4444444444444444,0.5555555555555556,0.7777777777777778,0.39473684210526316,0.3658953488372093,0.6298342541436464,0.358974358974359,0.3539649122807017,0.4419889502762431,0.2833333333333333,0.3003,0.2983425414364641,0.2851851851851852,0.23183333333333334,0.14917127071823205,58.70198056583902,True
2025,571578,"Corbin, Patrick",663,2590,161,51,3,131,21,1199,302,1214,1374,406,666,434,241,477,193,40,219.25,658.0,184.11611278540354,263.793,474,378,124.2,374.0,261,105.82298793765864,259,275,90.15,271.0,204,72.82020634157874,201,163,56.05,161.0,120,42.89053886222457,119,120,47.05,120.0,100,37.19029495597001,100,31,30,83.54838709677419,21.387096774193548,110,22,11,3,23,27,0.07692307692307693,0.08144796380090498,0.1975867269984917,0.03167420814479638,0.3332066869300912,0.3884306176907248,0.5565253164556963,0.2518765638031693,0.2954876273653566,0.46872586872586874,0.6516516516516516,0.09305019305019305,0.40461215932914046,0.08385744234800839,0.967741935483871,0.7096774193548387,0.7419354838709677,0.8709677419354839,0.3320855614973262,0.40858296501026503,0.5701357466063348,0.33265682656826573,0.36228958378894893,0.41478129713423834,0.3481366459627329,0.3604246963212148,0.2458521870286576,0.3920833333333333,0.3719029495597001,0.18099547511312217,58.69861938865508,True
2026,813349,"Early, Connelly",300,1180,60,27,6,69,12,553,115,546,634,206,300,184,95,197,85,23,96.15,298.0,75.877,114.858,196,171,59.35,171.0,109,42.456,109,123,31.3,121.0,76,29.343,75,59,15.9,58.0,39,12.67,38,66,14.5,66.0,46,16.276,46,13,13,90.76923076923077,23.076923076923077,97,12,8,0,12,13,0.09,0.11,0.23,0.04,0.3226510067114094,0.38712755102040813,0.5860102040816326,0.20795660036166366,0.3249211356466877,0.46271186440677964,0.6133333333333333,0.08050847457627118,0.43147208121827413,0.116751269035533,1.0,0.9230769230769231,0.9230769230769231,1.0,0.34707602339181287,0.3895045871559633,0.57,0.25867768595041324,0.39124,0.41,0.27413793103448275,0.33342105263157895,0.19666666666666666,0.2196969696969697,0.35382608695652173,0.22,58.63351175754725,True
2026,681190,"Vásquez, Randy",291,1134,70,20,3,53,10,558,112,555,575,167,292,184,80,215,101,29,96.85,289.0,96.861,144.954,214,164,58.05,163.0,120,59.425,119,122,29.2,120.0,88,36.057,87,67,15.4,66.0,49,20.971,49,57,15.55,56.0,40,13.468,40,13,13,87.23076923076923,22.384615384615383,106,10,5,1,13,13,0.06872852233676977,0.07903780068728522,0.18213058419243985,0.03436426116838488,0.33512110726643596,0.45262149532710283,0.6773551401869159,0.2007168458781362,0.29043478260869565,0.4894179894179894,0.6301369863013698,0.07054673721340388,0.4697674418604651,0.13488372093023257,1.0,0.7692307692307693,1.0,1.0,0.35613496932515337,0.49936974789915967,0.563573883161512,0.24333333333333332,0.414448275862069,0.41924398625429554,0.23333333333333334,0.4279795918367347,0.23024054982817868,0.27767857142857144,0.3367,0.1958762886597938,58.60721841434776,True
2026,676440,"Bibee, Tanner",317,1229,71,24,1,63,13,573,142,625,604,155,318,195,104,228,104,22,102.05,316.0,87.592,128.976,228,165,51.2,165.0,114,45.879,114,123,38.55,123.0,86,31.612,86,55,18.65,55.0,36,13.665,36,67,20.95,66.0,55,20.809,55,14,14,87.78571428571429,22.642857142857142,104,10,8,1,11,12,0.07570977917981073,0.07886435331230283,0.19873817034700317,0.04100946372239748,0.32294303797468354,0.3841754385964912,0.5656842105263158,0.24781849912739964,0.25662251655629137,0.5085435313262815,0.6132075471698113,0.08462164361269324,0.45614035087719296,0.09649122807017543,1.0,0.7142857142857143,0.7857142857142857,0.8571428571428571,0.3103030303030303,0.4024473684210526,0.5205047318611987,0.31341463414634146,0.3675813953488372,0.38801261829652994,0.33909090909090905,0.37958333333333333,0.17350157728706625,0.3174242424242424,0.37834545454545454,0.2113564668769716,58.52751808795544,True
2025,663559,"Falter, Bailey",518,1952,115,46,1,81,19,916,147,1044,907,227,519,298,150,390,176,37,169.85,515.0,142.54363146889156,214.171,387,291,90.55,289.0,216,72.9851155783752,214,202,65.05,199.0,152,52.055762699456615,149,115,39.25,114.0,87,29.014769886363638,86,74,24.75,74.0,56,25.624512199051676,56,26,24,75.07692307692308,19.923076923076923,90,10,1,0,17,18,0.0888030888030888,0.09073359073359073,0.15637065637065636,0.03667953667953668,0.32980582524271845,0.3683297970772392,0.5534134366925064,0.16048034934497818,0.25027563395810365,0.5348360655737705,0.5741811175337187,0.07684426229508197,0.4512820512820513,0.09487179487179487,0.9230769230769231,0.38461538461538464,0.6538461538461539,0.6923076923076923,0.31332179930795845,0.3410519419550243,0.5617760617760618,0.32688442211055274,0.34936753489568195,0.38996138996138996,0.3442982456140351,0.33738104519027484,0.222007722007722,0.3344594594594595,0.45758057498306565,0.14285714285714285,58.49103063858156,True
2026,663460,"Bubic, Kris",207,812,36,26,1,51,4,380,87,384,427,122,207,119,75,128,51,10,59.2,206.0,48.55,70.731,128,114,35.5,113.0,68,28.62,68,88,24.9,88.0,62,26.691,62,37,13.65,37.0,28,13.722,28,45,9.45,45.0,31,9.132,31,9,9,90.22222222222223,23.0,100,8,5,1,9,9,0.12560386473429952,0.13043478260869565,0.2463768115942029,0.01932367149758454,0.28737864077669906,0.379296875,0.5525859375,0.22894736842105262,0.2857142857142857,0.4729064039408867,0.5748792270531401,0.09236453201970443,0.3984375,0.078125,1.0,0.8888888888888888,1.0,1.0,0.3141592920353982,0.4208823529411765,0.5507246376811594,0.28295454545454546,0.4305,0.4251207729468599,0.3689189189189189,0.49007142857142855,0.178743961352657,0.21,0.2945806451612903,0.21739130434782608,58.31879376919713,True
2025,606996,"Hart, Kyle",179,692,38,13,2,37,9,306,60,355,336,85,179,113,40,127,50,10,57.4,179.0,43.00387883776907,65.526,127,80,29.3,80.0,59,20.781466949983656,59,54,19.8,54.0,32,11.739655279503106,32,31,12.15,31.0,17,7.359655279503106,17,12,5.6,12.0,11,6.53495,11,20,6,34.6,8.95,80,2,0,0,2,5,0.07262569832402235,0.08379888268156424,0.20670391061452514,0.05027932960893855,0.3206703910614525,0.33861321919503207,0.5159527559055118,0.19607843137254902,0.25297619047619047,0.5130057803468208,0.6312849162011173,0.057803468208092484,0.3937007874015748,0.07874015748031496,0.3,0.1,0.1,0.25,0.36625,0.3522282533895535,0.44692737430167595,0.3666666666666667,0.36686422748447206,0.3016759776536313,0.39193548387096777,0.43292089879430035,0.17318435754189945,0.4666666666666666,0.5940863636363637,0.0670391061452514,58.29675142224228,True
2025,650644,"Civale, Aaron",435,1748,96,33,7,88,16,794,151,889,858,226,436,279,176,307,120,30,144.6,433.0,108.88653253724867,165.899,306,229,74.8,228.0,156,56.62990835166582,156,177,59.8,176.0,128,44.8677810350189,127,97,31.3,96.0,64,22.421318306081172,63,65,26.0,65.0,49,21.40744204948602,49,23,18,76.0,18.91304347826087,104,12,8,1,13,14,0.07586206896551724,0.09195402298850575,0.20229885057471264,0.0367816091954023,0.33394919168591225,0.35583834162499567,0.5421535947712418,0.190176322418136,0.2634032634032634,0.5085812356979404,0.6399082568807339,0.10068649885583524,0.39087947882736157,0.09771986970684039,0.782608695652174,0.5217391304347826,0.5652173913043478,0.6086956521739131,0.32807017543859646,0.36301223302349883,0.5264367816091954,0.3397727272727273,0.3532896144489677,0.4068965517241379,0.3260416666666667,0.3558939413663678,0.22298850574712645,0.4,0.43688657243849016,0.14942528735632185,58.26391118122819,True
2026,669432,"Rogers, Trevor",266,1056,69,20,1,44,9,545,109,513,542,183,267,181,75,199,80,15,96.95,264.0,74.172,107.505,199,144,44.45,143.0,111,40.342,111,110,52.15,109.0,77,32.49,77,70,31.4,70.0,52,21.406,52,57,28.150000000000002,57.0,41,15.711,41,12,12,88.0,22.166666666666668,101,10,6,1,11,11,0.07518796992481203,0.07894736842105263,0.16541353383458646,0.03383458646616541,0.3672348484848485,0.37272361809045224,0.5402261306532663,0.2,0.3376383763837638,0.48579545454545453,0.6779026217228464,0.07102272727272728,0.4020100502512563,0.07537688442211055,1.0,0.8333333333333334,0.9166666666666666,0.9166666666666666,0.31083916083916086,0.3634414414414414,0.5413533834586466,0.47844036697247705,0.42194805194805196,0.41353383458646614,0.44857142857142857,0.41165384615384615,0.2631578947368421,0.49385964912280705,0.3831951219512195,0.21428571428571427,58.250979975184855,True
2025,676917,"Cavalli, Cade",219,790,57,15,4,40,7,391,98,412,376,127,219,134,50,157,66,7,79.9,218.0,54.853984155690334,77.027,157,135,52.3,135.0,96,34.18006522164138,96,104,38.0,103.0,78,27.618343407785755,78,61,21.5,60.0,45,15.441061137319902,45,39,12.05,39.0,32,11.748926670992862,32,10,10,79.0,21.9,95,4,2,0,8,9,0.0684931506849315,0.0867579908675799,0.182648401826484,0.0319634703196347,0.36651376146788994,0.3493884341126773,0.4906178343949045,0.2506393861892583,0.3377659574468085,0.5215189873417722,0.6118721461187214,0.06329113924050633,0.42038216560509556,0.044585987261146494,1.0,0.4,0.8,0.9,0.38740740740740737,0.35604234605876434,0.6164383561643836,0.36893203883495146,0.354081325740843,0.4748858447488584,0.35833333333333334,0.34313469194044227,0.2785388127853881,0.308974358974359,0.36715395846852694,0.1780821917808219,58.22049530382449,True
2025,676508,"Casparius, Ben",330,1251,78,21,3,70,8,622,154,637,613,182,330,188,98,236,75,17,106.0,329.0,82.05694843097096,118.72,235,75,29.95,75.0,56,25.83554200976536,56,149,52.55,148.0,111,39.12789632505176,110,94,33.0,93.0,69,25.00479632505176,68,6,1.8,6.0,5,1.342,5,45,3,27.8,7.333333333333333,77,0,0,0,2,3,0.06363636363636363,0.07272727272727272,0.21212121212121213,0.024242424242424242,0.3221884498480243,0.34917850396157857,0.5051914893617021,0.24758842443729903,0.2969004893964111,0.5091926458832934,0.5696969696969697,0.07833733013589128,0.3177966101694915,0.07203389830508475,0.06666666666666667,0.0,0.044444444444444446,0.06666666666666667,0.3993333333333333,0.4613489644600957,0.22727272727272727,0.3550675675675675,0.35570814840956144,0.45151515151515154,0.3548387096774194,0.3677175930154671,0.28484848484848485,0.3,0.2684,0.01818181818181818,58.21201985146353,True
2026,543243,"Gray, Sonny",233,864,54,16,3,44,6,401,80,403,461,143,234,145,72,165,61,14,75.55,228.0,62.596,89.566,165,145,51.2,140.0,101,37.455,101,94,27.3,89.0,61,19.772,61,55,18.35,52.0,35,11.272,35,42,10.05,42.0,29,12.409,29,11,11,78.54545454545455,21.181818181818183,93,6,3,0,9,10,0.06866952789699571,0.0815450643776824,0.1888412017167382,0.02575107296137339,0.331359649122807,0.37936969696969697,0.5428242424242424,0.19950124688279303,0.31019522776572667,0.4664351851851852,0.6196581196581197,0.08333333333333333,0.3696969696969697,0.08484848484848485,1.0,0.5454545454545454,0.8181818181818182,0.9090909090909091,0.3657142857142857,0.37084158415841584,0.6223175965665236,0.30674157303370786,0.3241311475409836,0.4034334763948498,0.3528846153846154,0.3220571428571429,0.23605150214592274,0.2392857142857143,0.42789655172413793,0.18025751072961374,58.18913154482459,True
