sample,season,player_name_en,first_kbo_pa,pre_kbo_milb_pa,first_kbo_wrc_plus,pre_kbo_milb_ops,x_milb_ops100,translation_ratio,reliability_weight,first_kbo_ip,pre_kbo_milb_ip,first_kbo_era,pre_kbo_milb_era,pre_kbo_milb_k9,pre_kbo_milb_bb9,pre_kbo_milb_hr9
hitter_main,2023,Zach Reks,234.0,519.0,88.53040313720703,0.94231021194605,94.231021194605,0.939503806866052,0.5808183881386676,,,,,,,
pitcher_main,2025,Adam Oller,,,,,,0.6105611505463041,0.9650129532809392,149.0,334.0,3.62,5.928972055888224,9.592814371257486,4.149700598802395,1.778443113772455
pitcher_main,2023,Adonis Medina,,,,,,1.2285949506037321,0.4728019317501428,58.0,98.66666666666669,6.05,4.924324324324324,8.027027027027026,3.922297297297297,1.277027027027027
pitcher_main,2023,Albert Joe Suárez,,,,,,1.0695102521113415,0.8215838362577492,108.0,611.3333333333334,3.92,3.665229007633587,6.2420937840785164,2.5616139585605233,0.7508178844056707
pitcher_main,2025,Alec Gamboa,,,,,,1.0284663657663065,0.795495128834866,108.0,150.0,3.58,3.480911111111111,7.62,4.74,0.48
pitcher_main,2023,Beau Grayson Sulser,,,,,,1.1425125766659776,0.557150488348226,49.666666666666664,236.0,5.62,4.918983050847458,8.466101694915254,3.0889830508474576,1.1822033898305084
pitcher_main,2023,Brandon David Waddell,,,,,,0.9221217732273174,0.4813356705852765,104.66666666666669,56.666666666666664,2.49,2.7002941176470587,9.052941176470588,2.7,0.4764705882352941
pitcher_main,2024,Cam Alldred,,,,,,0.9508406113093036,0.5224142672885826,43.666666666666664,172.0,4.53,4.764205426356589,8.372093023255815,3.7151162790697674,1.0988372093023255
pitcher_main,2023,Casey Patrick Kelly,,,,,,0.9183738716816517,1.0,178.66666666666666,900.0,3.83,4.170414814814815,7.12,2.82,0.87
pitcher_main,2023,Charlie Barnes,,,,,,0.8654353562005277,0.689202437604511,170.33333333333334,76.0,3.28,3.79,7.342105263157895,2.8421052631578947,0.8289473684210527
pitcher_main,2025,Cody Ponce,,,,,,0.48334428259918644,1.0,180.66666666666663,520.3333333333334,1.89,3.910256245996156,8.285073670723895,2.438821268417681,0.8129404228058936
pitcher_main,2025,Cole Irvin,,,,,,1.032088201415172,0.5625462943912557,144.66666666666666,56.0,4.48,4.340714285714286,5.625,2.4107142857142856,1.2857142857142858
pitcher_main,2024,Connor Seabold,,,,,,0.7756710830597043,0.8587782018658834,160.0,118.0,3.43,4.4219774011299435,9.533898305084746,2.059322033898305,0.7627118644067796
pitcher_main,2024,Daniel Alexander Castano,,,,,,0.9630656702659001,0.652702049389902,111.66666666666669,97.66666666666669,4.35,4.516825938566552,9.030716723549489,3.5938566552901023,1.8430034129692832
pitcher_main,2023,David Andrew Buchanan,,,,,,0.6643622668697922,1.0,188.0,687.3333333333334,2.54,3.823215324927255,5.682832201745877,2.6188166828322017,0.7070805043646944
pitcher_main,2024,Denyi Reyes,,,,,,0.6234019828897543,0.9236476600955583,144.0,151.66666666666666,3.81,6.111626373626374,7.892307692307693,2.4923076923076923,2.195604395604396
pitcher_main,2024,Dietrich Arthur Enns,,,,,,1.2605342185986221,1.0,167.66666666666666,747.3333333333334,4.19,3.323987511150759,8.670829616413915,3.2033898305084745,0.8911685994647636
pitcher_main,2024,Elieser Hernández,,,,,,1.0514027634248093,0.3541973025965424,47.0,68.33333333333333,4.02,3.823463414634147,10.93170731707317,2.7658536585365856,1.3170731707317074
pitcher_main,2024,Enmanuel Jose De Jesus,,,,,,0.8005901229297956,1.0,171.33333333333334,193.66666666666663,3.68,4.596609294320138,8.736660929432015,4.7865748709122204,0.9294320137693632
pitcher_main,2024,Eric Lauer,,,,,,0.979204031720151,0.2459392427228951,34.666666666666664,44.666666666666664,4.93,5.034701492537314,13.298507462686567,4.835820895522389,1.2089552238805972
pitcher_main,2025,Gerson Yeris Garabito,,,,,,0.7945389737036789,0.42728653702430436,78.33333333333333,59.666666666666664,2.64,3.32268156424581,9.35195530726257,2.111731843575419,0.905027932960894
pitcher_main,2024,Jaime Barria,,,,,,1.2460286954273216,0.761030003788725,92.66666666666669,577.0,5.15,4.133131138070479,7.377816291161179,1.6689774696707105,0.8890814558058926
pitcher_main,2024,James Aubrey Naile,,,,,,0.7299385183354893,0.8786036902064801,149.33333333333334,132.33333333333334,2.53,3.466045340050378,8.841309823677582,2.856423173803526,0.7481108312342569
pitcher_main,2024,Jordan Balazovic,,,,,,0.629202170150446,0.5132996809856791,57.0,118.33333333333331,4.26,6.770478873239437,9.96338028169014,5.2478873239436625,1.9774647887323944
pitcher_main,2025,Kenny Rosenberg,,,,,,0.709320587695383,0.68617296167463,75.33333333333333,215.33333333333337,3.23,4.553653250773993,9.404024767801856,3.510835913312693,1.630030959752322
pitcher_main,2024,Kyle Patrick Hart,,,,,,0.5656982631046031,0.9905806378079475,157.0,261.0,2.69,4.755185185185185,8.482758620689655,3.5517241379310347,1.137931034482759
pitcher_main,2025,Mitch White,,,,,,0.6197250876067323,0.7833998198734653,134.66666666666666,116.66666666666669,2.87,4.631085714285714,10.568571428571428,4.011428571428572,0.8485714285714285
pitcher_main,2025,Patrick Murphy,,,,,,0.8455284552845529,0.4496912521077347,60.666666666666664,85.33333333333333,3.12,3.69,10.23046875,5.2734375,0.73828125
pitcher_main,2023,Roenis Elías,,,,,,0.72265625,0.5774630219041447,131.33333333333334,65.0,3.7,5.12,7.615384615384615,2.6307692307692307,1.1076923076923078
pitcher_main,2024,Ryan Weiss,,,,,,0.5147006007266183,0.6600419546850371,91.66666666666669,121.66666666666669,3.73,7.246931506849315,8.728767123287671,4.512328767123288,1.9972602739726024
pitcher_main,2023,Shaun Anderson,,,,,,1.1479007345162167,0.6446494525450763,79.0,134.66666666666666,3.76,3.275544554455446,8.68811881188119,3.4752475247524757,1.0024752475247525
pitcher_main,2023,Tanner Paul Tully,,,,,,0.705763771752993,0.635741037425355,64.66666666666667,235.0,2.92,4.137361702127659,7.468085106382978,2.2212765957446807,0.8425531914893617
pitcher_main,2023,Taylor Browning Widener,,,,,,0.7369035327916688,0.31622776601683794,53.333333333333336,48.0,4.5600000000000005,6.188055555555555,11.8125,2.625,1.6875
pitcher_main,2025,Tucker Davidson,,,,,,0.9383033419023133,0.7464906321507919,123.33333333333331,115.66666666666669,3.65,3.890000000000001,8.09221902017291,3.579250720461095,1.3227665706051872
pitcher_main,2025,Yonny Chirinos,,,,,,0.8690588393698667,0.9013878188659973,177.0,130.0,3.31,3.8087179487179488,7.546153846153846,3.1153846153846154,0.8307692307692308
pitcher_main,2025,Zach Logue,,,,,,0.7197627942689444,1.0,176.0,281.3333333333333,2.81,3.904063981042654,8.41350710900474,3.167061611374408,1.151658767772512
