rule_type,rule,rule_description,component_a,component_b,hidden_interaction_lift,loss_rate_lift_vs_baseline,hidden_need_score,games,win_pct,complement_win_pct,win_pct_delta,loss_rate,avg_run_diff,avg_team_runs,avg_opp_runs,avg_starter_outs,avg_bullpen_ip,avg_of_rbi,avg_of_high_obp,avg_replacement_slot_k
pair,of_high_rbi_zero AND opp_runs_ge6,high-leverage OF lineup slots had 0 RBI + opponent scored 6+ runs,of_high_rbi_zero,opp_runs_ge6,0.0625,0.30122950819672134,1.9170081967213117,16,0.125,0.5333333333333333,-0.4083333333333333,0.875,-4.75,3.9375,8.6875,12.375,4.541666666666667,0.75,0.2060763888888889,2.9375
pair,of_hr_zero AND team_runs_le3,outfielders hit no HR + SSG scored 3 or fewer runs,of_hr_zero,team_runs_le3,0.019323671497584516,0.3151183970856102,1.9086085372614239,18,0.1111111111111111,0.5581395348837209,-0.4470284237726098,0.8888888888888888,-4.055555555555555,1.8888888888888888,5.944444444444445,13.38888888888889,3.9259259259259256,0.2777777777777778,0.23040123456790124,3.7777777777777777
pair,team_runs_le3 AND away_game,SSG scored 3 or fewer runs + away game,team_runs_le3,away_game,0.047101449275362306,0.34289617486338797,1.9063316702304585,12,0.08333333333333333,0.5102040816326531,-0.42687074829931976,0.9166666666666666,-3.8333333333333335,1.9166666666666667,5.75,13.25,3.6666666666666665,0.4166666666666667,0.21258903133903137,3.0833333333333335
pair,of_rbi_zero AND opp_runs_ge6,all outfielders combined for 0 RBI + opponent scored 6+ runs,of_rbi_zero,opp_runs_ge6,0.08750000000000002,0.32622950819672136,1.895286885245902,10,0.1,0.49019607843137253,-0.3901960784313725,0.9,-5.3,3.3,8.6,11.7,4.6,0.0,0.22972222222222224,3.3
pair,starter_short_lt5 AND of_rbi_lt3,starter failed to complete 5 innings + outfielders combined for fewer than 3 RBI,starter_short_lt5,of_rbi_lt3,0.10769230769230775,0.22622950819672139,1.8837326607818414,20,0.2,0.5365853658536586,-0.33658536585365856,0.8,-4.1,3.45,7.55,10.6,5.116666666666667,0.65,0.27236111111111116,2.95
single,of_rbi_lt3,outfielders combined for fewer than 3 RBI,of_rbi_lt3,,,0.09289617486338808,1.8469945355191262,45,0.3333333333333333,0.6875,-0.3541666666666667,0.6666666666666667,-2.0444444444444443,3.8222222222222224,5.866666666666666,13.755555555555556,4.177777777777778,0.8444444444444444,0.2730396147062813,3.4444444444444446
pair,starter_short_lt5 AND bullpen_er3plus,starter failed to complete 5 innings + bullpen allowed 3+ ER,starter_short_lt5,bullpen_er3plus,0.0064102564102564985,0.34930643127364447,1.8426860025220688,13,0.07692307692307693,0.5208333333333334,-0.44391025641025644,0.9230769230769231,-5.230769230769231,4.923076923076923,10.153846153846153,9.846153846153847,5.256410256410256,1.6153846153846154,0.33076923076923076,2.8461538461538463
pair,starter_disaster AND of_rbi_zero,starter disaster: 5+ ER or fewer than 4 innings + all outfielders combined for 0 RBI,starter_disaster,of_rbi_zero,0.125,0.30122950819672134,1.8422131147540985,8,0.125,0.4716981132075472,-0.3466981132075472,0.875,-4.5,3.875,8.375,10.125,5.125,0.0,0.2715277777777778,2.875
pair,starter_er4plus AND of_high_rbi_zero,starter allowed 4+ ER + high-leverage OF lineup slots had 0 RBI,starter_er4plus,of_high_rbi_zero,0.1070234113712375,0.2723833543505675,1.836833159712704,13,0.15384615384615385,0.5,-0.34615384615384615,0.8461538461538461,-5.384615384615385,3.6923076923076925,9.076923076923077,12.0,4.615384615384615,0.46153846153846156,0.15747863247863247,3.076923076923077
pair,of_rbi_lt3 AND humid_60plus,"outfielders combined for fewer than 3 RBI + humid game, 60%+",of_rbi_lt3,humid_60plus,0.06666666666666665,0.32622950819672136,1.8327868852459017,10,0.1,0.49019607843137253,-0.3901960784313725,0.9,-3.9,3.0,6.9,13.4,4.2,0.4,0.185,3.6
pair,replacement_slot_rbi_lt3 AND humid_60plus,"OF/DH replacement-relevant slots had fewer than 3 RBI + humid game, 60%+",replacement_slot_rbi_lt3,humid_60plus,0.06666666666666665,0.32622950819672136,1.8327868852459017,10,0.1,0.49019607843137253,-0.3901960784313725,0.9,-3.9,3.0,6.9,13.4,4.2,0.4,0.185,3.6
pair,opp_runs_ge6 AND away_game,opponent scored 6+ runs + away game,opp_runs_ge6,away_game,0.054166666666666696,0.29289617486338804,1.825887978142077,15,0.13333333333333333,0.5217391304347826,-0.3884057971014493,0.8666666666666667,-3.933333333333333,4.866666666666666,8.8,10.866666666666667,4.688888888888888,1.6,0.3598148148148148,3.1333333333333333
pair,of_top_obp_le_250 AND team_runs_le3,OF table-setter OBP was .250 or lower + SSG scored 3 or fewer runs,of_top_obp_le_250,team_runs_le3,-0.012422360248447117,0.28337236533957855,1.8220140515222485,21,0.14285714285714285,0.575,-0.4321428571428571,0.8571428571428572,-4.095238095238095,2.0,6.095238095238095,13.476190476190476,4.031746031746032,0.5238095238095238,0.22147944647944648,3.4285714285714284
pair,starter_disaster AND of_top_obp_le_250,starter disaster: 5+ ER or fewer than 4 innings + OF table-setter OBP was .250 or lower,starter_disaster,of_top_obp_le_250,0.07352941176470584,0.24975891996142718,1.777000964320154,17,0.17647058823529413,0.5227272727272727,-0.34625668449197855,0.8235294117647058,-3.8823529411764706,5.176470588235294,9.058823529411764,10.823529411764707,5.098039215686274,1.411764705882353,0.30781979458450043,3.0
pair,starter_er4plus AND bullpen_er3plus,starter allowed 4+ ER + bullpen allowed 3+ ER,starter_er4plus,bullpen_er3plus,0.0,0.34289617486338797,1.7650273224043715,12,0.08333333333333333,0.5102040816326531,-0.42687074829931976,0.9166666666666666,-6.083333333333333,5.083333333333333,11.166666666666666,11.0,4.916666666666666,1.5,0.3458333333333334,2.8333333333333335
pair,bullpen_er3plus AND bullpen_bb4plus,bullpen allowed 3+ ER + bullpen issued 4+ walks,bullpen_er3plus,bullpen_bb4plus,0.0,0.34289617486338797,1.7650273224043715,12,0.08333333333333333,0.5102040816326531,-0.42687074829931976,0.9166666666666666,-5.083333333333333,4.75,9.833333333333334,12.416666666666666,4.583333333333333,1.3333333333333333,0.4166666666666667,3.1666666666666665
pair,bullpen_er3plus AND away_game,bullpen allowed 3+ ER + away game,bullpen_er3plus,away_game,0.0,0.34289617486338797,1.7650273224043715,12,0.08333333333333333,0.5102040816326531,-0.42687074829931976,0.9166666666666666,-3.4166666666666665,5.583333333333333,9.0,11.333333333333334,4.527777777777778,1.8333333333333333,0.4291666666666667,3.3333333333333335
pair,of_rbi_lt3 AND of_top_obp_le_250,outfielders combined for fewer than 3 RBI + OF table-setter OBP was .250 or lower,of_rbi_lt3,of_top_obp_le_250,0.0,0.09289617486338808,1.7486338797814212,42,0.3333333333333333,0.631578947368421,-0.2982456140350877,0.6666666666666667,-2.142857142857143,3.761904761904762,5.904761904761905,13.904761904761905,4.134920634920634,0.8333333333333334,0.26397101575673,3.4523809523809526
pair,of_high_rbi_zero AND team_runs_le3,high-leverage OF lineup slots had 0 RBI + SSG scored 3 or fewer runs,of_high_rbi_zero,team_runs_le3,0.005434782608695676,0.30122950819672134,1.7458125445473986,16,0.125,0.5333333333333333,-0.4083333333333333,0.875,-4.3125,1.875,6.1875,13.0,4.104166666666666,0.1875,0.1795138888888889,3.4375
single,replacement_slot_rbi_lt3,OF/DH replacement-relevant slots had fewer than 3 RBI,replacement_slot_rbi_lt3,,,0.10122950819672139,1.716393442622951,40,0.325,0.6190476190476191,-0.29404761904761906,0.675,-2.275,3.4,5.675,13.675,4.225,0.8,0.2621695665445666,3.525
pair,of_rbi_lt3 AND replacement_slot_rbi_lt3,outfielders combined for fewer than 3 RBI + OF/DH replacement-relevant slots had fewer than 3 RBI,of_rbi_lt3,replacement_slot_rbi_lt3,0.0,0.10122950819672139,1.716393442622951,40,0.325,0.6190476190476191,-0.29404761904761906,0.675,-2.275,3.4,5.675,13.675,4.225,0.8,0.2621695665445666,3.525
pair,starter_disaster AND bullpen_er3plus,starter disaster: 5+ ER or fewer than 4 innings + bullpen allowed 3+ ER,starter_disaster,bullpen_er3plus,-0.007575757575757569,0.3353204172876304,1.7019374068554396,11,0.09090909090909091,0.5,-0.40909090909090906,0.9090909090909091,-5.545454545454546,5.454545454545454,11.0,10.090909090909092,5.09090909090909,1.5454545454545454,0.32272727272727275,2.6363636363636362
pair,starter_er4plus AND replacement_slot_rbi_lt3,starter allowed 4+ ER + OF/DH replacement-relevant slots had fewer than 3 RBI,starter_er4plus,replacement_slot_rbi_lt3,0.07336956521739135,0.23872950819672134,1.6996168923734858,16,0.1875,0.5111111111111111,-0.32361111111111107,0.8125,-5.375,3.375,8.75,12.375,4.75,0.8125,0.23487103174603174,3.1875
pair,bullpen_bb4plus AND of_hr_zero,bullpen issued 4+ walks + outfielders hit no HR,bullpen_bb4plus,of_hr_zero,0.08333333333333337,0.2595628415300547,1.6816939890710385,12,0.16666666666666666,0.4897959183673469,-0.3231292517006803,0.8333333333333334,-4.666666666666667,4.166666666666667,8.833333333333334,11.5,4.972222222222222,1.0,0.3604166666666666,2.8333333333333335
pair,starter_short_lt5 AND replacement_slot_rbi_lt3,starter failed to complete 5 innings + OF/DH replacement-relevant slots had fewer than 3 RBI,starter_short_lt5,replacement_slot_rbi_lt3,0.0854700854700855,0.20400728597449913,1.6626033347344826,18,0.2222222222222222,0.5116279069767442,-0.289405684754522,0.7777777777777778,-4.111111111111111,3.0555555555555554,7.166666666666667,10.88888888888889,5.092592592592593,0.6666666666666666,0.2526234567901235,3.0
