fold,valid_year,target,model,rows,positive_rate,pred_mean,accuracy_at_0_5,brier,logloss,auc,precision_at_0_5,precision_top_25pct,precision_top_33pct
fold_b_2023_holdout,2023,failure,global_prior,42,0.42857142857142855,0.22321428571428575,0.5714285714285714,0.28706951530612246,0.7870331642632463,0.5,0.0,0.45454545454545453,0.5
fold_b_2023_holdout,2023,failure,role_prior,42,0.42857142857142855,0.04284140521880394,0.5952380952380952,0.3877473729325609,1.5647936008453627,0.5092592592592593,1.0,0.36363636363636365,0.42857142857142855
fold_b_2023_holdout,2023,failure,team_role_prior,42,0.42857142857142855,0.11809425954162797,0.5714285714285714,0.338685313673954,1.0018629077313672,0.47453703703703703,0.0,0.36363636363636365,0.35714285714285715
fold_b_2023_holdout,2023,failure,recent_role_prior,42,0.42857142857142855,0.04327954960243942,0.5952380952380952,0.38778570770964393,1.5672289609477787,0.5092592592592593,1.0,0.36363636363636365,0.42857142857142855
fold_b_2023_holdout,2023,failure,prev_season_team_role_prior,42,0.42857142857142855,0.2617157974300831,0.5714285714285714,0.2698082960403444,0.742419794105633,0.5034722222222222,0.0,0.36363636363636365,0.42857142857142855
fold_c_2024_holdout,2024,success,global_prior,43,0.5348837209302325,0.3533834586466165,0.46511627906976744,0.2817254712230831,0.7591784127705561,0.5,0.0,0.5454545454545454,0.6
fold_c_2024_holdout,2024,success,role_prior,43,0.5348837209302325,0.431138334053214,0.46511627906976744,0.2589808504880194,0.7112412093824635,0.5956521739130435,0.0,0.6363636363636364,0.6666666666666666
fold_c_2024_holdout,2024,success,team_role_prior,43,0.5348837209302325,0.3894888856718038,0.5348837209302325,0.2691681801908373,0.7348546898852407,0.5945652173913043,0.7142857142857143,0.6363636363636364,0.6666666666666666
fold_c_2024_holdout,2024,success,recent_role_prior,43,0.5348837209302325,0.4476009211214854,0.46511627906976744,0.2591561350909679,0.7116057717341392,0.4043478260869565,0.0,0.36363636363636365,0.4666666666666667
fold_c_2024_holdout,2024,success,prev_season_team_role_prior,43,0.5348837209302325,0.522073447654843,0.4883720930232558,0.2498035502825373,0.6925166323049705,0.5347826086956522,0.5172413793103449,0.5454545454545454,0.5333333333333333
fold_c_2024_holdout,2024,failure,global_prior,43,0.4186046511627907,0.2556390977443609,0.5813953488372093,0.26993256878864413,0.742616902722785,0.5,0.0,0.36363636363636365,0.3333333333333333
fold_c_2024_holdout,2024,failure,role_prior,43,0.4186046511627907,0.09151745546678959,0.5813953488372093,0.3500340303997927,1.054896864428757,0.5688888888888889,0.0,0.45454545454545453,0.4
fold_c_2024_holdout,2024,failure,team_role_prior,43,0.4186046511627907,0.15759314823589515,0.5813953488372093,0.32083811639744714,0.9155350460573288,0.3922222222222222,0.0,0.36363636363636365,0.26666666666666666
fold_c_2024_holdout,2024,failure,recent_role_prior,43,0.4186046511627907,0.1959920591763208,0.5813953488372093,0.2916438020423834,0.8051192664553996,0.5688888888888889,0.0,0.45454545454545453,0.4
fold_c_2024_holdout,2024,failure,prev_season_team_role_prior,43,0.4186046511627907,0.42343199436222684,0.6046511627906976,0.2487607369810631,0.6910031753324283,0.4777777777777778,0.5714285714285714,0.36363636363636365,0.4
fold_d_2025_holdout,2025,success,global_prior,44,0.5454545454545454,0.3786407766990292,0.45454545454545453,0.2757607177439395,0.7460212342681595,0.5,0.0,0.45454545454545453,0.3333333333333333
fold_d_2025_holdout,2025,success,role_prior,44,0.5454545454545454,0.45000917323487594,0.45454545454545453,0.2602469544527059,0.7137745074454261,0.4208333333333334,0.0,0.5454545454545454,0.4666666666666667
fold_d_2025_holdout,2025,success,team_role_prior,44,0.5454545454545454,0.43998600751745703,0.36363636363636365,0.29250355724887095,0.7839709156663914,0.39791666666666664,0.3888888888888889,0.36363636363636365,0.3333333333333333
fold_d_2025_holdout,2025,success,recent_role_prior,44,0.5454545454545454,0.4861636345693993,0.4090909090909091,0.2577955773341923,0.7087684861951696,0.4208333333333334,0.4375,0.5454545454545454,0.4666666666666667
fold_d_2025_holdout,2025,success,prev_season_team_role_prior,44,0.5454545454545454,0.5531076334987541,0.3181818181818182,0.2923042041455143,0.7794648945628658,0.24791666666666667,0.4,0.2727272727272727,0.3333333333333333
fold_d_2025_holdout,2025,failure,global_prior,44,0.4318181818181818,0.27831715210355984,0.5681818181818182,0.2689138057928708,0.7376164379132087,0.5,0.0,0.45454545454545453,0.6
fold_d_2025_holdout,2025,failure,role_prior,44,0.4318181818181818,0.14313598652613727,0.5681818181818182,0.33072294990994433,0.937875002472743,0.4494736842105263,0.0,0.36363636363636365,0.4666666666666667
fold_d_2025_holdout,2025,failure,team_role_prior,44,0.4318181818181818,0.1920851266942434,0.5681818181818182,0.3171285920443267,0.8852669117942298,0.3778947368421052,0.0,0.2727272727272727,0.4
fold_d_2025_holdout,2025,failure,recent_role_prior,44,0.4318181818181818,0.28574559920301484,0.5681818181818182,0.2720749173283618,0.7469225386878108,0.4494736842105263,0.0,0.36363636363636365,0.4666666666666667
fold_d_2025_holdout,2025,failure,prev_season_team_role_prior,44,0.4318181818181818,0.4024378194039928,0.45454545454545453,0.28254808465290665,0.7609581434709448,0.25578947368421046,0.0,0.09090909090909091,0.13333333333333333
