source_league,team_code,team_name,roster_no,player_name,normalized_player_name,position_group,position,born,height_cm,weight_kg,throws,bats,note,person_url,source_url,source_confidence
NPB,g,Yomiuri Giants,10,"Kai, Takuya",takuya kai,Catchers,Catcher,"Nov. 5, 1992",170,87,R,R,,https://npb.jp/bis/eng/players/91595133.html,https://npb.jp/bis/eng/teams/rst_g.html,4
NPB,g,Yomiuri Giants,27,"Kishida, Yukinori",yukinori kishida,Catchers,Catcher,"Oct. 10, 1996",176,90,R,R,,https://npb.jp/bis/eng/players/91595136.html,https://npb.jp/bis/eng/teams/rst_g.html,4
NPB,g,Yomiuri Giants,22,"Kobayashi, Seiji",seiji kobayashi,Catchers,Catcher,"Jun. 7, 1989",178,86,R,R,,https://npb.jp/bis/eng/players/91795139.html,https://npb.jp/bis/eng/teams/rst_g.html,4
NPB,g,Yomiuri Giants,37,"Kohri, Takuya",takuya kohri,Catchers,Catcher,"Apr. 25, 1998",179,88,R,R,,https://npb.jp/bis/eng/players/91795134.html,https://npb.jp/bis/eng/teams/rst_g.html,4
NPB,g,Yomiuri Giants,24,"Ohshiro, Takumi",takumi ohshiro,Catchers,Catcher,"Feb. 11, 1993",187,97,R,L,,https://npb.jp/bis/eng/players/21325136.html,https://npb.jp/bis/eng/teams/rst_g.html,4
NPB,g,Yomiuri Giants,67,"Yamase, Shinnosuke",shinnosuke yamase,Catchers,Catcher,"May 4, 2001",177,89,R,R,,https://npb.jp/bis/eng/players/03105151.html,https://npb.jp/bis/eng/teams/rst_g.html,4
NPB,g,Yomiuri Giants,60,"Aramaki, Yu",yu aramaki,Infielders,Infielder,"Dec. 23, 2002",184,100,R,L,,https://npb.jp/bis/eng/players/71175150.html,https://npb.jp/bis/eng/teams/rst_g.html,4
NPB,g,Yomiuri Giants,29,"Dalbec, Bobby",bobby dalbec,Infielders,Infielder,"Jun. 29, 1995",191,102,R,R,,https://npb.jp/bis/eng/players/63565152.html,https://npb.jp/bis/eng/teams/rst_g.html,4
NPB,g,Yomiuri Giants,99,"Fujii, Kensho",kensho fujii,Infielders,Infielder,"Aug. 15, 2007",181,96,R,R,,https://npb.jp/bis/eng/players/21625152.html,https://npb.jp/bis/eng/teams/rst_g.html,4
NPB,g,Yomiuri Giants,69,"Hirayama, Kota",kota hirayama,Infielders,Infielder,"Mar. 16, 2004",185,82,R,R,Registered(developmental player ->) (Apr. 6).,https://npb.jp/bis/eng/players/41645159.html,https://npb.jp/bis/eng/teams/rst_g.html,4
NPB,g,Yomiuri Giants,23,"Ishizuka, Yusei",yusei ishizuka,Infielders,Infielder,"Apr. 6, 2006",182,94,R,R,,https://npb.jp/bis/eng/players/61165150.html,https://npb.jp/bis/eng/teams/rst_g.html,4
NPB,g,Yomiuri Giants,35,"Izuguchi, Yuta",yuta izuguchi,Infielders,Infielder,"May 17, 1999",178,84,R,L,,https://npb.jp/bis/eng/players/61165159.html,https://npb.jp/bis/eng/teams/rst_g.html,4
NPB,g,Yomiuri Giants,5,"Kadowaki, Makoto",makoto kadowaki,Infielders,Infielder,"Jan. 24, 2001",172,75,R,L,,https://npb.jp/bis/eng/players/11515157.html,https://npb.jp/bis/eng/teams/rst_g.html,4
NPB,g,Yomiuri Giants,33,"Kohama, Yuto",yuto kohama,Infielders,Infielder,"Oct. 5, 2001",180,86,R,R,,https://npb.jp/bis/eng/players/61765152.html,https://npb.jp/bis/eng/teams/rst_g.html,4
NPB,g,Yomiuri Giants,0,"Masuda, Daiki",daiki masuda,Infielders,Infielder,"Jul. 29, 1993",172,71,R,R,,https://npb.jp/bis/eng/players/51855132.html,https://npb.jp/bis/eng/teams/rst_g.html,4
NPB,g,Yomiuri Giants,61,"Masuda, Riku",riku masuda,Infielders,Infielder,"Jun. 17, 2000",179,92,R,R,,https://npb.jp/bis/eng/players/01605138.html,https://npb.jp/bis/eng/teams/rst_g.html,4
NPB,g,Yomiuri Giants,6,"Sakamoto, Hayato",hayato sakamoto,Infielders,Infielder,"Dec. 14, 1988",186,86,R,R,,https://npb.jp/bis/eng/players/51955114.html,https://npb.jp/bis/eng/teams/rst_g.html,4
NPB,g,Yomiuri Giants,52,"Sunagawa, Richard",richard sunagawa,Infielders,Infielder,"Jun. 18, 1999",189,120,R,R,,https://npb.jp/bis/eng/players/11015136.html,https://npb.jp/bis/eng/teams/rst_g.html,4
NPB,g,Yomiuri Giants,32,"Urata, Shunsuke",shunsuke urata,Infielders,Infielder,"Aug. 30, 2002",171,67,R,L,,https://npb.jp/bis/eng/players/81385150.html,https://npb.jp/bis/eng/teams/rst_g.html,4
NPB,g,Yomiuri Giants,68,"Utsunomiya, Kisara",kisara utsunomiya,Infielders,Infielder,"Jun. 23, 2004",175,70,R,L,Registered(developmental player ->) (Mar. 24).,https://npb.jp/bis/eng/players/01305159.html,https://npb.jp/bis/eng/teams/rst_g.html,4
NPB,g,Yomiuri Giants,2,"Yoshikawa, Naoki",naoki yoshikawa,Infielders,Infielder,"Feb. 8, 1995",177,82,R,L,,https://npb.jp/bis/eng/players/73375134.html,https://npb.jp/bis/eng/teams/rst_g.html,4
NPB,g,Yomiuri Giants,00,"Yuasa, Dai",dai yuasa,Infielders,Infielder,"Jan. 24, 2000",172,73,R,R,,https://npb.jp/bis/eng/players/43145136.html,https://npb.jp/bis/eng/teams/rst_g.html,4
NPB,g,Yomiuri Giants,51,"Asano, Shogo",shogo asano,Outfielders,Outfielder,"Nov. 24, 2004",172,89,R,R,,https://npb.jp/bis/eng/players/91195157.html,https://npb.jp/bis/eng/teams/rst_g.html,4
NPB,g,Yomiuri Giants,13,"Cabbage, Trey",trey cabbage,Outfielders,Outfielder,"May 3, 1997",188,92,R,L,,https://npb.jp/bis/eng/players/73575150.html,https://npb.jp/bis/eng/teams/rst_g.html,4
NPB,g,Yomiuri Giants,12,"Hagio, Masaya",masaya hagio,Outfielders,Outfielder,"Dec. 28, 2000",180,85,R,R,,https://npb.jp/bis/eng/players/81485157.html,https://npb.jp/bis/eng/teams/rst_g.html,4
