validation_scheme,role_model_family,target,valid_year,fold_id,model,train_rows,valid_rows,feature_count,rows,positive_rate,pred_mean,accuracy_at_0_5,brier,logloss,precision_at_0_5,auc,precision_top_25pct,precision_top_33pct
time_forward_holdout,hitter,failure,2025,time_2025,shallow_random_forest,26,16,30,16,0.5,0.43906474518745886,0.5625,0.2981502581836259,0.7999263417104597,0.6,0.4375,0.5,0.5
time_forward_holdout,pitcher,success,2024,time_2024,role_prior,28,29,13,29,0.4827586206896552,0.5357142857142858,0.4827586206896552,0.2525070372976776,0.6981719868181697,0.4827586206896552,0.5,0.75,0.7
time_forward_holdout,pitcher,success,2024,time_2024,ridge_logit,28,29,13,29,0.4827586206896552,0.4770723970046189,0.5172413793103449,0.2840272570355859,0.7884684236568094,0.5,0.5714285714285714,0.5,0.6
time_forward_holdout,pitcher,success,2024,time_2024,balanced_ridge_logit,28,29,13,29,0.4827586206896552,0.4524795773254833,0.5172413793103449,0.284141927991321,0.7926794087067088,0.5,0.5761904761904761,0.5,0.6
time_forward_holdout,pitcher,success,2024,time_2024,shallow_random_forest,28,29,13,29,0.4827586206896552,0.5178567100625974,0.5517241379310345,0.28392406101815887,0.7659687928785375,0.5333333333333333,0.43333333333333335,0.375,0.3
time_forward_holdout,pitcher,success,2025,time_2025,role_prior,57,25,39,25,0.64,0.5087719298245614,0.64,0.24762080640196987,0.6883883129801334,0.64,0.5,0.42857142857142855,0.4444444444444444
time_forward_holdout,pitcher,success,2025,time_2025,ridge_logit,57,25,39,25,0.64,0.48057773476679855,0.52,0.3142350350416,0.9778734399364201,0.6428571428571429,0.5486111111111112,0.7142857142857143,0.6666666666666666
time_forward_holdout,pitcher,success,2025,time_2025,balanced_ridge_logit,57,25,39,25,0.64,0.4759804157067915,0.52,0.3151540045868642,0.9820206332121438,0.6428571428571429,0.5416666666666667,0.7142857142857143,0.6666666666666666
time_forward_holdout,pitcher,success,2025,time_2025,shallow_random_forest,57,25,39,25,0.64,0.5043117237214247,0.56,0.2619675390912288,0.718426220316998,0.6923076923076923,0.4652777777777778,0.5714285714285714,0.6666666666666666
time_forward_holdout,pitcher,success,2025,time_2025,hist_gradient_boosting,57,25,39,25,0.64,0.5088252654824325,0.56,0.26075141054565043,0.7181399651885149,0.7272727272727273,0.5347222222222223,0.7142857142857143,0.7777777777777778
time_forward_holdout,pitcher,failure,2024,time_2024,role_prior,28,29,13,29,0.4482758620689655,0.4285714285714286,0.5517241379310345,0.24771287825475022,0.6885767169655317,0.0,0.5,0.25,0.3
time_forward_holdout,pitcher,failure,2024,time_2024,ridge_logit,28,29,13,29,0.4482758620689655,0.5086346057595994,0.6896551724137931,0.23012025022651364,0.6707161372089326,0.6666666666666666,0.6875,0.625,0.7
time_forward_holdout,pitcher,failure,2024,time_2024,balanced_ridge_logit,28,29,13,29,0.4482758620689655,0.5581680682523854,0.6896551724137931,0.23779916755102565,0.6947743634494664,0.625,0.6875,0.625,0.7
time_forward_holdout,pitcher,failure,2024,time_2024,shallow_random_forest,28,29,13,29,0.4482758620689655,0.4900077833922863,0.6551724137931034,0.2546240629534628,0.7040452344596392,0.6153846153846154,0.5192307692307692,0.5,0.6
time_forward_holdout,pitcher,failure,2025,time_2025,role_prior,57,25,39,25,0.32,0.43859649122807015,0.68,0.23166512773160972,0.6563105899729119,0.0,0.5,0.42857142857142855,0.4444444444444444
time_forward_holdout,pitcher,failure,2025,time_2025,ridge_logit,57,25,39,25,0.32,0.37329480840360185,0.56,0.31033086896946166,0.9231578385843564,0.2857142857142857,0.47058823529411764,0.2857142857142857,0.3333333333333333
time_forward_holdout,pitcher,failure,2025,time_2025,balanced_ridge_logit,57,25,39,25,0.32,0.405620049584363,0.56,0.3185067059467847,0.9340399717102598,0.2857142857142857,0.47058823529411764,0.2857142857142857,0.3333333333333333
time_forward_holdout,pitcher,failure,2025,time_2025,shallow_random_forest,57,25,39,25,0.32,0.4761121976656566,0.6,0.2549620252807341,0.7045878765802631,0.4,0.49264705882352944,0.42857142857142855,0.4444444444444444
time_forward_holdout,pitcher,failure,2025,time_2025,hist_gradient_boosting,57,25,39,25,0.32,0.4410728617478428,0.68,0.23660672679749495,0.6676628663792367,0.5,0.625,0.42857142857142855,0.4444444444444444
