Player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,BB,IBB,HP,SO,GDP,AVG,SLG,OBP,raw_player_name,player_name,npb_left_marker,normalized_player_name,source_league,npb_league,team_code,team_name,level,stat_type,source_url,source_confidence,ops,iso,bb_pct,so_pct,hr_per_pa,sb_attempts,sb_success_pct,run_kill_proxy,regular_playing_time_flag,Pitcher,W,L,SV,HLD,CG,SHO,NWG,PCT,BF,IP,HB,WP,BK,ER,ERA,ip_float,whip_calc,k_pct,k_minus_bb_pct,k_per_9,bb_per_9,hr_per_9,starter_workload_proxy,traffic_command_proxy
"*Martinez, Raidel",24,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,"*Martinez, Raidel","Martinez, Raidel",True,raidel martinez,NPB,CL,g,Yomiuri Giants,npb_first_team,batting,https://npb.jp/bis/eng/2026/stats/idb1_g.html,4,0.0,0.0,,,,0.0,,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,
"*Maru, Yoshihiro",26,55.0,48.0,4,8,1.0,0.0,2,15.0,12.0,0.0,1.0,0.0,0.0,7,0,0.0,11,0.0,0.167,0.313,0.273,"*Maru, Yoshihiro","Maru, Yoshihiro",True,yoshihiro maru,NPB,CL,g,Yomiuri Giants,npb_first_team,batting,https://npb.jp/bis/eng/2026/stats/idb1_g.html,4,0.5860000000000001,0.146,0.12727272727272726,0.2,0.03636363636363636,1.0,0.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,,
"Masuda, Daiki",8,2.0,1.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,"Masuda, Daiki","Masuda, Daiki",False,daiki masuda,NPB,CL,g,Yomiuri Giants,npb_first_team,batting,https://npb.jp/bis/eng/2026/stats/idb1_g.html,4,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,
"Masuda, Riku",38,113.0,110.0,3,28,5.0,0.0,2,39.0,11.0,1.0,0.0,0.0,1.0,1,0,1.0,29,2.0,0.255,0.355,0.265,"Masuda, Riku","Masuda, Riku",False,riku masuda,NPB,CL,g,Yomiuri Giants,npb_first_team,batting,https://npb.jp/bis/eng/2026/stats/idb1_g.html,4,0.62,0.09999999999999998,0.008849557522123894,0.25663716814159293,0.017699115044247787,1.0,1.0,2.0,True,,,,,,,,,,,,,,,,,,,,,,,,,
"Mata, Bryan",3,5.0,5.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,3,0.0,0.0,0.0,0.0,"Mata, Bryan","Mata, Bryan",False,bryan mata,NPB,CL,g,Yomiuri Giants,npb_first_team,batting,https://npb.jp/bis/eng/2026/stats/idb1_g.html,4,0.0,0.0,0.0,0.6,0.0,0.0,,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,
"*Mataki, Teppei",4,2.0,2.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1,0.0,0.0,0.0,0.0,"*Mataki, Teppei","Mataki, Teppei",True,teppei mataki,NPB,CL,g,Yomiuri Giants,npb_first_team,batting,https://npb.jp/bis/eng/2026/stats/idb1_g.html,4,0.0,0.0,0.0,0.5,0.0,0.0,,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,
"Matsumoto, Go",55,147.0,130.0,13,34,7.0,0.0,0,41.0,8.0,7.0,3.0,6.0,0.0,7,0,4.0,26,2.0,0.262,0.315,0.319,"Matsumoto, Go","Matsumoto, Go",False,go matsumoto,NPB,CL,g,Yomiuri Giants,npb_first_team,batting,https://npb.jp/bis/eng/2026/stats/idb1_g.html,4,0.634,0.05299999999999999,0.047619047619047616,0.17687074829931973,0.0,10.0,0.7,5.0,True,,,,,,,,,,,,,,,,,,,,,,,,,
"*Minakawa, Gakuto",8,9.0,8.0,0,1,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,2,0.0,0.125,0.125,0.222,"*Minakawa, Gakuto","Minakawa, Gakuto",True,gakuto minakawa,NPB,CL,g,Yomiuri Giants,npb_first_team,batting,https://npb.jp/bis/eng/2026/stats/idb1_g.html,4,0.347,0.0,0.1111111111111111,0.2222222222222222,0.0,0.0,,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,
"*Miyahara, Shunsuke",5,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,"*Miyahara, Shunsuke","Miyahara, Shunsuke",True,shunsuke miyahara,NPB,CL,g,Yomiuri Giants,npb_first_team,batting,https://npb.jp/bis/eng/2026/stats/idb1_g.html,4,0.0,0.0,,,,0.0,,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,
"*Morita, Shunya",3,3.0,2.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0,0.0,0.0,0.0,0.333,"*Morita, Shunya","Morita, Shunya",True,shunya morita,NPB,CL,g,Yomiuri Giants,npb_first_team,batting,https://npb.jp/bis/eng/2026/stats/idb1_g.html,4,0.333,0.0,0.3333333333333333,0.0,0.0,0.0,,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,
