year,t_code,t_code_name,players,pa,ab,h,doubles,triples,hr,bb,hbp,sf,so,tb,r,rbi,sb,war,war_off,war_def,avg,obp,slg,ops,iso,k_pct,bb_pct,wrc_plus_pa_weighted,source_team_count,coverage_status,ops_rank,slg_rank,iso_rank,hr_rank,war_rank,war_off_rank,wrc_plus_pa_weighted_rank,bb_pct_rank
2025,1001,삼성,12,2286,1969,563,101,14,41,236,34,18,375,815,354,238,62,11.02478851005435,11.6524143,-0.6276219133287666,0.28593194514982223,0.36907399202481167,0.4139156932453022,0.7829896852701139,0.12798374809547997,0.16404199475065617,0.10323709536307961,112.59190062921712,10,rankable,1.0,1.0,5.0,6.0,1.0,1.0,1.0,1.0
2025,3001,롯데,8,1754,1522,432,76,10,23,170,24,20,280,597,245,214,68,7.523010842502117,6.5922934,0.9307226864621044,0.28383705650459923,0.36059907834101385,0.39224704336399474,0.7528461217050086,0.10840998685939551,0.15963511972633979,0.09692132269099202,104.30406882635135,10,rankable,2.0,5.0,9.0,9.0,4.0,5.0,4.0,6.0
2025,12001,KT,11,2115,1835,484,82,9,50,212,34,13,406,734,276,241,29,7.992437647655606,8.329300499999999,-0.33685882575809967,0.26376021798365124,0.34861509073543456,0.4,0.7486150907354345,0.1362397820163488,0.19196217494089834,0.10023640661938535,105.66350159791627,10,rankable,3.0,4.0,2.0,2.0,3.0,2.0,3.0,4.0
2025,7002,한화,9,1404,1241,324,67,4,36,126,13,14,308,507,198,156,41,5.493428763002157,5.0459008999999995,0.4475334025919439,0.2610797743755036,0.3321377331420373,0.40854149879129736,0.7406792319333346,0.14746172441579375,0.21937321937321938,0.08974358974358974,102.95631119328687,10,rankable,4.0,2.0,1.0,7.0,7.0,7.0,5.0,8.0
2025,9002,SSG,14,2168,1945,522,80,5,56,177,25,12,457,780,248,254,60,6.594265958294272,5.897703399999999,0.6965630985796453,0.2683804627249357,0.3353404353867531,0.40102827763496146,0.7363687130217146,0.13264781491002575,0.21079335793357934,0.08164206642066421,98.29110297593684,10,rankable,5.0,3.0,3.0,1.0,6.0,6.0,7.0,10.0
2025,5002,LG,10,1721,1466,404,61,5,14,173,33,21,296,517,252,170,67,8.778538327664137,6.7560901,2.0224520303308964,0.2755798090040928,0.3603071470761961,0.35266030013642563,0.7129674472126217,0.07708049113233284,0.17199302730970367,0.10052295177222545,106.00463539136834,10,rankable,6.0,9.0,10.0,10.0,2.0,4.0,2.0,3.0
2025,6002,두산,12,2326,2034,518,82,17,43,228,27,18,449,763,287,245,86,7.28228760138154,7.284418500000001,-0.0021282555535435677,0.25467059980334317,0.33506718682271347,0.3751229105211406,0.7101900973438541,0.12045231071779744,0.1930352536543422,0.09802235597592433,100.45823430564008,10,rankable,7.0,7.0,6.0,5.0,5.0,3.0,6.0,5.0
2025,11001,NC,13,1819,1561,392,84,7,30,183,32,20,331,580,242,211,53,3.176863558590412,4.6916031,-1.5147490501403806,0.25112107623318386,0.33797327394209353,0.37155669442664957,0.709529968368743,0.12043561819346571,0.18196811434854315,0.10060472787245739,96.3221949063008,10,rankable,8.0,8.0,7.0,8.0,8.0,8.0,8.0,2.0
2025,2002,KIA,10,1980,1756,438,84,5,44,181,25,9,491,664,225,197,29,2.3522347267717123,4.5439935,-2.191754462197423,0.24943052391799544,0.3267376966007103,0.37813211845102507,0.7048698150517354,0.12870159453302962,0.24797979797979797,0.09141414141414142,96.21470095798223,10,rankable,9.0,6.0,4.0,4.0,9.0,9.0,9.0,7.0
2025,10001,키움,15,2437,2167,507,83,10,48,202,46,12,579,754,253,239,48,1.7891036868095398,2.4093638700000004,-0.6202620901167393,0.2339640055376096,0.3110836423568191,0.34794646977388094,0.6590301121307001,0.11398246423627134,0.23758719737382028,0.08288879770209273,87.59718019785232,10,rankable,10.0,10.0,8.0,3.0,10.0,10.0,10.0,9.0
2026,2002,KIA,2,28,21,5,1,0,1,5,2,0,9,9,10,2,2,0.1872909069061279,0.2354678,-0.0481764366850257,0.23809523809523808,0.42857142857142855,0.42857142857142855,0.8571428571428571,0.19047619047619047,0.32142857142857145,0.17857142857142858,140.9283905029297,2,incomplete_year_excluded_from_rank,,,,,,,,
2026,11001,NC,1,27,23,4,1,0,1,2,2,0,5,8,2,5,1,-0.0273386687040328,-0.0395197,0.0121810398995876,0.17391304347826086,0.2962962962962963,0.34782608695652173,0.644122383252818,0.17391304347826086,0.18518518518518517,0.07407407407407407,73.99667358398438,2,incomplete_year_excluded_from_rank,,,,,,,,
