source_league,team_code,team_name,roster_no,player_name,normalized_player_name,position_group,position,born,height_cm,weight_kg,throws,bats,note,nationality,debut,person_url,source_url,source_confidence
CPBL,ACN,Brothers,74,HSU Chi Hung,hsu chi hung,,First-Base Man,1992/07/22,189,112,R,L,,R.O.C.(TAIWAN),2014/09/03,https://en.cpbl.com.tw/team/person?Acnt=0000001119,https://en.cpbl.com.tw/team?ClubNo=ACN,4
CPBL,ACN,Brothers,75,LIN Jui Chun,lin jui chun,,Second-Base Man,2001/04/06,181,85,R,L,,R.O.C.(TAIWAN),2022/06/10,https://en.cpbl.com.tw/team/person?Acnt=0000005567,https://en.cpbl.com.tw/team?ClubNo=ACN,4
CPBL,ACN,Brothers,90,CHIANG Kun Yu,chiang kun yu,,Shortstop,2000/07/04,175,78,R,R,,R.O.C.(TAIWAN),2019/06/25,https://en.cpbl.com.tw/team/person?Acnt=0000004636,https://en.cpbl.com.tw/team?ClubNo=ACN,4
CPBL,ACN,Brothers,7,CHANG Chih Hao,chang chih hao,,Center-Fielder,1987/05/15,181,92,R,L,,R.O.C.(TAIWAN),2010/03/20,https://en.cpbl.com.tw/team/person?Acnt=0000003183,https://en.cpbl.com.tw/team?ClubNo=ACN,4
CPBL,ACN,Brothers,13,HSU Ting Lun,hsu ting lun,,Center-Fielder,2005/10/30,182,90,R,R,,R.O.C.(TAIWAN),2024/10/09,https://en.cpbl.com.tw/team/person?Acnt=0000007278,https://en.cpbl.com.tw/team?ClubNo=ACN,4
CPBL,ACN,Brothers,39,CHAN Tzu Hsien,chan tzu hsien,,Left-Fielder,1994/02/24,183,95,R,R,,R.O.C.(TAIWAN),2016/08/21,https://en.cpbl.com.tw/team/person?Acnt=0000002297,https://en.cpbl.com.tw/team?ClubNo=ACN,4
CPBL,ACN,Brothers,92,YUEH Cheng Hua,yueh cheng hua,,Center-Fielder,2001/01/29,182,85,L,L,,R.O.C.(TAIWAN),2020/09/26,https://en.cpbl.com.tw/team/person?Acnt=0000005571,https://en.cpbl.com.tw/team?ClubNo=ACN,4
CPBL,ADD,U-Lions,23,LIU Hsuan Ta,liu hsuan ta,,Pitcher,1996/11/23,180,88,R,R,,R.O.C.(TAIWAN),2018/09/29,https://en.cpbl.com.tw/team/person?Acnt=0000004637,https://en.cpbl.com.tw/team?ClubNo=ADD,4
CPBL,ADD,U-Lions,28,TAKASHIO Masaki,takashio masaki,,Pitcher,1989/03/24,180,85,R,R,,Japan,2024/07/28,https://en.cpbl.com.tw/team/person?Acnt=0000006818,https://en.cpbl.com.tw/team?ClubNo=ADD,4
CPBL,ADD,U-Lions,29,CHUNG Yun Hua,chung yun hua,,Pitcher,2003/09/27,180,75,R,L,,R.O.C.(TAIWAN),2025/06/12,https://en.cpbl.com.tw/team/person?Acnt=0000007293,https://en.cpbl.com.tw/team?ClubNo=ADD,4
CPBL,ADD,U-Lions,30,LEE Chi Feng,lee chi feng,,Pitcher,1997/10/14,180,73,R,R,,R.O.C.(TAIWAN),2020/10/04,https://en.cpbl.com.tw/team/person?Acnt=0000006127,https://en.cpbl.com.tw/team?ClubNo=ADD,4
CPBL,ADD,U-Lions,33,CHENG Hao,cheng hao,,Pitcher,2002/02/11,176,85,L,L,,R.O.C.(TAIWAN),2024/10/11,https://en.cpbl.com.tw/team/person?Acnt=0000007044,https://en.cpbl.com.tw/team?ClubNo=ADD,4
CPBL,ADD,U-Lions,37,CHIU Hao Chun,chiu hao chun,,Pitcher,1990/12/29,180,70,R,R,,R.O.C.(TAIWAN),2015/03/22,https://en.cpbl.com.tw/team/person?Acnt=0000000998,https://en.cpbl.com.tw/team?ClubNo=ADD,4
CPBL,ADD,U-Lions,42,Jackson STEPHENS,jackson stephens,,Pitcher,1994/05/11,188,100,R,L,,America,2025/09/10,https://en.cpbl.com.tw/team/person?Acnt=0000007597,https://en.cpbl.com.tw/team?ClubNo=ADD,4
CPBL,ADD,U-Lions,50,Brock DYKXHOORN,brock dykxhoorn,,Pitcher,1994/07/02,206,120,R,R,,Canada,2020/08/01,https://en.cpbl.com.tw/team/person?Acnt=0000005731,https://en.cpbl.com.tw/team?ClubNo=ADD,4
CPBL,ADD,U-Lions,57,WU Cheng Yu,wu cheng yu,,Pitcher,1997/01/09,181,85,R,L,,R.O.C.(TAIWAN),2019/09/29,https://en.cpbl.com.tw/team/person?Acnt=0000005482,https://en.cpbl.com.tw/team?ClubNo=ADD,4
CPBL,ADD,U-Lions,62,LEE Chun,lee chun,,Pitcher,2006/03/28,174,81,L,L,,R.O.C.(TAIWAN),2025/06/12,https://en.cpbl.com.tw/team/person?Acnt=0000007292,https://en.cpbl.com.tw/team?ClubNo=ADD,4
CPBL,ADD,U-Lions,63,KAO Wei Chiang,kao wei chiang,,Pitcher,1999/09/18,178,86,R,R,,R.O.C.(TAIWAN),2026/03/31,https://en.cpbl.com.tw/team/person?Acnt=0000005315,https://en.cpbl.com.tw/team?ClubNo=ADD,4
CPBL,ADD,U-Lions,74,LIN Shao En,lin shao en,,Pitcher,2004/02/13,177,69,L,L,,R.O.C.(TAIWAN),2023/08/12,https://en.cpbl.com.tw/team/person?Acnt=0000006848,https://en.cpbl.com.tw/team?ClubNo=ADD,4
CPBL,ADD,U-Lions,87,Jordan BALAZOVIC,jordan balazovic,,Pitcher,1998/09/17,196,97,R,R,,Canada,2026/04/03,https://en.cpbl.com.tw/team/person?Acnt=0000007778,https://en.cpbl.com.tw/team?ClubNo=ADD,4
CPBL,ADD,U-Lions,4,CHANG Hsiang,chang hsiang,,Catcher,2003/01/22,180,88,R,R,,R.O.C.(TAIWAN),2023/09/18,https://en.cpbl.com.tw/team/person?Acnt=0000006716,https://en.cpbl.com.tw/team?ClubNo=ADD,4
CPBL,ADD,U-Lions,65,CHEN Chung Yu,chen chung yu,,Catcher,1995/09/14,183,83,R,R,,R.O.C.(TAIWAN),2017/09/01,https://en.cpbl.com.tw/team/person?Acnt=0000002298,https://en.cpbl.com.tw/team?ClubNo=ADD,4
CPBL,ADD,U-Lions,2,LIN Tzu Hao,lin tzu hao,,Third-Base Man,2002/03/29,185,73,R,L,,R.O.C.(TAIWAN),2021/03/25,https://en.cpbl.com.tw/team/person?Acnt=0000006223,https://en.cpbl.com.tw/team?ClubNo=ADD,4
