player_id,player_name,stat_group,sport_id,sport_level,status_code,split_count,error,source_url,collected_at
702273,"Schultz, Noah",pitching,12,AA,200,2,,https://statsapi.mlb.com/api/v1/people/702273/stats?stats=yearByYear&group=pitching&sportId=12,2026-06-14T00:26:14+09:00
702273,"Schultz, Noah",pitching,14,Single-A,200,1,,https://statsapi.mlb.com/api/v1/people/702273/stats?stats=yearByYear&group=pitching&sportId=14,2026-06-14T00:26:14+09:00
702273,"Schultz, Noah",pitching,16,Rookie,200,0,,https://statsapi.mlb.com/api/v1/people/702273/stats?stats=yearByYear&group=pitching&sportId=16,2026-06-14T00:26:14+09:00
687606,"Schultz, Paxton",pitching,13,High-A,200,1,,https://statsapi.mlb.com/api/v1/people/687606/stats?stats=yearByYear&group=pitching&sportId=13,2026-06-14T00:26:14+09:00
687606,"Schultz, Paxton",pitching,11,AAA,200,4,,https://statsapi.mlb.com/api/v1/people/687606/stats?stats=yearByYear&group=pitching&sportId=11,2026-06-14T00:26:14+09:00
687606,"Schultz, Paxton",pitching,12,AA,200,2,,https://statsapi.mlb.com/api/v1/people/687606/stats?stats=yearByYear&group=pitching&sportId=12,2026-06-14T00:26:14+09:00
687606,"Schultz, Paxton",pitching,14,Single-A,200,0,,https://statsapi.mlb.com/api/v1/people/687606/stats?stats=yearByYear&group=pitching&sportId=14,2026-06-14T00:26:14+09:00
805326,"Schweitzer, Tyler",pitching,12,AA,200,2,,https://statsapi.mlb.com/api/v1/people/805326/stats?stats=yearByYear&group=pitching&sportId=12,2026-06-14T00:26:14+09:00
687606,"Schultz, Paxton",pitching,16,Rookie,200,1,,https://statsapi.mlb.com/api/v1/people/687606/stats?stats=yearByYear&group=pitching&sportId=16,2026-06-14T00:26:14+09:00
805326,"Schweitzer, Tyler",pitching,13,High-A,200,2,,https://statsapi.mlb.com/api/v1/people/805326/stats?stats=yearByYear&group=pitching&sportId=13,2026-06-14T00:26:14+09:00
805326,"Schweitzer, Tyler",pitching,11,AAA,200,2,,https://statsapi.mlb.com/api/v1/people/805326/stats?stats=yearByYear&group=pitching&sportId=11,2026-06-14T00:26:14+09:00
