role_model_family,target,feature,coefficient,abs_coefficient,direction,train_rows,positive_rows
pitcher,failure,pre_games_80plus_pitches,0.002574576771574827,0.002574576771574827,raises_target_probability,82,33
pitcher,success,pre_xwoba_allowed_bbe,0.7375200099621005,0.7375200099621005,raises_target_probability,82,45
pitcher,success,pre_woba_allowed,-0.7159163808750835,0.7159163808750835,lowers_target_probability,82,45
pitcher,success,pre_kbo_milb_era,0.6215055427630019,0.6215055427630019,raises_target_probability,82,45
pitcher,success,pre_early_1_3_woba_allowed,0.5910615763789888,0.5910615763789888,raises_target_probability,82,45
pitcher,success,pre_risp_woba_allowed,-0.5355887507248897,0.5355887507248897,lowers_target_probability,82,45
pitcher,success,pre_kbo_milb_rows,-0.5284843747961674,0.5284843747961674,lowers_target_probability,82,45
pitcher,success,pre_three_ball_pitch_rate,-0.5233385835857636,0.5233385835857636,lowers_target_probability,82,45
pitcher,success,pre_start_proxy_rate,0.5151715363032807,0.5151715363032807,raises_target_probability,82,45
pitcher,success,pre_whiff_per_swing,-0.50478913844599,0.50478913844599,lowers_target_probability,82,45
pitcher,success,pre_start_proxy_games,0.456781266639062,0.456781266639062,raises_target_probability,82,45
pitcher,success,pre_first_pitch_nonball_rate,0.42314903296634176,0.42314903296634176,raises_target_probability,82,45
pitcher,success,pre_zone_rate,-0.41190029913830983,0.41190029913830983,lowers_target_probability,82,45
pitcher,success,pre_k_pct,-0.4083402617493616,0.4083402617493616,lowers_target_probability,82,45
pitcher,success,pre_kbo_milb_latest_year,0.4020386017846617,0.4020386017846617,raises_target_probability,82,45
pitcher,success,pre_kbo_milb_recent_rows,-0.3992593339637871,0.3992593339637871,lowers_target_probability,82,45
pitcher,success,pre_kbo_milb_games,0.39483420333406916,0.39483420333406916,raises_target_probability,82,45
pitcher,success,pre_hr_pct,-0.3942761347915746,0.3942761347915746,lowers_target_probability,82,45
pitcher,success,pre_kbo_milb_whip,-0.39273047537732186,0.39273047537732186,lowers_target_probability,82,45
pitcher,success,pre_starter_stabilizer_score,-0.37503186855200416,0.37503186855200416,lowers_target_probability,82,45
pitcher,success,pre_bb_hbp_pct,0.33623061695944617,0.33623061695944617,raises_target_probability,82,45
pitcher,success,pre_hardhit_rate,0.32601552923658955,0.32601552923658955,raises_target_probability,82,45
pitcher,success,pre_kbo_milb_hr9,-0.3229867310026845,0.3229867310026845,lowers_target_probability,82,45
pitcher,success,pre_barrel_rate,0.31913741520152034,0.31913741520152034,raises_target_probability,82,45
pitcher,success,pre_kbo_milb_games_started,-0.2915436508032223,0.2915436508032223,lowers_target_probability,82,45
pitcher,success,pre_games_100plus_pitches,-0.2843323955598993,0.2843323955598993,lowers_target_probability,82,45
pitcher,success,pre_kbo_aaa_rows,0.26782586516454704,0.26782586516454704,raises_target_probability,82,45
pitcher,success,pre_kbo_milb_highest_level_score,-0.2619795658373664,0.2619795658373664,lowers_target_probability,82,45
pitcher,success,pre_games_90plus_pitches,-0.21386737952072607,0.21386737952072607,lowers_target_probability,82,45
pitcher,success,pre_games_80plus_pitches,0.18560047496009624,0.18560047496009624,raises_target_probability,82,45
pitcher,success,pre_xslg_allowed_bbe,-0.17612098393873138,0.17612098393873138,lowers_target_probability,82,45
pitcher,success,pre_third_time_woba_allowed,0.15462437588081562,0.15462437588081562,raises_target_probability,82,45
pitcher,success,pre_runner_on_base_woba_allowed,0.1525375324896641,0.1525375324896641,raises_target_probability,82,45
pitcher,success,pre_third_time_game_rate,0.1385329316661997,0.1385329316661997,raises_target_probability,82,45
pitcher,success,pre_games,-0.1171692282456124,0.1171692282456124,lowers_target_probability,82,45
pitcher,success,pre_kbo_milb_bb9,0.09003221327142544,0.09003221327142544,raises_target_probability,82,45
pitcher,success,pre_kbo_milb_k9,-0.08309358727061683,0.08309358727061683,lowers_target_probability,82,45
pitcher,success,pre_chase_rate,-0.08147262707282474,0.08147262707282474,lowers_target_probability,82,45
pitcher,success,pre_pa,-0.04215793344019097,0.04215793344019097,lowers_target_probability,82,45
pitcher,success,pre_pitch,0.04144668074106665,0.04144668074106665,raises_target_probability,82,45
pitcher,success,pre_kbo_milb_ip,0.03508308789973615,0.03508308789973615,raises_target_probability,82,45
pitcher,success,pre_kbo_aa_rows,0.021301775996608933,0.021301775996608933,raises_target_probability,82,45
