player_key,season,player_name,player_name_ko,player_name_statiz,player_name_en,arrival_season,kbo_team,kbo_team_raw,role_group,role_ko,template_status,release_note,pre_arrival_primary_league,pre_arrival_level,age_at_arrival,bats,throws,position_or_role,source_player_id,first_kbo_pa,first_kbo_ip,first_kbo_war,first_kbo_wrc_plus,first_kbo_era,first_kbo_k_bb_pct,renewed_next_year,in_season_replaced,injury_exit_flag,performance_exit_flag,temporary_foreign_flag,outcome_available,label_available,success,strong_success,failure,statiz_matched,source_confidence_1_5,coverage_gap,source,target_only_columns,accessed_at,archetype_cluster_id,archetype_model_role,archetype_input_features
빅터레예스,2024,빅터 레예스,빅터 레예스,레이예스,Víctor José Reyes,2024,롯데,롯데 자이언츠,hitter,야수,listed,,,,,,,9,16106.0,632.0,,3.5102803707122803,127.54900360107422,,0.0569620253164556,1.0,0,0,0,0,True,True,1.0,1.0,0.0,True,4,,ko_wiki_foreign_player_template,first_kbo_pa;first_kbo_ip;first_kbo_war;first_kbo_wrc_plus;first_kbo_era;first_kbo_k_bb_pct;renewed_next_year;in_season_replaced;injury_exit_flag;performance_exit_flag;temporary_foreign_flag;success;strong_success;failure,2026-06-12T07:54:00.241530+00:00,0,hitter,first_kbo_pa;first_kbo_war;first_kbo_wrc_plus;in_season_replaced;injury_exit_flag;performance_exit_flag;renewed_next_year
데이비드맥키넌,2024,데이비드 맥키넌,데이비드 맥키넌,맥키넌,David MacKinnon,2024,삼성,삼성,hitter,야수,released,"성적 부진, 삼성",,,,,,3,15862.0,315.0,,0.5285413265228271,96.45189666748048,,,0.0,1,0,1,0,True,True,0.0,0.0,1.0,True,4,,ko_wiki_foreign_player_template_release_row,first_kbo_pa;first_kbo_ip;first_kbo_war;first_kbo_wrc_plus;first_kbo_era;first_kbo_k_bb_pct;renewed_next_year;in_season_replaced;injury_exit_flag;performance_exit_flag;temporary_foreign_flag;success;strong_success;failure,2026-06-12T07:54:00.241530+00:00,1,hitter,first_kbo_pa;first_kbo_war;first_kbo_wrc_plus;in_season_replaced;injury_exit_flag;performance_exit_flag;renewed_next_year
루벤카데나스,2024,루벤 카데나스,루벤 카데나스,카디네스,Ruben Cardenas,2024,삼성,삼성,hitter,야수,released,"부상 및 태업성 플레이, 팀 사기 저하, 삼성",,,,,,9,16156.0,25.0,,-0.0605283714830875,145.51699829101562,,,0.0,1,1,1,0,True,True,0.0,0.0,1.0,True,4,,ko_wiki_foreign_player_template_release_row,first_kbo_pa;first_kbo_ip;first_kbo_war;first_kbo_wrc_plus;first_kbo_era;first_kbo_k_bb_pct;renewed_next_year;in_season_replaced;injury_exit_flag;performance_exit_flag;temporary_foreign_flag;success;strong_success;failure,2026-06-12T07:54:00.241530+00:00,1,hitter,first_kbo_pa;first_kbo_war;first_kbo_wrc_plus;in_season_replaced;injury_exit_flag;performance_exit_flag;renewed_next_year
르윈디아즈,2024,르윈 디아즈,르윈 디아즈,디아즈,Lewin Díaz,2024,삼성,삼성 라이온즈,hitter,야수,listed,,,,,,,3,16162.0,118.0,,0.5481775999069214,107.88899993896484,,0.1610169491525423,1.0,0,0,0,0,True,True,1.0,0.0,0.0,True,4,,ko_wiki_foreign_player_template,first_kbo_pa;first_kbo_ip;first_kbo_war;first_kbo_wrc_plus;first_kbo_era;first_kbo_k_bb_pct;renewed_next_year;in_season_replaced;injury_exit_flag;performance_exit_flag;temporary_foreign_flag;success;strong_success;failure,2026-06-12T07:54:00.241530+00:00,0,hitter,first_kbo_pa;first_kbo_war;first_kbo_wrc_plus;in_season_replaced;injury_exit_flag;performance_exit_flag;renewed_next_year
로니도슨,2024,로니 도슨,로니 도슨,도슨,Ronnie Dawson,2024,키움,키움 히어로즈,hitter,야수,listed,,,,,,,8,15652.0,429.0,,3.272735118865967,145.93899536132812,,0.0349650349650349,0.0,0,0,0,0,True,True,1.0,0.0,0.0,True,4,,ko_wiki_foreign_player_template,first_kbo_pa;first_kbo_ip;first_kbo_war;first_kbo_wrc_plus;first_kbo_era;first_kbo_k_bb_pct;renewed_next_year;in_season_replaced;injury_exit_flag;performance_exit_flag;temporary_foreign_flag;success;strong_success;failure,2026-06-12T07:54:00.241530+00:00,0,hitter,first_kbo_pa;first_kbo_war;first_kbo_wrc_plus;in_season_replaced;injury_exit_flag;performance_exit_flag;renewed_next_year
요나탄페를라사,2024,요나탄 페를라사,요나탄 페를라사,페라자,Yonathan Jesús Perlaza,2024,한화,한화 이글스,hitter,야수,listed,,,,,,,9,16121.0,522.0,,2.200988292694092,116.71299743652344,,0.1264367816091954,0.0,0,0,0,0,True,True,1.0,0.0,0.0,True,4,,ko_wiki_foreign_player_template,first_kbo_pa;first_kbo_ip;first_kbo_war;first_kbo_wrc_plus;first_kbo_era;first_kbo_k_bb_pct;renewed_next_year;in_season_replaced;injury_exit_flag;performance_exit_flag;temporary_foreign_flag;success;strong_success;failure,2026-06-12T07:54:00.241530+00:00,0,hitter,first_kbo_pa;first_kbo_war;first_kbo_wrc_plus;in_season_replaced;injury_exit_flag;performance_exit_flag;renewed_next_year
패트릭위즈덤,2025,패트릭 위즈덤,패트릭 위즈덤,위즈덤,Patrick Wisdom,2025,KIA,KIA 타이거즈,hitter,야수,listed,,,,,,,3,16262.0,486.0,,3.4919967651367188,131.38339233398438,,0.1851851851851851,0.0,0,0,0,0,True,True,1.0,0.0,0.0,True,4,,ko_wiki_foreign_player_template,first_kbo_pa;first_kbo_ip;first_kbo_war;first_kbo_wrc_plus;first_kbo_era;first_kbo_k_bb_pct;renewed_next_year;in_season_replaced;injury_exit_flag;performance_exit_flag;temporary_foreign_flag;success;strong_success;failure,2026-06-12T07:54:00.241530+00:00,0,hitter,first_kbo_pa;first_kbo_war;first_kbo_wrc_plus;in_season_replaced;injury_exit_flag;performance_exit_flag;renewed_next_year
멜로하스주니어,2025,멜 로하스 주니어,멜 로하스 주니어,로하스,Mel Rojas Jr,2025,KT,kt,hitter,야수,released,"성적 부진, kt",,,,,,7,12995.0,384.0,,1.2127257585525513,107.02774810791016,,,0.0,1,0,1,0,True,True,0.0,0.0,1.0,True,4,,ko_wiki_foreign_player_template_release_row,first_kbo_pa;first_kbo_ip;first_kbo_war;first_kbo_wrc_plus;first_kbo_era;first_kbo_k_bb_pct;renewed_next_year;in_season_replaced;injury_exit_flag;performance_exit_flag;temporary_foreign_flag;success;strong_success;failure,2026-06-12T07:54:00.241530+00:00,1,hitter,first_kbo_pa;first_kbo_war;first_kbo_wrc_plus;in_season_replaced;injury_exit_flag;performance_exit_flag;renewed_next_year
앤드류스티븐슨,2025,앤드류 스티븐슨,앤드류 스티븐슨,스티븐슨,Andrew Stevenson,2025,KT,kt wiz,hitter,야수,listed,,,,,,,8,16402.0,168.0,,0.4514786303043365,104.46678161621094,,0.1726190476190476,0.0,0,0,0,0,True,True,0.0,0.0,1.0,True,4,,ko_wiki_foreign_player_template,first_kbo_pa;first_kbo_ip;first_kbo_war;first_kbo_wrc_plus;first_kbo_era;first_kbo_k_bb_pct;renewed_next_year;in_season_replaced;injury_exit_flag;performance_exit_flag;temporary_foreign_flag;success;strong_success;failure,2026-06-12T07:54:00.241530+00:00,0,hitter,first_kbo_pa;first_kbo_war;first_kbo_wrc_plus;in_season_replaced;injury_exit_flag;performance_exit_flag;renewed_next_year
오스틴딘,2025,오스틴 딘,오스틴 딘,오스틴,Austin James Dean,2025,LG,LG 트윈스,hitter,야수,listed,,,,,,,3,15532.0,499.0,,4.863814830780029,171.61871337890625,,0.002004008016032,1.0,0,0,0,0,True,True,1.0,1.0,0.0,True,4,,ko_wiki_foreign_player_template,first_kbo_pa;first_kbo_ip;first_kbo_war;first_kbo_wrc_plus;first_kbo_era;first_kbo_k_bb_pct;renewed_next_year;in_season_replaced;injury_exit_flag;performance_exit_flag;temporary_foreign_flag;success;strong_success;failure,2026-06-12T07:54:00.241530+00:00,0,hitter,first_kbo_pa;first_kbo_war;first_kbo_wrc_plus;in_season_replaced;injury_exit_flag;performance_exit_flag;renewed_next_year
