rule_type,rule,rule_description,components,hidden_interaction_lift,loss_rate_lift_vs_baseline,hidden_need_score,games,win_pct,complement_win_pct,win_pct_delta,loss_rate,avg_run_diff,avg_team_runs,avg_opp_runs,avg_starter_outs,avg_bullpen_ip,avg_of_rbi,avg_of_high_obp,avg_ssg_errors,avg_unearned_runs,avg_team_run_kill,avg_ofdh_run_kill,avg_opp_win_pct,avg_park_total_runs
triple,opp_runs_ge6 AND opp_sp_right AND opp_top3_win_pct,opponent scored 6+ runs + opponent starter was right-handed + opponent ranked top 3 by current 2026 win percentage,opp_runs_ge6;opp_sp_right;opp_top3_win_pct,0.1875,0.42622950819672134,2.5297131147540988,8,0.0,0.49056603773584906,-0.49056603773584906,1.0,-6.5,3.0,9.5,12.25,4.416666666666666,1.25,0.3184027777777778,0.0,1.0,0.75,0.5,0.6017076502732241,10.038037634408603
triple,opp_runs_ge6 AND opp_sp_right AND ofdh_run_kill_ge1,opponent scored 6+ runs + opponent starter was right-handed + OF/DH slots had at least 1 GDP/CS run-kill event,opp_runs_ge6;opp_sp_right;ofdh_run_kill_ge1,0.1875,0.42622950819672134,2.5297131147540988,8,0.0,0.49056603773584906,-0.49056603773584906,1.0,-5.375,3.25,8.625,14.0,4.083333333333334,0.875,0.2484375,0.0,1.0,1.25,1.125,0.5202175593308548,10.46317204301075
pair,bullpen_er3plus AND of_rbi_lt3,bullpen allowed 3+ ER + outfielders combined for fewer than 3 RBI,bullpen_er3plus;of_rbi_lt3,0.08333333333333337,0.42622950819672134,2.5122950819672134,17,0.0,0.5909090909090909,-0.5909090909090909,1.0,-5.823529411764706,3.764705882352941,9.588235294117647,12.294117647058824,4.568627450980393,1.0,0.30294117647058827,0.0,0.35294117647058826,1.1764705882352942,0.47058823529411764,0.48410585397743966,10.622001570372307
triple,starter_short_lt5 AND opp_runs_ge6 AND ofdh_run_kill_ge1,starter failed to complete 5 innings + opponent scored 6+ runs + OF/DH slots had at least 1 GDP/CS run-kill event,starter_short_lt5;opp_runs_ge6;ofdh_run_kill_ge1,0.1875,0.42622950819672134,2.4969262295081966,7,0.0,0.48148148148148145,-0.48148148148148145,1.0,-5.571428571428571,4.0,9.571428571428571,11.285714285714286,4.666666666666667,0.5714285714285714,0.2571428571428571,0.0,1.1428571428571428,1.4285714285714286,1.0,0.528344671201814,10.165437788018433
triple,starter_disaster AND opp_runs_ge6 AND ofdh_run_kill_ge1,starter disaster: 5+ ER or fewer than 4 innings + opponent scored 6+ runs + OF/DH slots had at least 1 GDP/CS run-kill event,starter_disaster;opp_runs_ge6;ofdh_run_kill_ge1,0.1875,0.42622950819672134,2.4969262295081966,7,0.0,0.48148148148148145,-0.48148148148148145,1.0,-4.714285714285714,4.428571428571429,9.142857142857142,11.571428571428571,4.714285714285714,0.7142857142857143,0.31071428571428567,0.0,0.42857142857142855,1.4285714285714286,1.0,0.528344671201814,10.424577572964669
triple,of_rbi_lt3 AND opp_runs_ge6 AND unearned_runs_ge1,outfielders combined for fewer than 3 RBI + opponent scored 6+ runs + SSG allowed at least 1 unearned run,of_rbi_lt3;opp_runs_ge6;unearned_runs_ge1,0.1875,0.42622950819672134,2.4969262295081966,7,0.0,0.48148148148148145,-0.48148148148148145,1.0,-6.142857142857143,2.857142857142857,9.0,13.571428571428571,4.095238095238095,0.8571428571428571,0.3174603174603175,0.0,1.8571428571428572,1.2857142857142858,0.5714285714285714,0.5267127616073752,9.8821044546851
triple,of_high_rbi_zero AND opp_runs_ge6 AND ofdh_run_kill_ge1,high-leverage OF lineup slots had 0 RBI + opponent scored 6+ runs + OF/DH slots had at least 1 GDP/CS run-kill event,of_high_rbi_zero;opp_runs_ge6;ofdh_run_kill_ge1,0.1875,0.42622950819672134,2.4969262295081966,7,0.0,0.48148148148148145,-0.48148148148148145,1.0,-5.857142857142857,3.4285714285714284,9.285714285714286,11.714285714285714,4.523809523809524,0.14285714285714285,0.20714285714285713,0.0,1.1428571428571428,1.5714285714285714,1.1428571428571428,0.5140589569160998,10.63410138248848
triple,replacement_slot_rbi_lt3 AND opp_runs_ge6 AND opp_offense_top3,OF/DH slots had fewer than 3 RBI + opponent scored 6+ runs + opponent ranked top 3 by current team OPS,replacement_slot_rbi_lt3;opp_runs_ge6;opp_offense_top3,0.1875,0.42622950819672134,2.4969262295081966,7,0.0,0.48148148148148145,-0.48148148148148145,1.0,-6.571428571428571,2.857142857142857,9.428571428571429,12.857142857142858,4.523809523809524,1.0,0.42857142857142855,0.0,0.2857142857142857,1.4285714285714286,0.7142857142857143,0.5529274004683841,11.135176651305684
triple,replacement_slot_rbi_lt3 AND opp_runs_ge6 AND unearned_runs_ge1,OF/DH slots had fewer than 3 RBI + opponent scored 6+ runs + SSG allowed at least 1 unearned run,replacement_slot_rbi_lt3;opp_runs_ge6;unearned_runs_ge1,0.1875,0.42622950819672134,2.4969262295081966,7,0.0,0.48148148148148145,-0.48148148148148145,1.0,-6.142857142857143,2.857142857142857,9.0,13.571428571428571,4.095238095238095,0.8571428571428571,0.3174603174603175,0.0,1.8571428571428572,1.2857142857142858,0.5714285714285714,0.5267127616073752,9.8821044546851
triple,opp_runs_ge6 AND opp_offense_top3 AND high_run_park,opponent scored 6+ runs + opponent ranked top 3 by current team OPS + game was in a higher-run venue bucket,opp_runs_ge6;opp_offense_top3;high_run_park,0.1875,0.42622950819672134,2.4969262295081966,7,0.0,0.48148148148148145,-0.48148148148148145,1.0,-5.0,3.7142857142857144,8.714285714285714,12.571428571428571,4.6190476190476195,0.7142857142857143,0.41428571428571426,0.0,0.2857142857142857,1.8571428571428572,0.8571428571428571,0.5424277907884465,11.361904761904762
