year,t_code,t_code_name,split_value,games,players,pa,ab,h,doubles,triples,hr,bb,hbp,sf,so,tb,r,rbi,sb,avg,obp,slg,ops,iso,bb_pct,k_pct,split_type,pa_rank,r_rank,rbi_rank,hr_rank,avg_rank,obp_rank,slg_rank,ops_rank,iso_rank,bb_pct_rank,k_pct_rank,team_count_in_split
2025,9002,SSG,OF,144,14,1855.0,1657,443,64,5,42,153,20,14,379,643,207,212.0,49.0,0.26735063367531686,0.33405639913232105,0.38805069402534703,0.7221070931576681,0.12070006035003017,0.08247978436657682,0.20431266846361185,position_group,7.0,8.0,3.0,3.0,5.0,7.0,4.0,5.0,5.0,9.0,8.0,10
2025,9002,SSG,PH,62,20,77.0,61,11,0,0,1,14,1,1,19,14,6,9.0,0.0,0.18032786885245902,0.33766233766233766,0.22950819672131148,0.5671705343836492,0.04918032786885246,0.18181818181818182,0.24675324675324675,position_group,8.0,4.0,7.0,4.0,8.0,6.0,8.0,8.0,9.0,1.0,3.0,10
2025,9002,SSG,other,28,9,0.0,0,0,0,0,0,0,0,0,0,0,2,0.0,4.0,,,,,,,,position_group,3.0,10.0,2.0,2.0,,,,,,,,10
2025,9002,SSG,all,144,32,5517.0,4875,1249,175,14,127,493,60,37,1159,1833,608,578.0,129.0,0.2562051282051282,0.3297346752058554,0.376,0.7057346752058554,0.1197948717948718,0.08936015950697843,0.2100779409099148,team_total,9.0,9.0,9.0,5.0,8.0,9.0,7.0,9.0,7.0,7.0,8.0,10
2026,9002,SSG,1-2_table_setters,62,14,601.0,512,162,28,6,9,70,3,7,79,229,86,75.0,12.0,0.31640625,0.3969594594594595,0.447265625,0.8442250844594594,0.130859375,0.11647254575707154,0.1314475873544093,lineup_group,2.0,4.0,2.0,8.0,2.0,2.0,2.0,2.0,5.0,2.0,3.0,10
2026,9002,SSG,3-5_run_production,62,19,832.0,708,172,26,1,32,101,12,11,187,296,93,122.0,8.0,0.24293785310734464,0.3425480769230769,0.4180790960451977,0.7606271729682746,0.17514124293785308,0.12139423076923077,0.2247596153846154,lineup_group,8.0,7.0,6.0,3.0,10.0,7.0,7.0,7.0,4.0,3.0,9.0,10
2026,9002,SSG,6-9_lower_lineup,62,25,1012.0,897,219,44,3,24,85,10,9,195,341,137,101.0,29.0,0.24414715719063546,0.31368631368631367,0.3801560758082497,0.6938423894945633,0.13600891861761427,0.08399209486166008,0.19268774703557312,lineup_group,7.0,2.0,8.0,2.0,7.0,8.0,4.0,6.0,2.0,6.0,2.0,10
2026,9002,SSG,OF_1-2_table_setters,21,5,103.0,99,23,1,0,4,2,0,2,21,36,11,15.0,1.0,0.23232323232323232,0.24271844660194175,0.36363636363636365,0.6063548102383054,0.13131313131313133,0.019417475728155338,0.20388349514563106,of_lineup_group,10.0,10.0,9.0,6.0,9.0,10.0,8.0,10.0,4.0,10.0,8.0,10
2026,9002,SSG,OF_3-5_run_production,50,8,285.0,245,59,8,0,7,30,6,4,55,88,27,41.0,2.0,0.24081632653061225,0.3333333333333333,0.35918367346938773,0.6925170068027211,0.11836734693877549,0.10526315789473684,0.19298245614035087,of_lineup_group,4.0,6.0,3.0,5.0,10.0,8.0,10.0,10.0,9.0,5.0,7.0,10
2026,9002,SSG,OF_6-9_lower_lineup,60,8,405.0,358,92,17,3,12,37,4,5,70,151,66,49.0,12.0,0.2569832402234637,0.3292079207920792,0.42178770949720673,0.750995630289286,0.16480446927374304,0.09135802469135802,0.1728395061728395,of_lineup_group,1.0,1.0,1.0,1.0,6.0,5.0,3.0,4.0,2.0,4.0,3.0,10
2026,9002,SSG,non_OF,62,26,1652.0,1415,379,72,7,42,187,15,16,315,591,212,193.0,34.0,0.2678445229681979,0.355786895284752,0.4176678445229682,0.7734547398077202,0.1498233215547703,0.11319612590799032,0.1906779661016949,of_lineup_group,2.0,2.0,7.0,4.0,3.0,4.0,2.0,2.0,2.0,3.0,5.0,10
2026,9002,SSG,DH,61,9,263.0,216,40,3,0,8,43,2,2,73,67,25,29.0,2.0,0.18518518518518517,0.3231939163498099,0.3101851851851852,0.633379101534995,0.125,0.1634980988593156,0.27756653992395436,position_group,8.0,8.0,8.0,5.0,10.0,8.0,10.0,9.0,6.0,2.0,10.0,10
2026,9002,SSG,IF_C,62,17,1353.0,1169,334,68,7,34,138,13,14,233,518,178,163.0,28.0,0.2857142857142857,0.36356821589205396,0.4431137724550898,0.8066819883471438,0.15739948674080412,0.10199556541019955,0.172209903917221,position_group,1.0,2.0,6.0,2.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,10
2026,9002,SSG,OF,62,10,793.0,702,174,26,3,23,69,10,11,146,275,104,105.0,15.0,0.24786324786324787,0.3194444444444444,0.39173789173789175,0.7111823361823362,0.14387464387464388,0.08701134930643127,0.1841109709962169,position_group,9.0,8.0,3.0,3.0,9.0,9.0,7.0,8.0,4.0,7.0,6.0,10
2026,9002,SSG,PH,26,14,36.0,30,5,1,0,0,6,0,0,9,6,0,1.0,1.0,0.16666666666666666,0.3055555555555556,0.2,0.5055555555555555,0.033333333333333354,0.16666666666666666,0.25,position_group,4.0,9.0,10.0,5.0,8.0,6.0,8.0,8.0,7.0,2.0,3.0,10
2026,9002,SSG,other,14,5,0.0,0,0,0,0,0,0,0,0,0,0,9,0.0,3.0,,,,,,,,position_group,1.0,1.0,1.0,1.0,,,,,,,,10
2026,9002,SSG,all,62,27,2445.0,2117,553,98,10,65,256,25,27,461,866,316,298.0,49.0,0.2612187057156353,0.3439175257731959,0.40906943788379785,0.7529869636569937,0.14785073216816252,0.10470347648261759,0.18854805725971371,team_total,7.0,6.0,6.0,3.0,8.0,6.0,4.0,7.0,3.0,4.0,5.0,10
