context_value,role_value,t_code,t_code_name,games,players,pa,ab,h,doubles,triples,hr,bb,hbp,sf,so,tb,r,rbi,sb,avg,obp,slg,ops,iso,bb_pct,k_pct,hr_pa,r_pa,rbi_pa,context_type,role_type,ops_rank,obp_rank,slg_rank,iso_rank,bb_pct_rank,hr_pa_rank,r_pa_rank,rbi_pa_rank,k_pct_rank,team_count,hidden_signal
warm_25+,IF_C,9002,SSG,11,14,228.0,207,56,11,0,8,13,0,5,33,91,32,30.0,4.0,0.27053140096618356,0.30666666666666664,0.4396135265700483,0.7462801932367149,0.16908212560386476,0.05701754385964912,0.14473684210526316,0.03508771929824561,0.14035087719298245,0.13157894736842105,temp_bucket,role_group,6.0,10.0,3.0,4.0,10.0,3.0,2.0,6.0,1.0,10,contextual_weakness
away,OF_1-2_table_setters,9002,SSG,10,4,50.0,49,9,1,0,1,0,0,1,10,13,3,5.0,0.0,0.1836734693877551,0.18,0.2653061224489796,0.4453061224489796,0.0816326530612245,0.0,0.2,0.02,0.06,0.1,home_away,role_group,10.0,10.0,10.0,8.0,10.0,5.0,10.0,6.0,8.0,10,contextual_weakness
home,OF_1-2_table_setters,9002,SSG,11,4,53.0,50,14,0,0,3,2,0,1,11,23,8,10.0,1.0,0.28,0.3018867924528302,0.46,0.7618867924528302,0.18,0.03773584905660377,0.20754716981132076,0.05660377358490566,0.1509433962264151,0.18867924528301888,home_away,role_group,4.0,8.0,3.0,1.0,10.0,1.0,5.0,1.0,8.0,10,contextual_weakness
dry_<=40,OF_1-2_table_setters,9002,SSG,8,4,39.0,37,7,0,0,2,2,0,0,7,13,4,7.0,0.0,0.1891891891891892,0.23076923076923078,0.35135135135135137,0.5821205821205822,0.16216216216216217,0.05128205128205128,0.1794871794871795,0.05128205128205128,0.10256410256410256,0.1794871794871795,humidity_bucket,role_group,9.0,9.0,7.0,3.0,7.0,1.0,8.0,1.0,5.0,10,power_without_full_run_value+contextual_weakness
normal_40_60,OF_1-2_table_setters,9002,SSG,11,4,54.0,52,13,0,0,2,0,0,2,12,19,6,7.0,1.0,0.25,0.24074074074074073,0.36538461538461536,0.6061253561253561,0.11538461538461536,0.0,0.2222222222222222,0.037037037037037035,0.1111111111111111,0.12962962962962962,humidity_bucket,role_group,10.0,10.0,8.0,5.0,10.0,1.0,6.0,2.0,10.0,10,contextual_weakness
0,OF_1-2_table_setters,9002,SSG,13,5,65.0,62,16,0,0,3,1,0,2,10,25,8,9.0,1.0,0.25806451612903225,0.26153846153846155,0.4032258064516129,0.6647642679900745,0.14516129032258063,0.015384615384615385,0.15384615384615385,0.046153846153846156,0.12307692307692308,0.13846153846153847,is_weekend,role_group,8.0,10.0,7.0,3.0,10.0,1.0,7.0,2.0,5.0,10,power_without_full_run_value+contextual_weakness
1,OF_1-2_table_setters,9002,SSG,8,3,38.0,37,7,1,0,1,1,0,0,11,11,3,6.0,0.0,0.1891891891891892,0.21052631578947367,0.2972972972972973,0.507823613086771,0.10810810810810811,0.02631578947368421,0.2894736842105263,0.02631578947368421,0.07894736842105263,0.15789473684210525,is_weekend,role_group,10.0,10.0,9.0,7.0,10.0,4.0,10.0,1.0,10.0,10,contextual_weakness
03,OF_1-2_table_setters,9002,SSG,3,2,15.0,14,4,0,0,2,1,0,0,4,10,4,5.0,0.0,0.2857142857142857,0.3333333333333333,0.7142857142857143,1.0476190476190477,0.4285714285714286,0.06666666666666667,0.26666666666666666,0.13333333333333333,0.26666666666666666,0.3333333333333333,month,role_group,2.0,7.0,1.0,1.0,8.0,1.0,2.0,1.0,9.0,10,contextual_weakness
04,OF_1-2_table_setters,9002,SSG,15,5,72.0,71,16,1,0,2,0,0,1,16,23,5,9.0,0.0,0.22535211267605634,0.2222222222222222,0.323943661971831,0.5461658841940532,0.09859154929577466,0.0,0.2222222222222222,0.027777777777777776,0.06944444444444445,0.125,month,role_group,9.0,9.0,7.0,7.0,9.0,2.0,10.0,2.0,9.0,10,contextual_weakness
LG,OF_1-2_table_setters,9002,SSG,4,3,18.0,18,2,0,0,0,0,0,0,4,2,0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.0,0.0,0.2222222222222222,0.0,0.0,0.0,opponent_name,role_group,9.0,9.0,9.0,8.0,9.0,4.0,9.0,9.0,8.0,9,contextual_weakness
롯데,OF_1-2_table_setters,9002,SSG,4,3,23.0,21,4,1,0,1,1,0,1,3,8,3,4.0,0.0,0.19047619047619047,0.21739130434782608,0.38095238095238093,0.598343685300207,0.19047619047619047,0.043478260869565216,0.13043478260869565,0.043478260869565216,0.13043478260869565,0.17391304347826086,opponent_name,role_group,8.0,8.0,5.0,3.0,8.0,2.0,5.0,3.0,2.0,9,power_without_full_run_value+contextual_weakness
키움,OF_1-2_table_setters,9002,SSG,4,3,20.0,19,8,0,0,1,0,0,1,4,11,4,5.0,1.0,0.42105263157894735,0.4,0.5789473684210527,0.9789473684210527,0.1578947368421053,0.0,0.2,0.05,0.2,0.25,opponent_name,role_group,2.0,5.0,2.0,4.0,9.0,1.0,1.0,1.0,8.0,9,contextual_weakness
back_to_back,OF_1-2_table_setters,9002,SSG,16,4,79.0,75,17,1,0,3,2,0,2,16,27,8,13.0,1.0,0.22666666666666666,0.24050632911392406,0.36,0.6005063291139241,0.13333333333333333,0.02531645569620253,0.20253164556962025,0.0379746835443038,0.10126582278481013,0.16455696202531644,rest_bucket,role_group,10.0,10.0,8.0,4.0,10.0,2.0,10.0,1.0,8.0,10,contextual_weakness
one_day_rest,OF_1-2_table_setters,9002,SSG,4,4,19.0,19,5,0,0,1,0,0,0,4,8,3,1.0,0.0,0.2631578947368421,0.2631578947368421,0.42105263157894735,0.6842105263157894,0.15789473684210525,0.0,0.21052631578947367,0.05263157894736842,0.15789473684210525,0.05263157894736842,rest_bucket,role_group,9.0,9.0,4.0,4.0,9.0,1.0,3.0,10.0,8.0,10,contextual_weakness
cold_<=15,OF_1-2_table_setters,9002,SSG,5,4,24.0,24,8,0,0,1,0,0,0,5,11,2,4.0,0.0,0.3333333333333333,0.3333333333333333,0.4583333333333333,0.7916666666666666,0.125,0.0,0.20833333333333334,0.041666666666666664,0.08333333333333333,0.16666666666666666,temp_bucket,role_group,3.0,5.0,3.0,4.0,9.0,2.0,9.0,3.0,8.0,10,contextual_weakness
cool_15_20,OF_1-2_table_setters,9002,SSG,9,3,45.0,43,8,1,0,3,1,0,1,11,18,6,9.0,0.0,0.18604651162790697,0.2,0.4186046511627907,0.6186046511627907,0.23255813953488375,0.022222222222222223,0.24444444444444444,0.06666666666666667,0.13333333333333333,0.2,temp_bucket,role_group,9.0,10.0,4.0,1.0,10.0,1.0,8.0,1.0,9.0,10,power_without_full_run_value+contextual_weakness
mild_20_25,OF_1-2_table_setters,9002,SSG,5,3,24.0,23,4,0,0,0,1,0,0,4,4,2,1.0,0.0,0.17391304347826086,0.20833333333333334,0.17391304347826086,0.38224637681159424,0.0,0.041666666666666664,0.16666666666666666,0.0,0.08333333333333333,0.041666666666666664,temp_bucket,role_group,10.0,10.0,10.0,10.0,9.0,9.0,10.0,10.0,4.0,10,contextual_weakness
wind_1_3,OF_1-2_table_setters,9002,SSG,14,4,65.0,62,12,1,0,1,2,0,1,15,16,5,7.0,1.0,0.1935483870967742,0.2153846153846154,0.25806451612903225,0.47344913151364765,0.06451612903225806,0.03076923076923077,0.23076923076923078,0.015384615384615385,0.07692307692307693,0.1076923076923077,wind_bucket,role_group,10.0,10.0,10.0,9.0,10.0,6.0,10.0,7.0,9.0,10,contextual_weakness
wind_3+,OF_1-2_table_setters,9002,SSG,5,5,28.0,27,7,0,0,1,0,0,1,5,10,1,6.0,0.0,0.25925925925925924,0.25,0.37037037037037035,0.6203703703703703,0.1111111111111111,0.0,0.17857142857142858,0.03571428571428571,0.03571428571428571,0.21428571428571427,wind_bucket,role_group,7.0,10.0,6.0,5.0,10.0,2.0,10.0,1.0,6.0,10,contextual_weakness
away,OF_3-5_run_production,9002,SSG,26,7,138.0,118,34,6,0,3,13,3,4,22,49,17,22.0,2.0,0.288135593220339,0.36231884057971014,0.4152542372881356,0.7775730778678458,0.1271186440677966,0.09420289855072464,0.15942028985507245,0.021739130434782608,0.12318840579710146,0.15942028985507245,home_away,role_group,8.0,5.0,8.0,8.0,5.0,8.0,8.0,5.0,4.0,10,contextual_weakness
home,OF_3-5_run_production,9002,SSG,23,8,139.0,120,25,2,0,4,16,3,0,32,39,10,19.0,0.0,0.20833333333333334,0.31654676258992803,0.325,0.641546762589928,0.11666666666666667,0.11510791366906475,0.2302158273381295,0.02877697841726619,0.07194244604316546,0.1366906474820144,home_away,role_group,9.0,9.0,9.0,8.0,5.0,5.0,10.0,6.0,7.0,10,contextual_weakness
dry_<=40,OF_3-5_run_production,9002,SSG,21,8,121.0,103,26,4,0,3,14,3,1,20,39,12,13.0,1.0,0.2524271844660194,0.35537190082644626,0.3786407766990291,0.7340126775254754,0.1262135922330097,0.11570247933884298,0.1652892561983471,0.024793388429752067,0.09917355371900827,0.10743801652892562,humidity_bucket,role_group,9.0,7.0,10.0,9.0,5.0,8.0,8.0,8.0,6.0,10,contextual_weakness
humid_60+,OF_3-5_run_production,9002,SSG,10,4,64.0,56,7,2,0,0,6,1,1,10,9,3,3.0,0.0,0.125,0.21875,0.16071428571428573,0.3794642857142857,0.035714285714285726,0.09375,0.15625,0.0,0.046875,0.046875,humidity_bucket,role_group,9.0,10.0,9.0,8.0,6.0,7.0,10.0,9.0,3.0,10,contextual_weakness
normal_40_60,OF_3-5_run_production,9002,SSG,18,6,92.0,79,26,2,0,4,9,2,2,24,40,12,25.0,1.0,0.3291139240506329,0.40217391304347827,0.5063291139240507,0.9085030269675289,0.17721518987341778,0.09782608695652174,0.2608695652173913,0.043478260869565216,0.13043478260869565,0.2717391304347826,humidity_bucket,role_group,3.0,2.0,3.0,4.0,3.0,2.0,8.0,1.0,9.0,10,contextual_weakness
0,OF_3-5_run_production,9002,SSG,32,8,187.0,164,38,7,0,4,17,3,3,36,57,19,29.0,2.0,0.23170731707317074,0.31016042780748665,0.3475609756097561,0.6577214034172427,0.11585365853658533,0.09090909090909091,0.1925133689839572,0.0213903743315508,0.10160427807486631,0.15508021390374332,is_weekend,role_group,8.0,8.0,8.0,8.0,7.0,5.0,8.0,3.0,6.0,10,contextual_weakness
1,OF_3-5_run_production,9002,SSG,17,7,90.0,74,21,1,0,3,12,3,1,18,31,8,12.0,0.0,0.28378378378378377,0.4,0.4189189189189189,0.818918918918919,0.13513513513513514,0.13333333333333333,0.2,0.03333333333333333,0.08888888888888889,0.13333333333333333,is_weekend,role_group,7.0,6.0,8.0,9.0,3.0,6.0,10.0,7.0,6.0,10,contextual_weakness+walks_not_converting_to_damage
04,OF_3-5_run_production,9002,SSG,15,5,67.0,55,13,3,0,1,8,2,2,12,19,6,10.0,1.0,0.23636363636363636,0.34328358208955223,0.34545454545454546,0.6887381275440977,0.1090909090909091,0.11940298507462686,0.1791044776119403,0.014925373134328358,0.08955223880597014,0.14925373134328357,month,role_group,8.0,6.0,9.0,10.0,5.0,9.0,9.0,6.0,5.0,10,contextual_weakness
05,OF_3-5_run_production,9002,SSG,26,7,158.0,140,34,5,0,3,13,3,2,33,48,14,21.0,0.0,0.24285714285714285,0.31645569620253167,0.34285714285714286,0.6593128390596745,0.1,0.08227848101265822,0.2088607594936709,0.0189873417721519,0.08860759493670886,0.13291139240506328,month,role_group,10.0,8.0,9.0,9.0,8.0,8.0,10.0,5.0,7.0,10,contextual_weakness
06,OF_3-5_run_production,9002,SSG,8,5,52.0,43,12,0,0,3,8,1,0,9,21,7,10.0,1.0,0.27906976744186046,0.40384615384615385,0.4883720930232558,0.8922182468694096,0.20930232558139533,0.15384615384615385,0.17307692307692307,0.057692307692307696,0.1346153846153846,0.19230769230769232,month,role_group,5.0,5.0,4.0,3.0,4.0,1.0,3.0,2.0,7.0,10,power_without_full_run_value
KIA,OF_3-5_run_production,9002,SSG,3,2,16.0,15,4,0,0,0,1,0,0,4,4,0,2.0,0.0,0.26666666666666666,0.3125,0.26666666666666666,0.5791666666666666,0.0,0.0625,0.25,0.0,0.0,0.125,opponent_name,role_group,9.0,7.0,9.0,9.0,7.0,7.0,8.0,5.0,8.0,9,contextual_weakness
NC,OF_3-5_run_production,9002,SSG,4,3,21.0,20,2,1,0,0,1,0,0,6,3,1,2.0,0.0,0.1,0.14285714285714285,0.15,0.2928571428571428,0.04999999999999999,0.047619047619047616,0.2857142857142857,0.0,0.047619047619047616,0.09523809523809523,opponent_name,role_group,9.0,9.0,8.0,8.0,7.0,6.0,8.0,6.0,6.0,9,contextual_weakness
삼성,OF_3-5_run_production,9002,SSG,5,4,33.0,28,6,2,0,1,3,1,1,4,11,2,4.0,1.0,0.21428571428571427,0.30303030303030304,0.39285714285714285,0.6958874458874459,0.17857142857142858,0.09090909090909091,0.12121212121212122,0.030303030303030304,0.06060606060606061,0.12121212121212122,opponent_name,role_group,6.0,7.0,5.0,2.0,5.0,4.0,7.0,5.0,3.0,9,power_without_full_run_value
키움,OF_3-5_run_production,9002,SSG,6,2,35.0,31,5,2,0,2,3,0,1,6,13,4,5.0,0.0,0.16129032258064516,0.22857142857142856,0.41935483870967744,0.647926267281106,0.25806451612903225,0.08571428571428572,0.17142857142857143,0.05714285714285714,0.11428571428571428,0.14285714285714285,opponent_name,role_group,6.0,7.0,4.0,1.0,5.0,1.0,4.0,1.0,5.0,9,power_without_full_run_value
한화,OF_3-5_run_production,9002,SSG,7,5,38.0,29,5,1,0,0,6,2,1,6,6,4,5.0,0.0,0.1724137931034483,0.34210526315789475,0.20689655172413793,0.5490018148820327,0.03448275862068964,0.15789473684210525,0.15789473684210525,0.0,0.10526315789473684,0.13157894736842105,opponent_name,role_group,7.0,6.0,8.0,6.0,2.0,3.0,5.0,5.0,5.0,9,contextual_weakness+walks_not_converting_to_damage
back_to_back,OF_3-5_run_production,9002,SSG,40,8,230.0,197,52,6,0,6,24,5,4,47,76,24,36.0,2.0,0.2639593908629442,0.3521739130434783,0.38578680203045684,0.7379607150739351,0.12182741116751267,0.10434782608695652,0.20434782608695654,0.02608695652173913,0.10434782608695652,0.1565217391304348,rest_bucket,role_group,8.0,7.0,9.0,9.0,4.0,6.0,9.0,4.0,7.0,10,contextual_weakness
one_day_rest,OF_3-5_run_production,9002,SSG,8,3,39.0,35,6,2,0,1,4,0,0,6,11,2,5.0,0.0,0.17142857142857143,0.2564102564102564,0.3142857142857143,0.5706959706959707,0.14285714285714285,0.10256410256410256,0.15384615384615385,0.02564102564102564,0.05128205128205128,0.1282051282051282,rest_bucket,role_group,9.0,10.0,9.0,5.0,6.0,4.0,10.0,7.0,4.0,10,contextual_weakness
mild_20_25,OF_3-5_run_production,9002,SSG,25,8,137.0,117,28,2,0,3,15,4,1,29,39,9,19.0,1.0,0.23931623931623933,0.34306569343065696,0.3333333333333333,0.6763990267639903,0.09401709401709399,0.10948905109489052,0.2116788321167883,0.021897810218978103,0.06569343065693431,0.1386861313868613,temp_bucket,role_group,9.0,5.0,9.0,9.0,3.0,7.0,10.0,5.0,7.0,10,contextual_weakness+walks_not_converting_to_damage
warm_25+,OF_3-5_run_production,9002,SSG,11,5,70.0,61,16,1,0,3,8,1,0,12,26,9,11.0,0.0,0.26229508196721313,0.35714285714285715,0.4262295081967213,0.7833723653395784,0.16393442622950816,0.11428571428571428,0.17142857142857143,0.04285714285714286,0.12857142857142856,0.15714285714285714,temp_bucket,role_group,8.0,8.0,8.0,6.0,4.0,2.0,7.0,5.0,8.0,10,contextual_weakness
wind_1_3,OF_3-5_run_production,9002,SSG,33,8,181.0,161,36,6,0,5,17,2,1,37,57,17,21.0,1.0,0.2236024844720497,0.30386740331491713,0.35403726708074534,0.6579046703956625,0.13043478260869565,0.09392265193370165,0.20441988950276244,0.027624309392265192,0.09392265193370165,0.11602209944751381,wind_bucket,role_group,10.0,10.0,9.0,9.0,6.0,7.0,9.0,8.0,7.0,10,contextual_weakness
home,OF_6-9_lower_lineup,9002,SSG,29,8,179.0,158,36,5,0,9,20,1,0,31,68,27,19.0,6.0,0.22784810126582278,0.31843575418994413,0.43037974683544306,0.7488155010253872,0.20253164556962028,0.11173184357541899,0.17318435754189945,0.05027932960893855,0.15083798882681565,0.10614525139664804,home_away,role_group,5.0,8.0,3.0,2.0,5.0,2.0,5.0,6.0,2.0,10,power_without_full_run_value+contextual_weakness
normal_40_60,OF_6-9_lower_lineup,9002,SSG,25,8,181.0,159,40,8,2,7,18,2,2,32,73,38,31.0,7.0,0.25157232704402516,0.3314917127071823,0.4591194968553459,0.7906112095625282,0.20754716981132076,0.09944751381215469,0.17679558011049723,0.03867403314917127,0.20994475138121546,0.1712707182320442,humidity_bucket,role_group,5.0,8.0,5.0,3.0,6.0,2.0,3.0,1.0,4.0,10,power_without_full_run_value+contextual_weakness
04,OF_6-9_lower_lineup,9002,SSG,23,7,175.0,151,38,7,1,5,16,4,3,36,62,31,26.0,3.0,0.25165562913907286,0.3333333333333333,0.4105960264900662,0.7439293598233996,0.15894039735099336,0.09142857142857143,0.2057142857142857,0.02857142857142857,0.17714285714285713,0.14857142857142858,month,role_group,5.0,6.0,5.0,3.0,3.0,2.0,1.0,3.0,7.0,10,power_without_full_run_value
삼성,OF_6-9_lower_lineup,9002,SSG,4,4,23.0,22,4,2,0,0,1,0,0,5,6,3,2.0,0.0,0.18181818181818182,0.21739130434782608,0.2727272727272727,0.49011857707509876,0.09090909090909088,0.043478260869565216,0.21739130434782608,0.0,0.13043478260869565,0.08695652173913043,opponent_name,role_group,8.0,8.0,7.0,2.0,5.0,3.0,3.0,2.0,6.0,8,power_without_full_run_value+contextual_weakness
키움,OF_6-9_lower_lineup,9002,SSG,9,6,55.0,52,11,2,1,3,3,0,0,9,24,8,5.0,1.0,0.21153846153846154,0.2545454545454545,0.46153846153846156,0.7160839160839161,0.25,0.05454545454545454,0.16363636363636364,0.05454545454545454,0.14545454545454545,0.09090909090909091,opponent_name,role_group,6.0,6.0,5.0,3.0,5.0,3.0,5.0,6.0,4.0,9,power_without_full_run_value
한화,OF_6-9_lower_lineup,9002,SSG,8,6,59.0,53,12,1,2,0,4,1,1,9,17,8,4.0,1.0,0.22641509433962265,0.288135593220339,0.32075471698113206,0.6088903102014711,0.09433962264150941,0.06779661016949153,0.15254237288135594,0.0,0.13559322033898305,0.06779661016949153,opponent_name,role_group,8.0,8.0,6.0,5.0,7.0,4.0,5.0,7.0,3.0,9,contextual_weakness
cold_<=15,OF_6-9_lower_lineup,9002,SSG,7,6,49.0,43,8,1,0,2,4,1,0,11,15,5,3.0,0.0,0.18604651162790697,0.2708333333333333,0.3488372093023256,0.6196705426356589,0.16279069767441862,0.08163265306122448,0.22448979591836735,0.04081632653061224,0.10204081632653061,0.061224489795918366,temp_bucket,role_group,5.0,7.0,4.0,1.0,6.0,1.0,5.0,5.0,4.0,9,power_without_full_run_value
mild_20_25,OF_6-9_lower_lineup,9002,SSG,26,8,168.0,151,37,8,1,7,14,1,2,33,68,27,21.0,6.0,0.24503311258278146,0.30952380952380953,0.4503311258278146,0.7598549353516242,0.20529801324503313,0.08333333333333333,0.19642857142857142,0.041666666666666664,0.16071428571428573,0.125,temp_bucket,role_group,4.0,9.0,2.0,2.0,6.0,2.0,2.0,3.0,5.0,10,contextual_weakness
wind_1_3,OF_6-9_lower_lineup,9002,SSG,38,8,256.0,225,49,8,2,7,25,2,4,45,82,32,28.0,8.0,0.21777777777777776,0.296875,0.36444444444444446,0.6613194444444445,0.1466666666666667,0.09765625,0.17578125,0.02734375,0.125,0.109375,wind_bucket,role_group,6.0,9.0,5.0,2.0,3.0,2.0,5.0,3.0,3.0,10,power_without_full_run_value+contextual_weakness
dry_<=40,PH,9002,SSG,12,10,15.0,12,0,0,0,0,3,0,0,4,0,0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.2,0.26666666666666666,0.0,0.0,0.0,humidity_bucket,role_group,10.0,8.0,10.0,7.0,2.0,3.0,9.0,7.0,5.0,10,contextual_weakness+walks_not_converting_to_damage
normal_40_60,PH,9002,SSG,9,9,16.0,14,3,1,0,0,2,0,0,4,4,0,1.0,1.0,0.21428571428571427,0.3125,0.2857142857142857,0.5982142857142857,0.07142857142857142,0.125,0.25,0.0,0.0,0.0625,humidity_bucket,role_group,5.0,7.0,5.0,3.0,4.0,3.0,3.0,9.0,4.0,10,power_without_full_run_value
04,PH,9002,SSG,11,9,17.0,13,2,1,0,0,4,0,0,4,3,0,1.0,0.0,0.15384615384615385,0.35294117647058826,0.23076923076923078,0.583710407239819,0.07692307692307693,0.23529411764705882,0.23529411764705882,0.0,0.0,0.058823529411764705,month,role_group,5.0,5.0,8.0,5.0,1.0,3.0,5.0,7.0,3.0,10,contextual_weakness
wind_1_3,PH,9002,SSG,19,13,29.0,24,3,1,0,0,5,0,0,8,4,0,1.0,1.0,0.125,0.27586206896551724,0.16666666666666666,0.44252873563218387,0.04166666666666666,0.1724137931034483,0.27586206896551724,0.0,0.0,0.034482758620689655,wind_bucket,role_group,8.0,8.0,7.0,6.0,2.0,5.0,8.0,10.0,6.0,10,contextual_weakness+walks_not_converting_to_damage
