year,t_code,t_code_name,split_value,games,players,pa,ab,h,doubles,triples,hr,bb,hbp,sf,so,tb,r,rbi,sb,avg,obp,slg,ops,iso,bb_pct,k_pct,split_type,pa_rank,r_rank,rbi_rank,hr_rank,avg_rank,obp_rank,slg_rank,ops_rank,iso_rank,bb_pct_rank,k_pct_rank,team_count_in_split
2023,7002,한화,6-9_lower_lineup,144,30,2342.0,2035,476,84,5,21,202,48,15,479,633,230,185.0,40.0,0.2339066339066339,0.31565217391304345,0.31105651105651105,0.6267086849695545,0.07714987714987714,0.08625106746370624,0.20452604611443212,lineup_group,5.0,8.0,10.0,9.0,10.0,7.0,9.0,9.0,9.0,6.0,8.0,10
2023,10001,키움,6-9_lower_lineup,144,33,2387.0,2120,497,76,12,20,179,36,19,552,657,195,195.0,8.0,0.23443396226415095,0.30246389124893797,0.3099056603773585,0.6123695516262965,0.07547169811320756,0.07498952660242983,0.23125261834939254,lineup_group,1.0,10.0,9.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10
2023,2002,KIA,bench_or_pinch,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,lineup_group,1.0,1.0,1.0,1.0,,,,,,,,3
2023,12001,KT,bench_or_pinch,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,lineup_group,1.0,1.0,1.0,1.0,,,,,,,,3
2023,9002,SSG,bench_or_pinch,2,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,lineup_group,1.0,1.0,1.0,1.0,,,,,,,,3
2023,5002,LG,OF_1-2_table_setters,144,8,1109.0,934,290,50,4,5,130,22,8,131,363,170,104.0,43.0,0.31049250535331907,0.4040219378427788,0.3886509635974304,0.7926729014402092,0.07815845824411133,0.11722272317403065,0.11812443642921551,of_lineup_group,1.0,1.0,1.0,4.0,1.0,1.0,3.0,1.0,6.0,1.0,1.0,10
2023,11001,NC,OF_1-2_table_setters,60,7,315.0,283,84,21,0,4,25,5,0,49,117,49,26.0,7.0,0.2968197879858657,0.36421725239616615,0.4134275618374558,0.777644814233622,0.1166077738515901,0.07936507936507936,0.15555555555555556,of_lineup_group,9.0,9.0,9.0,5.0,3.0,2.0,1.0,2.0,1.0,6.0,6.0,10
2023,1001,삼성,OF_1-2_table_setters,124,10,774.0,697,213,29,9,7,47,12,9,111,281,107,85.0,23.0,0.30559540889526543,0.35555555555555557,0.4031563845050215,0.7587119400605771,0.09756097560975607,0.060723514211886306,0.1434108527131783,of_lineup_group,4.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,4.0,10.0,4.0,10
2023,9002,SSG,OF_1-2_table_setters,115,10,653.0,583,158,29,7,6,51,7,4,78,219,90,44.0,21.0,0.27101200686106347,0.33488372093023255,0.37564322469982847,0.710526945630061,0.104631217838765,0.0781010719754977,0.11944869831546708,of_lineup_group,6.0,6.0,7.0,3.0,4.0,7.0,4.0,4.0,3.0,7.0,2.0,10
2023,7002,한화,OF_1-2_table_setters,117,11,622.0,534,132,28,2,8,69,7,9,163,188,73,66.0,11.0,0.24719101123595505,0.3360258481421648,0.352059925093633,0.6880857732357978,0.10486891385767794,0.11093247588424437,0.2620578778135048,of_lineup_group,8.0,8.0,4.0,1.0,9.0,6.0,5.0,5.0,2.0,2.0,10.0,10
