path,source_group,extension,size_bytes,size_mb,row_count_estimate,sha256_1mb_prefix,git_tracked,git_ignored_or_untracked,publish_policy,note
data/processed/mlb_milb/savant/savant_statcast_2023.parquet,Baseball Savant/Statcast,parquet,95277400,90.864,0,6b8c335ce946afc7,False,True,large_or_regenerable,"Large generated/downloaded file; use Git LFS, Release, or shared drive if raw access is required."
data/processed/mlb_milb/savant/savant_statcast_2024.parquet,Baseball Savant/Statcast,parquet,103609888,98.81,0,b0b28248a2547f32,False,True,large_or_regenerable,"Large generated/downloaded file; use Git LFS, Release, or shared drive if raw access is required."
data/processed/mlb_milb/savant/savant_statcast_2025.parquet,Baseball Savant/Statcast,parquet,104908654,100.049,0,3fcec28115856670,False,True,large_or_regenerable,"Large generated/downloaded file; use Git LFS, Release, or shared drive if raw access is required."
data/processed/mlb_milb/savant/savant_statcast_2026.parquet,Baseball Savant/Statcast,parquet,42968434,40.978,0,1be61fe3928fc4cf,False,True,large_or_regenerable,"Large generated/downloaded file; use Git LFS, Release, or shared drive if raw access is required."
data/raw/articles/naver_news/ssg_need_news_manifest.json,Naver News Search API,json,951,0.001,,550802591ae580b4,False,True,do_not_public_git,API-derived news metadata/raw snippets; share privately or regenerate with authorized key.
data/raw/articles/naver_news/ssg_need_news_metadata.csv,Naver News Search API,csv,4652628,4.437,7884,618dc6c391b3954e,False,True,do_not_public_git,API-derived news metadata/raw snippets; share privately or regenerate with authorized key.
data/raw/articles/naver_news/ssg_need_news_raw.jsonl,Naver News Search API,jsonl,5656234,5.394,7884,67f742a4aa599510,False,True,do_not_public_git,API-derived news metadata/raw snippets; share privately or regenerate with authorized key.
data/raw/articles/naver_news_pitching/ssg_need_news_manifest.json,Naver News Search API,json,705,0.001,,493239a208c64c18,False,True,do_not_public_git,API-derived news metadata/raw snippets; share privately or regenerate with authorized key.
data/raw/articles/naver_news_pitching/ssg_need_news_metadata.csv,Naver News Search API,csv,2284546,2.179,3822,24dc46b933bda2fd,False,True,do_not_public_git,API-derived news metadata/raw snippets; share privately or regenerate with authorized key.
data/raw/articles/naver_news_pitching/ssg_need_news_raw.jsonl,Naver News Search API,jsonl,2771972,2.644,3822,ec0b4aed0b11ad08,False,True,do_not_public_git,API-derived news metadata/raw snippets; share privately or regenerate with authorized key.
data/raw/asian_market_rosters/asian_market_roster_manifest_v1.json,NPB/CPBL official roster collection,json,574,0.001,,00ba770c25a13ba9,False,True,private_or_regenerate,"Not tracked in public repo; use source log, scripts, or shared drive."
data/raw/kbo/statiz/live_delta_20260611_from_api_v1/feature/core/games_labels.csv,STATIZ API/local KBO snapshot,csv,247185,0.236,2949,fb55a0cd9002ed6c,False,True,do_not_public_git,Contest/API-derived STATIZ data; share privately or regenerate with authorized key.
data/raw/kbo/statiz/live_delta_20260611_from_api_v1/feature/core/games_lineup_starters.csv,STATIZ API/local KBO snapshot,csv,4176329,3.983,55148,a2292d90d89428bb,False,True,do_not_public_git,Contest/API-derived STATIZ data; share privately or regenerate with authorized key.
data/raw/kbo/statiz/live_delta_20260611_from_api_v1/feature/core/games_pregame_base.csv,STATIZ API/local KBO snapshot,csv,531553,0.507,2644,c321a8920d02aff8,False,True,do_not_public_git,Contest/API-derived STATIZ data; share privately or regenerate with authorized key.
data/raw/kbo/statiz/live_delta_20260611_from_api_v1/feature/core/games_starting_pitcher_recent_form.csv,STATIZ API/local KBO snapshot,csv,269420,0.257,2644,99538fb608dd7f8d,False,True,do_not_public_git,Contest/API-derived STATIZ data; share privately or regenerate with authorized key.
data/raw/kbo/statiz/live_delta_20260611_from_api_v1/feature/core/games_team_recent_form.csv,STATIZ API/local KBO snapshot,csv,283597,0.27,2644,e87ba4dedb680fa5,False,True,do_not_public_git,Contest/API-derived STATIZ data; share privately or regenerate with authorized key.
data/raw/kbo/statiz/live_delta_20260611_from_api_v1/feature/core/players_batter_season_profile.csv,STATIZ API/local KBO snapshot,csv,139000,0.133,895,71fbfb7b70a403d5,False,True,do_not_public_git,Contest/API-derived STATIZ data; share privately or regenerate with authorized key.
data/raw/kbo/statiz/live_delta_20260611_from_api_v1/feature/core/players_pitcher_season_profile.csv,STATIZ API/local KBO snapshot,csv,109953,0.105,863,39cb2de5b0bfe3ca,False,True,do_not_public_git,Contest/API-derived STATIZ data; share privately or regenerate with authorized key.
data/raw/kbo/statiz/live_delta_20260611_from_api_v1/feature/core/teams_season_strength.csv,STATIZ API/local KBO snapshot,csv,5674,0.005,30,f7a45ad0a79fdd7a,False,True,do_not_public_git,Contest/API-derived STATIZ data; share privately or regenerate with authorized key.
data/raw/kbo/statiz/live_delta_20260611_from_api_v1/organized/games/games_boxscore_gameinfo.csv,STATIZ API/local KBO snapshot,csv,647327,0.617,2366,90f1d4462579816c,False,True,do_not_public_git,Contest/API-derived STATIZ data; share privately or regenerate with authorized key.
data/raw/kbo/statiz/live_delta_20260611_from_api_v1/organized/games/games_boxscore_inning_lines.csv,STATIZ API/local KBO snapshot,csv,1052939,1.004,42089,9a6959d0190a9adf,False,True,do_not_public_git,Contest/API-derived STATIZ data; share privately or regenerate with authorized key.
data/raw/kbo/statiz/live_delta_20260611_from_api_v1/organized/games/games_lineup.csv,STATIZ API/local KBO snapshot,csv,5461303,5.208,55190,5001f1765a0ba6a4,False,True,do_not_public_git,Contest/API-derived STATIZ data; share privately or regenerate with authorized key.
data/raw/kbo/statiz/live_delta_20260611_from_api_v1/organized/games/games_schedule.csv,STATIZ API/local KBO snapshot,csv,691603,0.66,2959,b01f63c23caa6144,False,True,do_not_public_git,Contest/API-derived STATIZ data; share privately or regenerate with authorized key.
data/raw/kbo/statiz/live_delta_20260611_from_api_v1/organized/players/players_day_batting.csv,STATIZ API/local KBO snapshot,csv,10709639,10.214,58647,dc8132dcf6142ef8,False,True,do_not_public_git,Contest/API-derived STATIZ data; share privately or regenerate with authorized key.
data/raw/kbo/statiz/live_delta_20260611_from_api_v1/organized/players/players_day_batting_2026_refetched.audit.json,STATIZ API/local KBO snapshot,json,366,0.0,,cb72999efa25edf7,False,True,do_not_public_git,Contest/API-derived STATIZ data; share privately or regenerate with authorized key.
data/raw/kbo/statiz/live_delta_20260611_from_api_v1/organized/players/players_day_batting_2026_refetched.csv,STATIZ API/local KBO snapshot,csv,1621556,1.546,7786,4c9ffabbae627d94,False,True,do_not_public_git,Contest/API-derived STATIZ data; share privately or regenerate with authorized key.
data/raw/kbo/statiz/live_delta_20260611_from_api_v1/organized/players/players_day_batting_2026_refetched.partial.csv,STATIZ API/local KBO snapshot,csv,1608374,1.534,7722,597c93ef456af66d,False,True,do_not_public_git,Contest/API-derived STATIZ data; share privately or regenerate with authorized key.
data/raw/kbo/statiz/live_delta_20260611_from_api_v1/organized/players/players_day_pitching.csv,STATIZ API/local KBO snapshot,csv,4190154,3.996,23202,56acb3cea2dee074,False,True,do_not_public_git,Contest/API-derived STATIZ data; share privately or regenerate with authorized key.
data/raw/kbo/statiz/live_delta_20260611_from_api_v1/organized/players/players_day_pitching_2026_ssg_refetched.audit.json,STATIZ API/local KBO snapshot,json,345,0.0,,d5987be7f004d8b8,False,True,do_not_public_git,Contest/API-derived STATIZ data; share privately or regenerate with authorized key.
data/raw/kbo/statiz/live_delta_20260611_from_api_v1/organized/players/players_day_pitching_2026_ssg_refetched.csv,STATIZ API/local KBO snapshot,csv,63506,0.061,310,d4a7dc4a8520bea5,False,True,do_not_public_git,Contest/API-derived STATIZ data; share privately or regenerate with authorized key.
data/raw/kbo/statiz/live_delta_20260611_from_api_v1/organized/players/players_roster_daily.csv,STATIZ API/local KBO snapshot,csv,8765484,8.359,168171,d91c58b76cc56df5,False,True,do_not_public_git,Contest/API-derived STATIZ data; share privately or regenerate with authorized key.
data/raw/kbo/statiz/live_delta_20260611_from_api_v1/organized/players/players_season_basic_batting.csv,STATIZ API/local KBO snapshot,csv,215600,0.206,906,980fe4727dd5a1e8,False,True,do_not_public_git,Contest/API-derived STATIZ data; share privately or regenerate with authorized key.
data/raw/kbo/statiz/live_delta_20260611_from_api_v1/organized/players/players_season_basic_pitching.csv,STATIZ API/local KBO snapshot,csv,178061,0.17,899,401ab7e98724ffcb,False,True,do_not_public_git,Contest/API-derived STATIZ data; share privately or regenerate with authorized key.
data/raw/kbo/statiz/live_delta_20260611_from_api_v1/organized/players/players_season_deepen_batting.csv,STATIZ API/local KBO snapshot,csv,72231,0.069,907,42461fd68337c422,False,True,do_not_public_git,Contest/API-derived STATIZ data; share privately or regenerate with authorized key.
data/raw/kbo/statiz/live_delta_20260611_from_api_v1/organized/players/players_season_deepen_pitching.csv,STATIZ API/local KBO snapshot,csv,80367,0.077,898,3fe1e6cac54a0521,False,True,do_not_public_git,Contest/API-derived STATIZ data; share privately or regenerate with authorized key.
data/raw/kbo/statiz/live_delta_20260611_from_api_v1/organized/players/players_season_fielding.csv,STATIZ API/local KBO snapshot,csv,79692,0.076,1913,53e39e03efa4da76,False,True,do_not_public_git,Contest/API-derived STATIZ data; share privately or regenerate with authorized key.
data/raw/kbo/statiz/live_delta_20260611_from_api_v1/organized/team_records/team_record_batting_situations_2026_refetched.audit.json,STATIZ API/local KBO snapshot,json,833,0.001,,0cc9b9d9c37ca47d,False,True,do_not_public_git,Contest/API-derived STATIZ data; share privately or regenerate with authorized key.
data/raw/kbo/statiz/live_delta_20260611_from_api_v1/organized/team_records/team_record_batting_situations_2026_refetched.csv,STATIZ API/local KBO snapshot,csv,98929,0.094,270,6cedd302a8a01be7,False,True,do_not_public_git,Contest/API-derived STATIZ data; share privately or regenerate with authorized key.
data/raw/kbo/statiz/live_delta_20260611_from_api_v1/organized/team_records/team_record_batting_situations_2026_refetched.raw.jsonl,STATIZ API/local KBO snapshot,jsonl,102329,0.098,27,54318896ce942097,False,True,do_not_public_git,Contest/API-derived STATIZ data; share privately or regenerate with authorized key.
data/raw/kbo/statiz/live_delta_20260611_from_api_v1/organized/team_records/team_record_pitching_situations_2026_refetched.audit.json,STATIZ API/local KBO snapshot,json,844,0.001,,cba3156d1902541b,False,True,do_not_public_git,Contest/API-derived STATIZ data; share privately or regenerate with authorized key.
data/raw/kbo/statiz/live_delta_20260611_from_api_v1/organized/team_records/team_record_pitching_situations_2026_refetched.csv,STATIZ API/local KBO snapshot,csv,95425,0.091,250,39cc8324d5b52cc9,False,True,do_not_public_git,Contest/API-derived STATIZ data; share privately or regenerate with authorized key.
data/raw/kbo/statiz/live_delta_20260611_from_api_v1/organized/team_records/team_record_pitching_situations_2026_refetched.raw.jsonl,STATIZ API/local KBO snapshot,jsonl,92695,0.088,27,ffde0873e58e9ca9,False,True,do_not_public_git,Contest/API-derived STATIZ data; share privately or regenerate with authorized key.
data/raw/mlb/milb_stats/milb_stats_research_plus_medical_20260614_002614.jsonl,MLB official/stats API,jsonl,15128121,14.427,4415,2e5d2bc7bfe66248,False,True,private_or_regenerate,"Not tracked in public repo; use source log, scripts, or shared drive."
data/raw/mlb/roster_status/mlb_roster_status_raw_20260612.json,MLB official/stats API,json,11098482,10.584,,bbbae14e77135845,False,True,private_or_regenerate,"Not tracked in public repo; use source log, scripts, or shared drive."
data/raw/mlb/transactions/mlb_transactions_raw_20251001_20260613.json,MLB official/stats API,json,4859716,4.635,,19e68d9a7dad8d9a,False,True,private_or_regenerate,"Not tracked in public repo; use source log, scripts, or shared drive."
data/raw/mlb_milb/savant/statcast_2026_probe/statcast_20260415_20260415.csv.gz,Baseball Savant/Statcast,gz,826813,0.789,,1c6d6e37544d1c58,False,True,large_or_regenerable,"Large generated/downloaded file; use Git LFS, Release, or shared drive if raw access is required."
data/raw/mlb_milb/savant/statcast_mlb/statcast_20220407_20220420.csv.gz,Baseball Savant/Statcast,gz,8942211,8.528,,bad69b9d8f685e80,False,True,large_or_regenerable,"Large generated/downloaded file; use Git LFS, Release, or shared drive if raw access is required."
data/raw/mlb_milb/savant/statcast_mlb/statcast_20220421_20220504.csv.gz,Baseball Savant/Statcast,gz,9258946,8.83,,9c97f3f4c8ed932c,False,True,large_or_regenerable,"Large generated/downloaded file; use Git LFS, Release, or shared drive if raw access is required."
data/raw/mlb_milb/savant/statcast_mlb/statcast_20220505_20220518.csv.gz,Baseball Savant/Statcast,gz,9445844,9.008,,b9ae23a017ca631b,False,True,large_or_regenerable,"Large generated/downloaded file; use Git LFS, Release, or shared drive if raw access is required."
data/raw/mlb_milb/savant/statcast_mlb/statcast_20220519_20220601.csv.gz,Baseball Savant/Statcast,gz,9533584,9.092,,8762aaa80677ba5d,False,True,large_or_regenerable,"Large generated/downloaded file; use Git LFS, Release, or shared drive if raw access is required."
data/raw/mlb_milb/savant/statcast_mlb/statcast_20220602_20220615.csv.gz,Baseball Savant/Statcast,gz,9573467,9.13,,15088ff271e60ce4,False,True,large_or_regenerable,"Large generated/downloaded file; use Git LFS, Release, or shared drive if raw access is required."
data/raw/mlb_milb/savant/statcast_mlb/statcast_20220616_20220629.csv.gz,Baseball Savant/Statcast,gz,9436163,8.999,,ce84ecd141e9ae68,False,True,large_or_regenerable,"Large generated/downloaded file; use Git LFS, Release, or shared drive if raw access is required."
data/raw/mlb_milb/savant/statcast_mlb/statcast_20220630_20220713.csv.gz,Baseball Savant/Statcast,gz,9722677,9.272,,48a6b208c4910e7a,False,True,large_or_regenerable,"Large generated/downloaded file; use Git LFS, Release, or shared drive if raw access is required."
