season,player_key,player_name,player_name_en,kbo_team,role_model_family,stat_group,player_id,success,failure,source_player_id,milb_stat_group,has_pre_kbo_milb,pre_kbo_milb_rows,pre_kbo_milb_latest_year,pre_kbo_milb_recent_rows,pre_kbo_milb_highest_level_score,pre_kbo_recent_highest_level_score,pre_kbo_aaa_rows,pre_kbo_aa_rows,pre_kbo_milb_pa,pre_kbo_milb_hr,pre_kbo_milb_ops,pre_kbo_milb_obp,pre_kbo_milb_slg,pre_kbo_milb_k_pct,pre_kbo_milb_bb_pct,pre_kbo_milb_ip,pre_kbo_milb_games,pre_kbo_milb_games_started,pre_kbo_milb_k9,pre_kbo_milb_bb9,pre_kbo_milb_hr9,pre_kbo_milb_era,pre_kbo_milb_whip
2024,에릭스타우트,에릭 스타우트,Eric Stout,KIA,pitcher,pitching,657770,0,1,657770,pitching,True,16,2023,4,100.0,100.0,4,0,,,,,,0.3057553956834532,0.14388489208633093,126.66666666666667,75.0,6.0,12.078947368421051,5.684210526315789,0.781578947368421,3.337447368421053,1.398157894736842
2024,엔마누엘데헤수스,엔마누엘 데 헤수스,Enmanuel Jose De Jesus,키움,pitcher,pitching,646241,1,0,646241,pitching,True,12,2023,3,100.0,100.0,2,0,,,,,,0.21266968325791855,0.1165158371040724,193.66666666666666,54.0,37.0,8.736660929432015,4.7865748709122204,0.9294320137693632,4.596609294320138,1.60433734939759
2024,엘리에이저에르난데스,엘리에이저 에르난데스,Elieser Hernández,LG,pitcher,pitching,622694,0,1,622694,pitching,True,22,2023,6,100.0,100.0,2,0,,,,,,0.2912280701754386,0.07368421052631578,68.33333333333333,22.0,17.0,10.93170731707317,2.7658536585365856,1.3170731707317074,3.823463414634147,1.1975121951219512
2024,제임스네일,제임스 네일,James Aubrey Naile,KIA,pitcher,pitching,664942,1,0,664942,pitching,True,15,2023,2,100.0,100.0,2,0,,,,,,0.2292768959435626,0.07407407407407407,132.33333333333334,75.0,6.0,8.841309823677582,2.856423173803526,0.7481108312342569,3.466045340050378,1.3755415617128461
2024,조던발라조빅,조던 발라조빅,Jordan Balazovic,두산,pitcher,pitching,666364,0,1,666364,pitching,True,9,2023,3,100.0,100.0,2,0,,,,,,0.2314487632508834,0.12190812720848057,118.33333333333333,45.0,24.0,9.96338028169014,5.2478873239436625,1.9774647887323944,6.770478873239437,1.8768732394366197
2024,찰리반즈,찰리 반즈,Charlie Barnes,롯데,pitcher,pitching,656212,1,0,656212,pitching,True,7,2021,0,100.0,100.0,2,1,,,,,,0.19494139420111042,0.08698334361505243,373.6666666666667,77.0,75.0,7.611061552185548,3.3960749330954503,0.6262265834076717,3.7082337198929523,1.3778322925958968
2024,카일하트,카일 하트,Kyle Patrick Hart,NC,pitcher,pitching,606996,1,0,606996,pitching,True,12,2023,5,100.0,100.0,4,1,,,,,,0.21693121693121692,0.09082892416225749,261.0,62.0,46.0,8.482758620689655,3.5517241379310347,1.1379310344827587,4.755185185185185,1.448786717752235
2024,캠알드레드,캠 알드레드,Cam Alldred,KIA,pitcher,pitching,682027,0,1,682027,pitching,True,6,2023,2,100.0,100.0,2,0,,,,,,0.21709633649932158,0.09633649932157395,172.0,73.0,19.0,8.372093023255815,3.7151162790697674,1.0988372093023255,4.764205426356589,1.37
2024,케이시켈리,케이시 켈리,Casey Patrick Kelly,LG,pitcher,pitching,543391,0,1,543391,pitching,True,16,2018,0,100.0,100.0,7,5,,,,,,0.18412205844323765,0.07292474786656322,900.0,185.0,166.0,7.12,2.82,0.87,4.170414814814815,1.3760111111111109
2024,코너시볼드,코너 시볼드,Connor Seabold,삼성,pitcher,pitching,657756,1,0,657756,pitching,True,11,2023,2,100.0,100.0,2,0,,,,,,0.2455795677799607,0.05304518664047151,118.0,27.0,27.0,9.533898305084746,2.059322033898305,0.7627118644067796,4.4219774011299435,1.2866666666666666
2024,하이메바리아,하이메 바리아,Jaime Barria,한화,pitcher,pitching,642545,0,0,642545,pitching,True,12,2021,0,100.0,100.0,4,1,,,,,,0.19188640973630833,0.043407707910750506,577.0,126.0,112.0,7.377816291161179,1.6689774696707105,0.8890814558058926,4.133131138070479,1.2975043327556326
