role_model_family,signal_type,rule,target,support_rows,total_role_rows,support_share,target_rate_inside_rule,role_base_target_rate,rate_delta_vs_role_base,lift_vs_role_base,permutation_p_value,signal_direction,semantic_alignment,rule_gate,release_policy,candidate_release_allowed,abs_rate_delta
hitter,two_family_interaction,hitter_contact_discipline_floor=high_top_tercile AND hitter_milb_surface_power=high_top_tercile,performance_exit_flag,4,22,0.18181818181818182,0.5,0.09090909090909091,0.40909090909090906,5.5,0.03792415169660679,risk_enrichment,counterintuitive_or_negative_control,watch_small_sample_signal,layer2_archetype_research_only_no_candidate_release,False,0.40909090909090906
hitter,single_family,hitter_quality_of_contact=low_bottom_tercile,performance_exit_flag,9,22,0.4090909090909091,0.0,0.09090909090909091,-0.09090909090909091,0.0,0.49101796407185627,risk_suppression,counterintuitive_or_negative_control,watch_small_sample_signal,layer2_archetype_research_only_no_candidate_release,False,0.09090909090909091
hitter,single_family,hitter_contact_discipline_floor=low_bottom_tercile,performance_exit_flag,8,22,0.36363636363636365,0.0,0.09090909090909091,-0.09090909090909091,0.0,0.47105788423153694,risk_suppression,counterintuitive_or_negative_control,watch_small_sample_signal,layer2_archetype_research_only_no_candidate_release,False,0.09090909090909091
hitter,single_family,hitter_quality_of_contact=high_top_tercile,performance_exit_flag,7,22,0.3181818181818182,0.0,0.09090909090909091,-0.09090909090909091,0.0,0.5409181636726547,risk_suppression,semantically_aligned,watch_small_sample_signal,layer2_archetype_research_only_no_candidate_release,False,0.09090909090909091
hitter,single_family,hitter_milb_surface_power=low_bottom_tercile,performance_exit_flag,7,22,0.3181818181818182,0.0,0.09090909090909091,-0.09090909090909091,0.0,0.5409181636726547,risk_suppression,counterintuitive_or_negative_control,watch_small_sample_signal,layer2_archetype_research_only_no_candidate_release,False,0.09090909090909091
hitter,single_family,hitter_track_continuity=high_top_tercile,performance_exit_flag,7,22,0.3181818181818182,0.0,0.09090909090909091,-0.09090909090909091,0.0,0.5768463073852296,risk_suppression,semantically_aligned,watch_small_sample_signal,layer2_archetype_research_only_no_candidate_release,False,0.09090909090909091
hitter,two_family_interaction,hitter_quality_of_contact=low_bottom_tercile AND hitter_contact_discipline_floor=low_bottom_tercile,performance_exit_flag,5,22,0.22727272727272727,0.0,0.09090909090909091,-0.09090909090909091,0.0,1.0,risk_suppression,counterintuitive_or_negative_control,watch_small_sample_signal,layer2_archetype_research_only_no_candidate_release,False,0.09090909090909091
hitter,two_family_interaction,hitter_contact_discipline_floor=low_bottom_tercile AND hitter_milb_surface_power=low_bottom_tercile,performance_exit_flag,5,22,0.22727272727272727,0.0,0.09090909090909091,-0.09090909090909091,0.0,1.0,risk_suppression,counterintuitive_or_negative_control,watch_small_sample_signal,layer2_archetype_research_only_no_candidate_release,False,0.09090909090909091
hitter,single_family,hitter_ssg_pilot_screen=low_bottom_tercile,performance_exit_flag,4,22,0.18181818181818182,0.0,0.09090909090909091,-0.09090909090909091,0.0,1.0,risk_suppression,counterintuitive_or_negative_control,watch_small_sample_signal,layer2_archetype_research_only_no_candidate_release,False,0.09090909090909091
hitter,two_family_interaction,hitter_quality_of_contact=low_bottom_tercile AND hitter_milb_surface_power=low_bottom_tercile,performance_exit_flag,4,22,0.18181818181818182,0.0,0.09090909090909091,-0.09090909090909091,0.0,1.0,risk_suppression,counterintuitive_or_negative_control,watch_small_sample_signal,layer2_archetype_research_only_no_candidate_release,False,0.09090909090909091
