context_value,p_no,p_name,games,players,pa,ab,h,doubles,triples,hr,bb,hbp,sf,so,tb,r,rbi,sb,avg,obp,slg,ops,iso,bb_pct,k_pct,hr_pa,r_pa,rbi_pa,context_type
home,15122,임근우,1,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,home_away
home,16318,최윤석,1,1,1.0,1,1,1,0,0,0,0,0,0,2,0,0.0,0.0,1.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,home_away
home,15121,석정우,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,,,,home_away
03,10106,최정,3,1,15.0,10,3,1,0,0,3,1,1,2,4,2,1.0,0.0,0.3,0.4666666666666667,0.4,0.8666666666666667,0.10000000000000003,0.2,0.13333333333333333,0.0,0.13333333333333333,0.06666666666666667,month
03,12922,박성한,3,1,15.0,9,3,1,0,0,6,0,0,0,4,3,4.0,0.0,0.3333333333333333,0.6,0.4444444444444444,1.0444444444444443,0.1111111111111111,0.4,0.0,0.0,0.2,0.26666666666666666,month
03,15530,에레디아,3,1,15.0,14,4,0,0,2,1,0,0,4,10,4,5.0,0.0,0.2857142857142857,0.3333333333333333,0.7142857142857143,1.0476190476190477,0.4285714285714286,0.06666666666666667,0.26666666666666666,0.13333333333333333,0.26666666666666666,0.3333333333333333,month
03,10643,김재환,3,1,14.0,12,1,0,0,1,1,0,1,5,4,2,4.0,0.0,0.08333333333333333,0.14285714285714285,0.3333333333333333,0.47619047619047616,0.25,0.07142857142857142,0.35714285714285715,0.07142857142857142,0.14285714285714285,0.2857142857142857,month
03,14587,최지훈,3,1,12.0,9,2,1,0,0,3,0,0,0,3,3,0.0,2.0,0.2222222222222222,0.4166666666666667,0.3333333333333333,0.75,0.1111111111111111,0.25,0.0,0.0,0.25,0.0,month
03,14806,조형우,3,1,12.0,11,2,2,0,0,1,0,0,3,4,3,4.0,0.0,0.18181818181818182,0.25,0.36363636363636365,0.6136363636363636,0.18181818181818182,0.08333333333333333,0.25,0.0,0.25,0.3333333333333333,month
03,14807,고명준,3,1,12.0,12,7,0,0,2,0,0,0,1,13,4,2.0,0.0,0.5833333333333334,0.5833333333333334,1.0833333333333333,1.6666666666666665,0.4999999999999999,0.0,0.08333333333333333,0.16666666666666666,0.3333333333333333,0.16666666666666666,month
