validation_scheme,feature_family,role_model_family,target,fold_id,model,source_rows,train_rows,valid_rows,feature_count,features,rows,positive_rate,pred_mean,accuracy_at_0_5,brier,logloss,precision_at_0_5,auc,precision_top_25pct,precision_top_33pct
repeated_stratified_cv,savant_only,hitter,failure,67,balanced_ridge_logit,22,14,8,18,pre_pa|pre_pitch|pre_bb_pct|pre_k_pct|pre_woba|pre_chase_rate|pre_zone_swing_rate|pre_nonfast_chase_rate|pre_nonfast_whiff_per_swing|pre_whiff_per_swing|pre_hardhit_rate|pre_barrel_rate|pre_sweet_spot_rate|pre_air_bbe_rate|pre_low_velo_xwoba|pre_high_velo_xwoba|pre_break_off_xwoba|pre_hitter_count_xwoba,8,0.375,0.4191058914742324,0.875,0.12042854942010298,0.38398258883485836,1.0,0.7333333333333333,1.0,0.6666666666666666
repeated_stratified_cv,savant_only,hitter,failure,67,sparse_l1_logit,22,14,8,18,pre_pa|pre_pitch|pre_bb_pct|pre_k_pct|pre_woba|pre_chase_rate|pre_zone_swing_rate|pre_nonfast_chase_rate|pre_nonfast_whiff_per_swing|pre_whiff_per_swing|pre_hardhit_rate|pre_barrel_rate|pre_sweet_spot_rate|pre_air_bbe_rate|pre_low_velo_xwoba|pre_high_velo_xwoba|pre_break_off_xwoba|pre_hitter_count_xwoba,8,0.375,0.5,0.375,0.25,0.6931471805599453,0.375,0.5,0.5,0.3333333333333333
repeated_stratified_cv,savant_only,hitter,failure,68,role_prior,22,15,7,18,pre_pa|pre_pitch|pre_bb_pct|pre_k_pct|pre_woba|pre_chase_rate|pre_zone_swing_rate|pre_nonfast_chase_rate|pre_nonfast_whiff_per_swing|pre_whiff_per_swing|pre_hardhit_rate|pre_barrel_rate|pre_sweet_spot_rate|pre_air_bbe_rate|pre_low_velo_xwoba|pre_high_velo_xwoba|pre_break_off_xwoba|pre_hitter_count_xwoba,7,0.2857142857142857,0.39999999999999997,0.7142857142857143,0.21714285714285714,0.6266727975111805,0.0,0.5,0.5,0.3333333333333333
repeated_stratified_cv,savant_only,hitter,failure,68,ridge_logit,22,15,7,18,pre_pa|pre_pitch|pre_bb_pct|pre_k_pct|pre_woba|pre_chase_rate|pre_zone_swing_rate|pre_nonfast_chase_rate|pre_nonfast_whiff_per_swing|pre_whiff_per_swing|pre_hardhit_rate|pre_barrel_rate|pre_sweet_spot_rate|pre_air_bbe_rate|pre_low_velo_xwoba|pre_high_velo_xwoba|pre_break_off_xwoba|pre_hitter_count_xwoba,7,0.2857142857142857,0.256071244815136,0.5714285714285714,0.3303873931126201,1.0838343289473045,0.0,0.6,0.0,0.3333333333333333
repeated_stratified_cv,savant_only,hitter,failure,68,balanced_ridge_logit,22,15,7,18,pre_pa|pre_pitch|pre_bb_pct|pre_k_pct|pre_woba|pre_chase_rate|pre_zone_swing_rate|pre_nonfast_chase_rate|pre_nonfast_whiff_per_swing|pre_whiff_per_swing|pre_hardhit_rate|pre_barrel_rate|pre_sweet_spot_rate|pre_air_bbe_rate|pre_low_velo_xwoba|pre_high_velo_xwoba|pre_break_off_xwoba|pre_hitter_count_xwoba,7,0.2857142857142857,0.2777403130162169,0.5714285714285714,0.3204216861861649,1.0555374885576196,0.0,0.6,0.0,0.3333333333333333
repeated_stratified_cv,savant_only,hitter,failure,68,sparse_l1_logit,22,15,7,18,pre_pa|pre_pitch|pre_bb_pct|pre_k_pct|pre_woba|pre_chase_rate|pre_zone_swing_rate|pre_nonfast_chase_rate|pre_nonfast_whiff_per_swing|pre_whiff_per_swing|pre_hardhit_rate|pre_barrel_rate|pre_sweet_spot_rate|pre_air_bbe_rate|pre_low_velo_xwoba|pre_high_velo_xwoba|pre_break_off_xwoba|pre_hitter_count_xwoba,7,0.2857142857142857,0.44806173472831057,0.5714285714285714,0.3520632326735974,0.9840807428958274,0.0,0.09999999999999998,0.0,0.0
repeated_stratified_cv,savant_only,hitter,failure,69,role_prior,22,15,7,18,pre_pa|pre_pitch|pre_bb_pct|pre_k_pct|pre_woba|pre_chase_rate|pre_zone_swing_rate|pre_nonfast_chase_rate|pre_nonfast_whiff_per_swing|pre_whiff_per_swing|pre_hardhit_rate|pre_barrel_rate|pre_sweet_spot_rate|pre_air_bbe_rate|pre_low_velo_xwoba|pre_high_velo_xwoba|pre_break_off_xwoba|pre_hitter_count_xwoba,7,0.42857142857142855,0.3333333333333333,0.5714285714285714,0.253968253968254,0.7025281854909983,0.0,0.5,0.5,0.6666666666666666
repeated_stratified_cv,savant_only,hitter,failure,69,ridge_logit,22,15,7,18,pre_pa|pre_pitch|pre_bb_pct|pre_k_pct|pre_woba|pre_chase_rate|pre_zone_swing_rate|pre_nonfast_chase_rate|pre_nonfast_whiff_per_swing|pre_whiff_per_swing|pre_hardhit_rate|pre_barrel_rate|pre_sweet_spot_rate|pre_air_bbe_rate|pre_low_velo_xwoba|pre_high_velo_xwoba|pre_break_off_xwoba|pre_hitter_count_xwoba,7,0.42857142857142855,0.4110237578822417,0.8571428571428571,0.13747654006643292,0.4460783954605283,1.0,0.9166666666666666,1.0,0.6666666666666666
repeated_stratified_cv,savant_only,hitter,failure,69,balanced_ridge_logit,22,15,7,18,pre_pa|pre_pitch|pre_bb_pct|pre_k_pct|pre_woba|pre_chase_rate|pre_zone_swing_rate|pre_nonfast_chase_rate|pre_nonfast_whiff_per_swing|pre_whiff_per_swing|pre_hardhit_rate|pre_barrel_rate|pre_sweet_spot_rate|pre_air_bbe_rate|pre_low_velo_xwoba|pre_high_velo_xwoba|pre_break_off_xwoba|pre_hitter_count_xwoba,7,0.42857142857142855,0.5153448085961532,0.7142857142857143,0.1564762641884925,0.4806604681969464,0.6666666666666666,0.8333333333333333,1.0,0.6666666666666666
repeated_stratified_cv,savant_only,hitter,failure,69,sparse_l1_logit,22,15,7,18,pre_pa|pre_pitch|pre_bb_pct|pre_k_pct|pre_woba|pre_chase_rate|pre_zone_swing_rate|pre_nonfast_chase_rate|pre_nonfast_whiff_per_swing|pre_whiff_per_swing|pre_hardhit_rate|pre_barrel_rate|pre_sweet_spot_rate|pre_air_bbe_rate|pre_low_velo_xwoba|pre_high_velo_xwoba|pre_break_off_xwoba|pre_hitter_count_xwoba,7,0.42857142857142855,0.5163536285452033,0.42857142857142855,0.2508677032055896,0.6948762306461881,0.42857142857142855,0.5833333333333334,0.5,0.6666666666666666
