season,player_key,kbo_team,role_model_family,archetype_cluster_id,archetype_name,success,failure,in_season_replaced,injury_exit_flag,performance_exit_flag,has_savant_bool,has_milb_bool,backfill_need,backfill_priority,candidate_release_allowed,release_policy,player_name_en,matched_player_id,matched_full_name,matched_position,matched_birth_date,matched_mlb_debut_date,match_variant,match_string_score,match_status,has_pre_kbo_milb,pre_kbo_milb_rows,pre_kbo_milb_latest_year,pre_kbo_milb_recent_rows,pre_kbo_milb_highest_level_score,pre_kbo_aaa_rows,pre_kbo_aa_rows,pre_kbo_milb_pa,pre_kbo_milb_ops,pre_kbo_milb_obp,pre_kbo_milb_slg,pre_kbo_milb_k_pct,pre_kbo_milb_bb_pct,pre_kbo_milb_ip,pre_kbo_milb_games_started,pre_kbo_milb_k9,pre_kbo_milb_bb9,pre_kbo_milb_hr9,pre_kbo_milb_era,pre_kbo_milb_whip,backfill_resolution_status
2023,제이슨마틴,NC,hitter,0,hitter_everyday_middle_order_anchor,1,0,0,0,0,False,False,missing_savant_and_milb,P1_recent_outcome_backfill,False,layer2_backfill_historical_training_only_no_current_candidate_release,Jason Martin,641829,Jason Martin,CF,1995-09-05,2019-04-06,jason martin,1.0,matched_high_confidence,True,11.0,2022.0,2.0,100.0,2.0,0.0,705.0,0.9364014184397164,0.37719716312056734,0.5592042553191489,0.2397163120567376,0.13617021276595745,,,,,,,,statsapi_backfilled_model_ready
2023,커크맥카티,SSG,pitcher,4,pitcher_load_bearing_rotation_anchor,1,0,0,0,0,False,False,missing_savant_and_milb,P1_recent_outcome_backfill,False,layer2_backfill_historical_training_only_no_current_candidate_release,Kirkland Kirk McCarty,668948,Kirk McCarty,P,1995-10-12,2022-04-24,Kirk McCarty,1.0,matched_high_confidence,True,7.0,2022.0,4.0,100.0,4.0,0.0,,,,,0.19888475836431227,0.08364312267657993,254.66666666666666,42.0,7.56282722513089,3.180628272251309,1.7316753926701571,4.277905759162303,1.299214659685864,statsapi_backfilled_model_ready
2023,토마스파노니,KIA,pitcher,2,pitcher_failure_replacement_or_health_risk,0,0,0,0,0,False,False,missing_savant_and_milb,P1_recent_outcome_backfill,False,layer2_backfill_historical_training_only_no_current_candidate_release,Thomas Edward Pannone Jr,623381,Thomas Pannone,P,1994-04-28,2018-08-10,thomas pannone,1.0,matched_high_confidence,True,15.0,2022.0,2.0,100.0,2.0,0.0,,,,,0.18765432098765433,0.05925925925925926,181.33333333333334,33.0,7.544117647058823,2.3823529411764706,1.5386029411764706,6.2014338235294115,1.5371323529411764,statsapi_backfilled_model_ready
2023,펠릭스페냐,한화,pitcher,4,pitcher_load_bearing_rotation_anchor,1,0,0,0,0,False,False,missing_savant_and_milb,P1_recent_outcome_backfill,False,layer2_backfill_historical_training_only_no_current_candidate_release,Félix Ricardo Peña,570240,Félix Peña,P,1990-02-25,2016-08-19,felix pena,1.0,matched_high_confidence,True,13.0,2022.0,2.0,100.0,2.0,0.0,,,,,0.19230769230769232,0.08144796380090498,99.33333333333333,13.0,7.701342281879195,3.261744966442953,1.540268456375839,6.791040268456375,1.5126174496644296,statsapi_backfilled_model_ready
2023,호세피렐라,삼성,hitter,0,hitter_everyday_middle_order_anchor,0,0,0,0,0,False,False,missing_savant_and_milb,P1_recent_outcome_backfill,False,layer2_backfill_historical_training_only_no_current_candidate_release,José Manuel Pirela,517369,José Pirela,LF,1989-11-21,2014-09-22,Jose Pirela,1.0,matched_high_confidence,True,17.0,2019.0,0.0,100.0,8.0,4.0,4835.0,0.7818630816959669,0.34752140641158225,0.43434167528438467,0.14560496380558427,0.07859358841778696,,,,,,,,statsapi_backfilled_model_ready
2024,기예르모에레디아,SSG,hitter,0,hitter_everyday_middle_order_anchor,1,0,0,0,0,False,False,missing_savant_and_milb,P1_recent_outcome_backfill,False,layer2_backfill_historical_training_only_no_current_candidate_release,Guillermo Heredia Molina,628338,Guillermo Heredia,LF,1991-01-31,2016-07-29,Guillermo Heredia,1.0,matched_high_confidence,True,5.0,2021.0,0.0,100.0,4.0,1.0,488.0,0.7699651639344263,0.38863319672131147,0.38133196721311474,0.12295081967213115,0.10860655737704918,,,,,,,,statsapi_backfilled_model_ready
2024,드류앤더슨,SSG,pitcher,1,pitcher_load_bearing_rotation_anchor,1,0,0,0,0,False,False,missing_savant_and_milb,P1_recent_outcome_backfill,False,layer2_backfill_historical_training_only_no_current_candidate_release,Andrew James Anderson,623454,Drew Anderson,P,1994-03-22,2017-08-01,Drew Anderson,1.0,matched_high_confidence,True,10.0,2021.0,0.0,100.0,4.0,1.0,,,,,0.22194760257043994,0.0874938210578349,480.3333333333333,91.0,8.41290770298404,3.3164469118667594,0.974323386537127,3.690714781401805,1.2287300485773769,statsapi_backfilled_model_ready
2024,라울알칸타라,두산,pitcher,3,pitcher_failure_replacement_or_health_risk,0,1,1,0,1,False,False,missing_savant_and_milb,P1_recent_outcome_backfill,False,layer2_backfill_historical_training_only_no_current_candidate_release,Raul Alcántara,593417,Raúl Alcántara,P,1992-12-04,2016-09-05,Raul Alcantara,1.0,matched_high_confidence,True,12.0,2018.0,0.0,100.0,3.0,2.0,,,,,0.16602854159415245,0.04907761921336582,693.6666666666666,124.0,6.188851513695339,1.829408938010572,0.6357520422873619,3.5919942335415667,1.2225660740028834,statsapi_backfilled_model_ready
2024,루벤카데나스,삼성,hitter,1,hitter_failure_replacement_or_low_impact,0,1,1,1,1,False,False,missing_savant_and_milb,P1_recent_outcome_backfill,False,layer2_backfill_historical_training_only_no_current_candidate_release,Ruben Cardenas,665180,Ruben Cardenas,OF,1997-10-10,,ruben cardenas,1.0,matched_high_confidence,True,9.0,2023.0,3.0,100.0,2.0,0.0,886.0,0.8199909706546274,0.3406297968397291,0.47936117381489834,0.2686230248306998,0.11060948081264109,,,,,,,,statsapi_backfilled_model_ready
2024,리카르도산체스,한화,pitcher,0,pitcher_failure_replacement_or_health_risk,0,1,1,1,1,False,False,missing_savant_and_milb,P1_recent_outcome_backfill,False,layer2_backfill_historical_training_only_no_current_candidate_release,Ricardo Jose Sánchez,645307,Ricardo Sánchez,P,1997-04-11,2020-08-17,ricardo sanchez,1.0,matched_high_confidence,True,13.0,2023.0,4.0,100.0,4.0,0.0,,,,,0.19944082013047532,0.08014911463187326,239.33333333333334,53.0,8.047353760445683,3.233983286908078,0.9777158774373259,4.962033426183844,1.5067688022284125,statsapi_backfilled_model_ready
