role_segment,replacement_relevant,split_family,query_si,si_name,bucket_group,split_label,bucket_path,players,pa,ab,r,h,doubles,triples,hr,tb,rbi,bb,hbp,so,gdp,sf,sb,avg,obp,slg,ops,iso,bb_pct,k_pct,hr_per_pa,rbi_per_pa
DH_primary_or_bridge,True,runner_context,3,game_situation,runner,on_first_second,runner/9/on_first_second,1,19,15,3,5,0,0,2,11,8,4,0,0,0,0,0.0,0.3333333333333333,0.47368421052631576,0.7333333333333333,1.207017543859649,0.39999999999999997,0.21052631578947367,0.0,0.10526315789473684,0.42105263157894735
DH_primary_or_bridge,True,runner_context,3,game_situation,runner,on_first_third,runner/9/on_first_third,1,7,7,1,3,0,0,0,3,3,0,0,1,0,0,0.0,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.8571428571428571,0.0,0.0,0.14285714285714285,0.0,0.42857142857142855
DH_primary_or_bridge,True,runner_context,3,game_situation,runner,on_full,runner/9/on_full,1,7,6,0,2,0,0,0,2,4,1,0,3,0,0,0.0,0.3333333333333333,0.42857142857142855,0.3333333333333333,0.7619047619047619,0.0,0.14285714285714285,0.42857142857142855,0.0,0.5714285714285714
DH_primary_or_bridge,True,runner_context,3,game_situation,runner,on_second,runner/9/on_second,1,20,12,5,4,0,0,1,7,5,8,0,3,0,0,0.0,0.3333333333333333,0.6,0.5833333333333334,1.1833333333333333,0.25000000000000006,0.4,0.15,0.05,0.25
DH_primary_or_bridge,True,runner_context,3,game_situation,runner,on_second_third,runner/9/on_second_third,1,5,4,0,0,0,0,0,0,1,0,0,3,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.2
DH_primary_or_bridge,True,runner_context,3,game_situation,runner,on_third,runner/9/on_third,1,9,6,0,1,0,0,0,1,1,3,0,3,0,0,0.0,0.16666666666666666,0.4444444444444444,0.16666666666666666,0.611111111111111,0.0,0.3333333333333333,0.3333333333333333,0.0,0.1111111111111111
DH_primary_or_bridge,True,runner_context,3,game_situation,runner,risp,runner/7/risp,1,67,50,9,15,0,0,3,24,22,16,0,13,0,1,0.0,0.3,0.4626865671641791,0.48,0.9426865671641791,0.18,0.23880597014925373,0.19402985074626866,0.04477611940298507,0.3283582089552239
DH_primary_or_bridge,True,runner_context,3,game_situation,runner,runner_on_base,runner/8/runner_on_base,1,122,98,10,22,0,0,4,34,24,23,0,32,3,1,0.0,0.22448979591836735,0.36885245901639346,0.3469387755102041,0.7157912345265975,0.12244897959183673,0.1885245901639344,0.26229508196721313,0.03278688524590164,0.19672131147540983
DH_primary_or_bridge,True,score_context,3,game_situation,situation,2_out_risp,situation/0/2_out_risp,1,35,27,2,7,0,0,1,10,8,8,0,7,0,0,0.0,0.25925925925925924,0.42857142857142855,0.37037037037037035,0.7989417989417988,0.1111111111111111,0.22857142857142856,0.2,0.02857142857142857,0.22857142857142856
DH_primary_or_bridge,True,score_context,3,game_situation,situation,more_five_run,situation/6/more_five_run,1,37,33,6,5,0,0,3,14,7,4,0,8,2,0,0.0,0.15151515151515152,0.24324324324324326,0.42424242424242425,0.6674856674856675,0.2727272727272727,0.10810810810810811,0.21621621621621623,0.08108108108108109,0.1891891891891892
