season,player_key,player_name,player_name_en,kbo_team,role_group,role_model_family,matched_to_savant,has_pre_kbo_savant_features,match_method,match_score,match_key,matched_savant_name,matched_savant_player_id,prior_savant_years,prior_savant_rows,success,failure
2024,펠릭스페냐,펠릭스 페냐,Félix Ricardo Peña,한화,starter,pitcher,False,False,,,,,,,0,0,1
2024,하이메바리아,하이메 바리아,Jaime Barria,한화,starter,pitcher,True,True,exact_variant,1.0,barria jaime,"Barria, Jaime",642545.0,2022 | 2023,2,0,0
2025,패트릭위즈덤,패트릭 위즈덤,Patrick Wisdom,KIA,hitter,hitter,True,True,exact_variant,1.0,patrick wisdom,patrick wisdom,621550.0,2022 | 2023 | 2024,3,1,0
2025,애덤올러,애덤 올러,Adam Oller,KIA,starter,pitcher,True,True,exact_variant,1.0,adam oller,"Oller, Adam",670124.0,2022 | 2023 | 2024,3,1,0
2025,제임스네일,제임스 네일,James Aubrey Naile,KIA,starter,pitcher,True,True,exact_variant,1.0,james naile,"Naile, James",664942.0,2022 | 2023,2,1,0
2025,멜로하스주니어,멜 로하스 주니어,Mel Rojas Jr,KT,hitter,hitter,False,False,,,,,,,0,0,1
2025,앤드류스티븐슨,앤드류 스티븐슨,Andrew Stevenson,KT,hitter,hitter,True,True,exact_variant,1.0,andrew stevenson,andrew stevenson,664057.0,2023,1,0,1
2025,엔마누엘데헤수스,엔마누엘 데 헤수스,Enmanuel Jose De Jesus,KT,starter,pitcher,True,True,exact_variant,1.0,enmanuel jesus,"De Jesus, Enmanuel",646241.0,2023,1,1,0
2025,윌리엄쿠에바스,윌리엄 쿠에바스,William Enrique Cuevas Osorio,KT,starter,pitcher,False,False,,,,,,,0,0,1
2025,패트릭머피,패트릭 머피,Patrick Murphy,KT,starter,pitcher,True,True,exact_variant,1.0,murphy patrick,"Murphy, Patrick",641907.0,2022,1,0,1
2025,오스틴딘,오스틴 딘,Austin James Dean,LG,hitter,hitter,True,True,exact_variant,1.0,austin dean,austin dean,621573.0,2022,1,1,0
2025,앤더스톨허스트,앤더스 톨허스트,Anders William Tolhurst,LG,starter,pitcher,False,False,,,,,,,0,1,0
2025,엘리에이저에르난데스,엘리에이저 에르난데스,Elieser Hernández,LG,starter,pitcher,True,True,exact_variant,1.0,elieser hernandez,"Hernández, Elieser",622694.0,2022 | 2024,2,0,1
