player_name_ko,season,kbo_team,role_group,archetype,first_kbo_war,first_kbo_wrc_plus,first_kbo_era,first_kbo_k_bb_pct,success,strong_success,failure,in_season_replaced,renewed_next_year,injury_exit_flag,performance_exit_flag
오스틴 딘,2025,LG,hitter,A_dominant,4.863814830780029,171.61871337890625,,0.002004008016032,1.0,1.0,0.0,0,1.0,0,0
앤더스 톨허스트,2025,LG,starter,B_solid_contributor,1.312033239668124,,2.86,,1.0,0.0,0.0,0,1.0,0,0
엘리에이저 에르난데스,2025,LG,starter,B_solid_contributor,1.2845670833675211,,4.23,,0.0,0.0,1.0,1,0.0,0,1
요니 치리노스,2025,LG,starter,A_ace_translation,5.208812150749326,,3.31,,1.0,1.0,0.0,0,0.0,0,0
코엔 윈,2025,LG,starter,D_replaced_blowup,-0.063602000948557,,7.04,,0.0,0.0,1.0,1,0.0,0,0
맷 데이비슨,2025,NC,hitter,B_solid,2.7161195278167725,149.004638671875,,0.1981776765375854,1.0,0.0,0.0,0,1.0,0,0
라일리 톰프슨,2025,NC,starter,A_ace_translation,4.343910766323517,,3.45,,1.0,1.0,0.0,0,1.0,0,0
로건 앨런,2025,NC,starter,B_solid_contributor,2.4118721721133385,,4.53,,1.0,0.0,0.0,0,1.0,0,0
기예르모 에레디아,2025,SSG,hitter,B_solid,3.5403592586517334,140.99366760253906,,0.0746987951807229,1.0,1.0,0.0,0,1.0,0,0
라이언 맥브룸,2025,SSG,hitter,C_replaced_poor,-0.1659993976354599,62.7510871887207,,,0.0,0.0,1.0,1,0.0,0,0
드류 앤더슨,2025,SSG,starter,A_ace_translation,6.539894596237571,,2.25,,1.0,1.0,0.0,0,0.0,0,0
미치 화이트,2025,SSG,starter,A_ace_translation,4.239912815042339,,2.87,,1.0,0.0,0.0,0,0.0,0,0
제이크 케이브,2025,두산,hitter,B_solid,4.302095413208008,125.38219451904295,,0.1231028667790893,1.0,1.0,0.0,0,0.0,0,0
잭 로그,2025,두산,starter,A_ace_translation,5.337692292960082,,2.81,,1.0,1.0,0.0,0,1.0,0,0
콜 어빈,2025,두산,starter,B_solid_contributor,2.569759877777769,,4.48,,1.0,0.0,0.0,0,0.0,0,0
빅터 레예스,2025,롯데,hitter,B_solid,3.20806097984314,124.81194305419922,,0.0124416796267496,1.0,1.0,0.0,0,1.0,0,0
빈스 벨라스케즈,2025,롯데,starter,D_era_blowup,-0.3078076128748702,,8.23,,0.0,0.0,1.0,0,0.0,0,0
알렉 감보아,2025,롯데,starter,B_solid_contributor,2.352581646594522,,3.58,,1.0,0.0,0.0,0,0.0,0,0
찰리 반즈,2025,롯데,starter,C_replaced_marginal,0.2966230547046589,,5.32,,0.0,0.0,1.0,1,0.0,1,0
터커 데이비드슨,2025,롯데,starter,B_solid_contributor,3.3760758744067263,,3.65,,0.0,0.0,1.0,1,0.0,0,1
르윈 디아즈,2025,삼성,hitter,A_dominant,5.795892715454102,159.72494506835938,,0.0636942675159235,1.0,1.0,0.0,0,1.0,0,0
데니 레예스,2025,삼성,starter,B_solid_contributor,1.0570227893174051,,4.14,,0.0,0.0,1.0,1,0.0,1,0
아리엘 후라도,2025,삼성,starter,A_ace_translation,7.5701771892763965,,2.6,,1.0,1.0,0.0,0,1.0,0,0
헤르손 가라비토,2025,삼성,starter,B_solid_contributor,2.536551068135401,,2.64,,0.0,0.0,0.0,0,0.0,0,0
루벤 카디네스,2025,키움,hitter,D_failure,-0.2302426248788833,99.73535919189452,,0.0969529085872576,0.0,0.0,1.0,0,0.0,0,0
루벤 카디네스,2025,키움,hitter,C_replaced_poor,-0.2302426248788833,99.73535919189452,,,0.0,0.0,1.0,1,0.0,1,0
스톤 개랫,2025,키움,hitter,C_replaced_poor,-0.6440398097038269,59.945350646972656,,,0.0,0.0,1.0,1,0.0,0,0
야시엘 푸이그,2025,키움,hitter,C_replaced_poor,-0.371216744184494,74.46866607666016,,,0.0,0.0,1.0,1,0.0,1,0
C.C 메르세데스,2025,키움,starter,B_solid_contributor,0.6699942839373844,,4.47,,0.0,0.0,1.0,0,0.0,0,0
라울 알칸타라,2025,키움,starter,B_solid_contributor,2.9998103546621526,,3.27,,1.0,0.0,0.0,0,1.0,0,0
라클란 웰스,2025,키움,starter,C_risky,0.3820089305900641,,3.15,,1.0,0.0,1.0,1,1.0,0,0
케니 로젠버그,2025,키움,starter,B_solid_contributor,1.790310005004133,,3.23,,0.0,0.0,1.0,1,1.0,1,0
루이스 리베라토,2025,한화,hitter,C_marginal,1.9966312646865845,143.11322021484375,,0.0879120879120879,0.0,0.0,0.0,0,0.0,0,0
에스테반 플로리알,2025,한화,hitter,C_marginal,1.7797154188156128,111.50299835205078,,,0.0,0.0,1.0,1,0.0,1,0
라이언 와이스,2025,한화,starter,A_ace_translation,5.953277450318902,,2.87,,1.0,1.0,0.0,0,0.0,0,0
코디 폰세,2025,한화,starter,A_ace_translation,8.38105726823523,,1.89,,1.0,1.0,0.0,0,0.0,0,0
