season,player_key,kbo_team,role_model_family,archetype_cluster_id,archetype_name,success,failure,in_season_replaced,injury_exit_flag,performance_exit_flag,has_savant_bool,has_milb_bool,backfill_need,backfill_priority,candidate_release_allowed,release_policy,player_name,player_name_en,kbo_team_label,role_group,source_confidence_1_5,searched_variants,matched_player_id,matched_full_name,matched_position,matched_birth_date,matched_mlb_debut_date,match_variant,match_string_score,role_match,match_status
2024,펠릭스페냐,한화,pitcher,3,pitcher_failure_replacement_or_health_risk,0,1,1,0,1,False,False,missing_savant_and_milb,P1_recent_outcome_backfill,False,layer2_backfill_historical_training_only_no_current_candidate_release,펠릭스 페냐,Félix Ricardo Peña,한화,starter,4,felix ricardo pena|felix ricardo|felix pena,570240,Félix Peña,P,1990-02-25,2016-08-19,felix pena,1.0,True,matched_high_confidence
2025,CC메르세데스,키움,pitcher,2,pitcher_failure_replacement_or_health_risk,0,1,0,0,0,False,False,missing_savant_and_milb,P1_recent_outcome_backfill,False,layer2_backfill_historical_training_only_no_current_candidate_release,C.C 메르세데스,Cristopher Crisostomo Mercedes,키움,starter,4,C.C. Mercedes|Cristopher Mercedes|cristopher crisostomo mercedes|cristopher crisostomo|cristopher mercedes,,,,,,,,False,unmatched_manual_lookup_required
2025,기예르모에레디아,SSG,hitter,0,hitter_everyday_middle_order_anchor,1,0,0,0,0,False,False,missing_savant_and_milb,P1_recent_outcome_backfill,False,layer2_backfill_historical_training_only_no_current_candidate_release,기예르모 에레디아,Guillermo Heredia Molina,SSG,hitter,4,Guillermo Heredia|guillermo heredia molina|guillermo heredia|guillermo molina,628338,Guillermo Heredia,LF,1991-01-31,2016-07-29,Guillermo Heredia,1.0,True,matched_high_confidence
2025,드류앤더슨,SSG,pitcher,4,pitcher_load_bearing_rotation_anchor,1,0,0,0,0,False,False,missing_savant_and_milb,P1_recent_outcome_backfill,False,layer2_backfill_historical_training_only_no_current_candidate_release,드류 앤더슨,Andrew James Anderson,SSG,starter,4,Drew Anderson|andrew james anderson|andrew james|andrew anderson,623454,Drew Anderson,P,1994-03-22,2017-08-01,Drew Anderson,1.0,True,matched_high_confidence
2025,라울알칸타라,키움,pitcher,1,pitcher_load_bearing_rotation_anchor,1,0,0,0,0,False,False,missing_savant_and_milb,P1_recent_outcome_backfill,False,layer2_backfill_historical_training_only_no_current_candidate_release,라울 알칸타라,Raul Alcántara,키움,starter,4,Raul Alcantara|raul alcantara,593417,Raúl Alcántara,P,1992-12-04,2016-09-05,Raul Alcantara,1.0,True,matched_high_confidence
2025,라이언맥브룸,SSG,hitter,1,hitter_failure_replacement_or_low_impact,0,1,1,0,0,False,False,missing_savant_and_milb,P1_recent_outcome_backfill,False,layer2_backfill_historical_training_only_no_current_candidate_release,라이언 맥브룸,Ryan McBroom,SSG,hitter,4,ryan mcbroom,643436,Ryan McBroom,1B,1992-04-09,2019-09-03,ryan mcbroom,1.0,True,matched_high_confidence
2025,라일리톰프슨,NC,pitcher,1,pitcher_load_bearing_rotation_anchor,1,0,0,0,0,False,False,missing_savant_and_milb,P1_recent_outcome_backfill,False,layer2_backfill_historical_training_only_no_current_candidate_release,라일리 톰프슨,Riley Thompson,NC,starter,4,riley thompson,663929,Riley Thompson,P,1996-07-09,,riley thompson,1.0,True,matched_high_confidence
2025,라클란웰스,키움,pitcher,2,pitcher_failure_replacement_or_health_risk,1,1,1,0,0,False,False,missing_savant_and_milb,P1_recent_outcome_backfill,False,layer2_backfill_historical_training_only_no_current_candidate_release,라클란 웰스,Lachlan Robert Wells,키움,starter,4,lachlan robert wells|lachlan robert|lachlan wells,,,,,,,,False,unmatched_manual_lookup_required
2025,로건앨런,NC,pitcher,1,pitcher_load_bearing_rotation_anchor,1,0,0,0,0,False,False,missing_savant_and_milb,P1_recent_outcome_backfill,False,layer2_backfill_historical_training_only_no_current_candidate_release,로건 앨런,Logan Allen,NC,starter,4,logan allen,671106,Logan Allen,P,1998-09-05,2023-04-23,logan allen,1.0,True,matched_high_confidence
2025,루벤카디네스,키움,hitter,1,hitter_failure_replacement_or_low_impact,0,1,0,0,0,False,False,missing_savant_and_milb,P1_recent_outcome_backfill,False,layer2_backfill_historical_training_only_no_current_candidate_release,루벤 카디네스,Ruben Cardenas,키움,hitter,4,ruben cardenas,665180,Ruben Cardenas,OF,1997-10-10,,ruben cardenas,1.0,True,matched_high_confidence
2025,맷데이비슨,NC,hitter,0,hitter_everyday_middle_order_anchor,1,0,0,0,0,False,False,missing_savant_and_milb,P1_recent_outcome_backfill,False,layer2_backfill_historical_training_only_no_current_candidate_release,맷 데이비슨,Matthew Glen Davidson,NC,hitter,4,Matt Davidson|matthew glen davidson|matthew glen|matthew davidson,571602,Matt Davidson,DH,1991-03-26,2013-08-11,Matt Davidson,1.0,True,matched_high_confidence
2025,멜로하스주니어,KT,hitter,1,hitter_failure_replacement_or_low_impact,0,1,1,0,1,False,False,missing_savant_and_milb,P1_recent_outcome_backfill,False,layer2_backfill_historical_training_only_no_current_candidate_release,멜 로하스 주니어,Mel Rojas Jr,KT,hitter,4,mel rojas,592692,Mel Rojas Jr.,CF,1990-05-24,,mel rojas,1.0,True,matched_high_confidence
2025,빈스벨라스케즈,롯데,pitcher,2,pitcher_failure_replacement_or_health_risk,0,1,0,0,0,False,False,missing_savant_and_milb,P1_recent_outcome_backfill,False,layer2_backfill_historical_training_only_no_current_candidate_release,빈스 벨라스케즈,Vincent John Velasquez,롯데,starter,4,Vince Velasquez|vincent john velasquez|vincent john|vincent velasquez,592826,Vince Velasquez,P,1992-06-07,2015-06-10,Vince Velasquez,1.0,True,matched_high_confidence
2025,아리엘후라도,삼성,pitcher,1,pitcher_load_bearing_rotation_anchor,1,0,0,0,0,False,False,missing_savant_and_milb,P1_recent_outcome_backfill,False,layer2_backfill_historical_training_only_no_current_candidate_release,아리엘 후라도,Ariel Bolívar Jurado Agrazal,삼성,starter,4,Ariel Jurado|ariel bolivar jurado agrazal|ariel bolivar|ariel agrazal|ariel bolivar agrazal,642558,Ariel Jurado,P,1996-01-30,2018-05-19,Ariel Jurado,1.0,True,matched_high_confidence
2025,앤더스톨허스트,LG,pitcher,1,pitcher_load_bearing_rotation_anchor,1,0,0,0,0,False,False,missing_savant_and_milb,P1_recent_outcome_backfill,False,layer2_backfill_historical_training_only_no_current_candidate_release,앤더스 톨허스트,Anders William Tolhurst,LG,starter,4,anders william tolhurst|anders william|anders tolhurst,689434,Anders Tolhurst,P,1999-09-13,,anders tolhurst,1.0,True,matched_high_confidence
2025,야시엘푸이그,키움,hitter,1,hitter_failure_replacement_or_low_impact,0,1,1,1,0,False,False,missing_savant_and_milb,P1_recent_outcome_backfill,False,layer2_backfill_historical_training_only_no_current_candidate_release,야시엘 푸이그,Yasiel Puig Valdés,키움,hitter,4,Yasiel Puig|yasiel puig valdes|yasiel puig|yasiel valdes,624577,Yasiel Puig,RF,1990-12-07,2013-06-03,Yasiel Puig,1.0,True,matched_high_confidence
2025,윌리엄쿠에바스,KT,pitcher,3,pitcher_failure_replacement_or_health_risk,0,1,1,0,1,False,False,missing_savant_and_milb,P1_recent_outcome_backfill,False,layer2_backfill_historical_training_only_no_current_candidate_release,윌리엄 쿠에바스,William Enrique Cuevas Osorio,KT,starter,4,William Cuevas|william enrique cuevas osorio|william enrique|william osorio|william enrique osorio,571035,William Cuevas,P,1990-10-14,2016-04-21,William Cuevas,1.0,True,matched_high_confidence
2025,코엔윈,LG,pitcher,2,pitcher_failure_replacement_or_health_risk,0,1,1,0,0,False,False,missing_savant_and_milb,P1_recent_outcome_backfill,False,layer2_backfill_historical_training_only_no_current_candidate_release,코엔 윈,Coen Wynne,LG,starter,4,coen wynne,,,,,,,,False,unmatched_manual_lookup_required
