season,player_key,player_name,player_name_en,kbo_team,role_model_family,stat_group,player_id,success,failure,source_player_id,milb_stat_group,has_pre_kbo_milb,pre_kbo_milb_rows,pre_kbo_milb_latest_year,pre_kbo_milb_recent_rows,pre_kbo_milb_highest_level_score,pre_kbo_recent_highest_level_score,pre_kbo_aaa_rows,pre_kbo_aa_rows,pre_kbo_milb_pa,pre_kbo_milb_hr,pre_kbo_milb_ops,pre_kbo_milb_obp,pre_kbo_milb_slg,pre_kbo_milb_k_pct,pre_kbo_milb_bb_pct,pre_kbo_milb_ip,pre_kbo_milb_games,pre_kbo_milb_games_started,pre_kbo_milb_k9,pre_kbo_milb_bb9,pre_kbo_milb_hr9,pre_kbo_milb_era,pre_kbo_milb_whip
2024,소크라테스브리토,소크라테스 브리토,Sócrates Orel Brito,KIA,hitter,hitting,593647,1,0,593647,hitting,True,13,2021,0,100.0,100.0,5,1,4276.0,80.0,0.7698554724041159,0.3351036014967259,0.43475187090739015,0.205799812909261,0.0666510757717493,,,,,,,,
2024,아리엘후라도,아리엘 후라도,Ariel Bolívar Jurado Agrazal,키움,pitcher,pitching,642558,1,0,642558,pitching,True,10,2022,2,100.0,100.0,1,0,,,,,,0.21818181818181817,0.06363636363636363,57.333333333333336,15.0,8.0,7.534883720930233,2.197674418604651,1.0988372093023255,3.2930232558139534,0.963953488372093
2024,애런윌커슨,애런 윌커슨,Aaron Wilkerson,롯데,pitcher,pitching,658792,1,0,658792,pitching,True,12,2023,1,100.0,100.0,1,0,,,,,,0.24766355140186916,0.06542056074766354,47.0,14.0,6.0,10.148936170212766,2.6808510638297873,2.297872340425532,6.51,1.6
2024,에릭요키시,에릭 요키시,Eric Spenser Jokisch,NC,pitcher,pitching,518852,0,1,518852,pitching,True,17,2018,0,100.0,100.0,8,5,,,,,,0.1839572192513369,0.0720855614973262,1106.0,234.0,165.0,6.998191681735985,2.7423146473779387,0.740506329113924,3.638004822182037,1.3046955997588907
2024,요나탄페를라사,요나탄 페를라사,Yonathan Jesús Perlaza,한화,hitter,hitting,666632,1,0,666632,hitting,True,7,2023,2,100.0,100.0,1,1,1090.0,46.0,0.8858642201834862,0.37344311926605506,0.5124211009174312,0.22568807339449543,0.13577981651376148,,,,,,,,
2024,웨스벤자민,웨스 벤자민,Wes Benjamin,KT,pitcher,pitching,605138,1,0,605138,pitching,True,8,2022,1,100.0,100.0,1,0,,,,,,0.24615384615384617,0.09230769230769231,30.666666666666668,7.0,7.0,9.391304347826086,3.5217391304347823,1.7608695652173911,3.82,1.3
2024,윌리엄쿠에바스,윌리엄 쿠에바스,William Enrique Cuevas Osorio,KT,pitcher,pitching,571035,1,0,571035,pitching,True,15,2023,1,100.0,100.0,1,0,,,,,,0.2205128205128205,0.10256410256410256,44.0,11.0,9.0,8.795454545454545,4.090909090909091,2.659090909090909,6.14,1.41
2024,윌크로우,윌 크로우,William Chandler Crowe,KIA,pitcher,pitching,640444,0,1,640444,pitching,True,8,2023,2,100.0,100.0,1,0,,,,,,0.2302158273381295,0.10071942446043165,30.333333333333332,17.0,3.0,9.494505494505495,4.153846153846154,0.8901098901098902,3.854175824175824,1.5853846153846152
2024,펠릭스페냐,펠릭스 페냐,Félix Ricardo Peña,한화,pitcher,pitching,570240,0,1,570240,pitching,True,13,2022,1,100.0,100.0,1,0,,,,,,0.20155038759689922,0.06976744186046512,31.0,8.0,6.0,7.548387096774194,2.6129032258064515,0.8709677419354839,4.06,1.32
2025,기예르모에레디아,기예르모 에레디아,Guillermo Heredia Molina,SSG,hitter,hitting,628338,1,0,628338,hitting,True,5,2021,0,100.0,100.0,4,1,488.0,5.0,0.7699651639344263,0.38863319672131147,0.38133196721311474,0.12295081967213115,0.10860655737704918,,,,,,,,
2025,드류앤더슨,드류 앤더슨,Andrew James Anderson,SSG,pitcher,pitching,623454,1,0,623454,pitching,True,11,2024,1,100.0,100.0,1,0,,,,,,0.24615384615384617,0.13846153846153847,14.0,9.0,0.0,10.285714285714286,5.785714285714286,0.0,3.8600000000000003,1.7900000000000003
2025,라울알칸타라,라울 알칸타라,Raul Alcántara,키움,pitcher,pitching,593417,1,0,593417,pitching,True,12,2018,0,100.0,100.0,3,2,,,,,,0.16602854159415245,0.04907761921336582,693.6666666666666,173.0,124.0,6.188851513695339,1.829408938010572,0.6357520422873619,3.5919942335415667,1.2225660740028834
2025,라이언맥브룸,라이언 맥브룸,Ryan McBroom,SSG,hitter,hitting,643436,0,1,643436,hitting,True,10,2021,0,100.0,100.0,3,5,3657.0,139.0,0.8134129067541702,0.3472266885425212,0.4661862182116489,0.2132895816242822,0.0844954881050041,,,,,,,,
2025,라일리톰프슨,라일리 톰프슨,Riley Thompson,NC,pitcher,pitching,663929,1,0,663929,pitching,True,4,2024,2,100.0,100.0,2,0,,,,,,0.20921985815602837,0.12056737588652482,188.66666666666666,59.0,34.0,8.443462897526501,4.865724381625442,1.4310954063604242,5.816360424028268,1.6043109540636045
2025,로건앨런,로건 앨런,Logan Allen,NC,pitcher,pitching,671106,1,0,671106,pitching,True,6,2024,2,100.0,100.0,2,0,,,,,,0.2483221476510067,0.10738255033557047,69.0,15.0,13.0,9.652173913043478,4.173913043478261,1.6956521739130435,4.694009661835749,1.406328502415459
2025,루벤카디네스,루벤 카디네스,Ruben Cardenas,키움,hitter,hitting,665180,0,1,665180,hitting,True,12,2024,4,100.0,100.0,4,0,1194.0,62.0,0.8665100502512564,0.35086599664991625,0.51564405360134,0.2152428810720268,0.08877721943048576,,,,,,,,
2025,맷데이비슨,맷 데이비슨,Matthew Glen Davidson,NC,hitter,hitting,571602,1,0,571602,hitting,True,14,2022,0,100.0,100.0,10,1,5360.0,256.0,0.8355889925373133,0.34806138059701486,0.48752761194029853,0.2669776119402985,0.09850746268656717,,,,,,,,
2025,멜로하스주니어,멜 로하스 주니어,Mel Rojas Jr,KT,hitter,hitting,592692,0,1,592692,hitting,True,12,2017,0,100.0,100.0,6,4,3466.0,56.0,0.7172365839584536,0.3266901327178304,0.3905464512406232,0.20369301788805538,0.08597807270628967,,,,,,,,
2025,빈스벨라스케즈,빈스 벨라스케즈,Vincent John Velasquez,롯데,pitcher,pitching,592826,0,1,592826,pitching,True,14,2023,1,100.0,100.0,1,0,,,,,,0.10526315789473684,0.05263157894736842,4.666666666666667,1.0,1.0,3.8571428571428568,1.9285714285714284,0.0,0.0,1.07
2025,아리엘후라도,아리엘 후라도,Ariel Bolívar Jurado Agrazal,삼성,pitcher,pitching,642558,1,0,642558,pitching,True,10,2022,0,100.0,100.0,2,3,,,,,,0.1898686679174484,0.04765478424015009,648.3333333333334,131.0,104.0,7.024164524421593,1.762982005141388,0.6940874035989717,3.3884267352185087,1.2245861182519282
2025,앤더스톨허스트,앤더스 톨허스트,Anders William Tolhurst,LG,pitcher,pitching,689434,1,0,689434,pitching,True,7,2024,5,80.0,80.0,0,1,,,,,,0.2921615201900237,0.06175771971496437,99.66666666666667,67.0,2.0,11.107023411371237,2.3478260869565215,1.0836120401337792,4.242608695652174,1.1938127090301005
2025,야시엘푸이그,야시엘 푸이그,Yasiel Puig Valdés,키움,hitter,hitting,624577,0,1,624577,hitting,True,8,2018,0,100.0,100.0,2,1,382.0,20.0,0.9993298429319373,0.39781937172774867,0.6015104712041884,0.15968586387434555,0.09947643979057591,,,,,,,,
2025,윌리엄쿠에바스,윌리엄 쿠에바스,William Enrique Cuevas Osorio,KT,pitcher,pitching,571035,0,1,571035,pitching,True,15,2023,1,100.0,100.0,1,0,,,,,,0.2205128205128205,0.10256410256410256,44.0,11.0,9.0,8.795454545454545,4.090909090909091,2.659090909090909,6.14,1.41
