candidate_key,source_fill_candidate_key,source_fill_scope_label,fit_slot,fit_review_lane,fit_review_order_within_slot,sensitivity_band,player_id,player_name,search_name,team_or_org,position_or_role,risk_adjusted_fit_score_internal,failure_risk_index,failure_risk_review_tier,manual_source_lanes,fit_review_tags,contract_control_bucket,medical_risk_bucket,current_status_description,nationality,nationality_source,person_url,source_url
78cb3e2121a13c9a,78cb3e2121a13c9a,run034_risk_adjusted_fit_source_fill,foreign_hitter,lane_0_blocked_or_medical_review_locked,31,stable_top50_review_locked,572138.0,jon singleton,jon singleton,,OF/DH candidate pool,56.979,58.142,tier_1_blocker_review,korean_news_naver_or_local_search|agent_korea_willingness_check|mlb_contract_salary_option_check|role_salary_kbo_cost_fit_check|medical_file_and_recent_availability_check,ssg_fit_above_slot_median|translation_risk_low|market_access_relatively_better|tool_process_signal|source_gap_blocker|contract_access_blocker,active_mlb_contract_blocker,medical_hold_current_or_recent,,,,,
e9184b171abc9b08,e9184b171abc9b08,run034_risk_adjusted_fit_source_fill,foreign_hitter,lane_0_blocked_or_medical_review_locked,41,stable_top50_review_locked,686469.0,vinnie pasquantino,vinnie pasquantino,KC,OF/DH candidate pool,53.995,62.209,tier_1_blocker_review,korean_news_naver_or_local_search|agent_korea_willingness_check|mlb_contract_salary_option_check|role_salary_kbo_cost_fit_check|medical_file_and_recent_availability_check,ssg_fit_above_slot_median|translation_risk_low|tool_process_signal|source_gap_blocker|contract_access_blocker,40man_nonactive_contract_blocker,medical_hold_current_or_recent,Injured 10-Day,,,,
0c1a296a19cda748,0c1a296a19cda748,run034_risk_adjusted_fit_source_fill,foreign_hitter,lane_0_blocked_or_medical_review_locked,43,stable_top50_review_locked,578428.0,jose iglesias,jose iglesias,,OF/DH candidate pool,53.79,59.241,tier_1_blocker_review,korean_news_naver_or_local_search|agent_korea_willingness_check|mlb_contract_salary_option_check|role_salary_kbo_cost_fit_check|medical_file_and_recent_availability_check,ssg_fit_above_slot_median|translation_risk_low|market_access_relatively_better|tool_process_signal|source_gap_blocker|contract_access_blocker,active_mlb_contract_blocker,medical_hold_current_or_recent,,,,,
18c9b97ad0ff1d78,18c9b97ad0ff1d78,run034_risk_adjusted_fit_source_fill,foreign_hitter,lane_1_source_fill_priority_locked,30,stable_top50_review_locked,673995.0,davis wendzel,davis wendzel,PIT,OF/DH candidate pool,57.023,50.551,tier_2_multi_risk_review,korean_news_naver_or_local_search|agent_korea_willingness_check|mlb_contract_salary_option_check|role_salary_kbo_cost_fit_check|medical_file_and_recent_availability_check,ssg_fit_above_slot_median|translation_risk_low|market_access_relatively_better|tool_process_signal|source_gap_blocker|contract_access_blocker,40man_nonactive_contract_blocker,no_public_medical_signal_from_roster_transactions,Reassigned to Minors,,,,
9df352c847664721,9df352c847664721,run034_risk_adjusted_fit_source_fill,foreign_hitter,lane_1_source_fill_priority_locked,36,stable_top50_review_locked,650490.0,yandy díaz,yandy díaz,TB,OF/DH candidate pool,54.823,51.033,tier_2_multi_risk_review,korean_news_naver_or_local_search|agent_korea_willingness_check|mlb_contract_salary_option_check|role_salary_kbo_cost_fit_check|medical_file_and_recent_availability_check,ssg_fit_above_slot_median|translation_risk_low|tool_process_signal|source_gap_blocker|contract_access_blocker,active_mlb_contract_blocker,no_public_medical_signal_from_roster_transactions,Active,,,,
24107d4d22c7b9be,24107d4d22c7b9be,run034_risk_adjusted_fit_source_fill,foreign_hitter,lane_1_source_fill_priority_locked,44,stable_top50_review_locked,687231.0,darell hernaiz,darell hernaiz,ATH,OF/DH candidate pool,53.76,50.501,tier_2_multi_risk_review,korean_news_naver_or_local_search|agent_korea_willingness_check|mlb_contract_salary_option_check|role_salary_kbo_cost_fit_check|medical_file_and_recent_availability_check,translation_risk_low|market_access_relatively_better|tool_process_signal|source_gap_blocker|contract_access_blocker,40man_nonactive_contract_blocker,no_public_medical_signal_from_roster_transactions,Reassigned to Minors,,,,
1dbe878f21255344,1dbe878f21255344,run034_risk_adjusted_fit_source_fill,foreign_hitter,lane_1_source_fill_priority_locked,47,stable_top50_review_locked,682663.0,agustín ramírez,agustín ramírez,MIA,OF/DH candidate pool,53.534,51.144,tier_2_multi_risk_review,korean_news_naver_or_local_search|agent_korea_willingness_check|mlb_contract_salary_option_check|role_salary_kbo_cost_fit_check|medical_file_and_recent_availability_check,ssg_fit_above_slot_median|translation_risk_low|market_access_relatively_better|tool_process_signal|source_gap_blocker|contract_access_blocker,40man_nonactive_contract_blocker,no_public_medical_signal_from_roster_transactions,Reassigned to Minors,,,,
c37f274e459f8611,c37f274e459f8611,run034_risk_adjusted_fit_source_fill,foreign_hitter,lane_2_deep_review_candidate_locked,2,stable_top25_locked,667690.0,c. j. stubbs,c. j. stubbs,TOR,OF/DH candidate pool,74.027,34.39,tier_4_low_current_risk,,stable_across_weights|ssg_fit_above_slot_median|translation_risk_low|market_access_relatively_better|tool_process_signal,non40man_or_outrighted_medium_access,no_public_medical_signal_from_roster_transactions,Active,,,,
c07d037cda2b8992,c07d037cda2b8992,run034_risk_adjusted_fit_source_fill,foreign_hitter,lane_2_deep_review_candidate_locked,3,stable_top25_locked,689041.0,rhylan thomas,rhylan thomas,,OF/DH candidate pool,71.951,33.9,tier_4_low_current_risk,korean_news_naver_or_local_search|agent_korea_willingness_check|role_salary_kbo_cost_fit_check|medical_file_and_recent_availability_check,stable_across_weights|ssg_fit_above_slot_median|translation_risk_low|market_access_relatively_better|tool_process_signal,recent_free_agent_or_released_high_access,no_public_medical_signal_from_roster_transactions,Not Yet Reported,,,,
3f7e64f3aea1baea,3f7e64f3aea1baea,run034_risk_adjusted_fit_source_fill,foreign_hitter,lane_2_deep_review_candidate_locked,4,stable_top25_locked,666198.0,carter kieboom,carter kieboom,PHI,OF/DH candidate pool,71.866,35.32,tier_4_low_current_risk,,stable_across_weights|ssg_fit_above_slot_median|translation_risk_low|market_access_relatively_better|tool_process_signal,non40man_or_outrighted_medium_access,no_public_medical_signal_from_roster_transactions,Active,,,,
